,Name,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
3288,Laron Profit,1999-00,22,WAS,NBA,SG,33,225,4.4,.386,.288,.169,1.0,12.4,6.7,16.7,1.6,1.3,23.1,16.2,,-0.5,0.1,-0.3,-0.073,,-5.8,-0.7,-6.5,-0.3
3289,Gabe Pruitt,2007-08,21,BOS,NBA,PG,15,95,8.3,.401,.308,.051,1.3,8.3,5.0,22.5,2.8,0.0,11.1,22.0,,-0.1,0.2,0.1,.028,,-4.1,-0.8,-4.8,-0.1
3290,Joel Przybilla,2000-01,21,MIL,NBA,C,33,270,5.9,.339,.000,.314,12.3,17.5,14.9,1.0,0.6,8.2,24.6,8.9,,-0.2,0.3,0.1,.018,,-6.4,2.5,-3.9,-0.1
3293,Anthony Pullard,1992-93,26,MIL,NBA,PF,8,37,9.2,.440,.000,.167,6.2,18.9,12.5,8.8,2.7,3.5,20.6,28.2,,-0.1,0.0,-0.1,-0.114,,-8.7,-0.2,-8.9,-0.1
3294,Jacob Pullen,2017-18,28,PHI,NBA,PG,3,6,-2.2,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.4,,0.0,0.0,0.0,-0.215,,-10.5,-4.9,-15.4,0.0
3296,Zhou Qi,2017-18,22,HOU,NBA,C,14,75,0.0,.299,.625,.417,3.0,16.6,9.8,1.8,1.3,6.9,15.0,19.6,,-0.3,0.1,-0.2,-0.126,,-10.7,0.7,-10.0,-0.2
3297,Tim Quarterman,2016-17,22,POR,NBA,SG,16,80,10.2,.511,.448,.103,5.5,13.9,9.7,21.1,1.2,3.0,26.6,22.8,,-0.1,0.1,-0.1,-0.044,,-4.0,-0.8,-4.8,-0.1
3299,Chris Quinn,2006-07,23,MIA,NBA,PG,42,408,12.3,.479,.435,.282,1.8,6.8,4.3,25.8,2.0,0.0,12.5,19.6,,0.3,0.3,0.6,.070,,-1.0,-2.9,-3.9,-0.2
3300,Brian Quinnett,1989-90,23,NYK,NBA,SG,31,193,3.9,.337,.034,.052,5.3,10.6,8.1,7.4,0.8,1.2,6.3,13.6,,-0.2,0.1,-0.1,-0.015,,-6.0,-1.1,-7.1,-0.2
3301,Ivan Rabb,2017-18,20,MEM,NBA,PF,20,229,16.3,.647,.000,.227,11.6,22.5,17.0,9.9,0.9,1.6,21.6,18.3,,0.3,0.2,0.5,.104,,-1.9,-0.5,-2.4,0.0
3302,Luther Rackley,1969-70,23,CIN,NBA,C,66,1256,11.5,.495,,.461,,,,5.6,,,,,,0.6,1.2,1.8,.069,,,,,
3304,Mark Radford,1981-82,22,SEA,NBA,SG,43,369,10.3,.556,.030,.690,4.0,4.5,4.3,20.9,2.1,0.3,24.4,19.4,,-0.1,0.5,0.4,.052,,-2.8,-1.2,-3.9,-0.2
3306,Dino Radja,1993-94,26,BOS,NBA,PF,80,2303,18.2,.562,.001,.320,9.3,19.0,14.1,7.9,1.5,1.8,12.2,23.0,,3.8,2.2,5.9,.124,,0.8,-0.2,0.5,1.5
3307,Vladimir Radmanovic,2001-02,21,SEA,NBA,PF,61,1230,12.7,.528,.444,.203,4.4,17.4,11.0,9.8,2.5,1.5,15.7,17.3,,0.6,1.5,2.1,.084,,-0.6,0.7,0.0,0.6
3308,Aleksandar Radojevic,1999-00,23,TOR,NBA,C,3,24,2.4,.363,.000,.857,9.0,29.0,18.7,6.2,4.3,2.9,34.2,27.0,,-0.2,0.1,-0.1,-0.202,,-13.4,1.9,-11.5,-0.1
3311,Miroslav Raduljica,2013-14,26,MIL,NBA,C,48,465,15.3,.603,.000,.437,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,,1.0,0.1,1.1,.112,,-0.6,-1.8,-2.3,0.0
3315,Ed Rains,1981-82,25,SAS,NBA,SF,49,637,8.2,.468,.011,.362,6.2,7.2,6.7,7.7,1.3,0.2,10.9,14.4,,0.2,0.4,0.6,.043,,-2.1,-1.0,-3.1,-0.2
3316,Igor Rakocevic,2002-03,24,MIN,NBA,PG,42,244,8.4,.528,.207,.621,1.9,5.9,3.9,19.0,0.9,0.0,23.8,18.0,,0.0,0.1,0.1,.022,,-3.5,-3.6,-7.1,-0.3
3317,Kurt Rambis,1981-82,23,LAL,NBA,PF,64,1131,12.8,.528,.004,.513,11.6,21.5,16.8,5.6,2.5,3.6,21.6,12.5,,0.3,2.1,2.3,.100,,-2.1,3.3,1.2,0.9
3318,Peter John Ramos,2004-05,19,WAS,NBA,C,6,20,8.2,.506,.000,.200,5.4,17.5,11.2,0.0,0.0,3.7,21.6,30.3,,-0.1,0.0,0.0,-0.108,,-11.3,-7.0,-18.3,-0.1
3322,Mark Randall,1991-92,24,TOT,NBA,PF,54,441,12.3,.509,.107,.289,9.6,8.2,8.9,10.5,1.4,0.4,13.0,18.6,,0.3,0.1,0.5,.050,,-1.0,-2.4,-3.4,-0.2
3323,Chasson Randle,2016-17,23,TOT,NBA,PG,26,299,13.6,.586,.480,.439,2.2,9.4,5.8,16.8,1.5,0.5,14.0,19.7,,0.5,0.1,0.7,.106,,0.3,-2.9,-2.6,0.0
3324,Julius Randle,2014-15,20,LAL,NBA,PF,1,14,-7.5,.258,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,15.5,,-0.1,0.0,-0.1,-0.276,,-12.3,-4.5,-16.8,-0.1
3325,Anthony Randolph,2008-09,19,GSW,NBA,PF,63,1129,16.9,.506,.009,.327,12.4,22.6,17.5,6.8,1.8,4.5,14.0,21.7,,0.4,1.2,1.6,.069,,-2.8,0.3,-2.5,-0.1
3326,Shavlik Randolph,2005-06,22,PHI,NBA,PF,57,487,12.6,.511,.000,.732,13.2,18.8,16.0,5.9,2.0,1.9,14.1,14.0,,0.5,0.5,1.1,.105,,-2.4,0.0,-2.4,0.0
3327,Zach Randolph,2001-02,20,POR,NBA,PF,41,238,16.9,.479,.000,.252,15.1,19.0,17.0,9.8,1.6,1.3,11.2,25.7,,0.2,0.3,0.5,.098,,-1.7,-1.7,-3.4,-0.1
3328,Wally Rank,1980-81,22,SDC,NBA,SF,25,153,4.0,.397,.000,.491,12.4,10.4,11.4,14.9,2.2,0.4,27.3,25.4,,-0.6,0.1,-0.4,-0.140,,-6.4,-0.9,-7.3,-0.2
3329,Kelvin Ransey,1980-81,22,POR,NBA,PG,80,2431,14.9,.484,.027,.188,1.9,6.9,4.4,31.4,1.7,0.2,15.6,24.3,,1.3,1.6,2.8,.056,,-0.3,-2.5,-2.8,-0.5
3332,Blair Rasmussen,1985-86,23,DEN,NBA,C,48,330,8.7,.458,.000,.260,11.2,19.9,15.3,6.4,0.4,1.7,19.3,24.2,,-0.5,0.4,-0.1,-0.021,,-6.3,-2.2,-8.5,-0.5
3336,Theo Ratliff,1995-96,22,DET,NBA,C,75,1305,14.0,.603,.004,.522,10.6,16.7,13.8,1.6,0.7,7.1,16.5,12.4,,1.6,2.2,3.8,.141,,-2.8,2.8,0.0,0.7
3337,Andy Rautins,2010-11,24,NYK,NBA,SG,5,24,-1.2,.508,.571,.286,0.0,4.8,2.4,18.7,2.1,0.0,47.0,27.5,,-0.2,0.0,-0.2,-0.314,,-11.6,-4.3,-16.0,-0.1
3338,Leo Rautins,1983-84,23,PHI,NBA,SF,28,196,6.2,.385,.000,.172,5.4,13.5,9.6,20.0,2.2,0.6,23.3,17.2,,-0.4,0.3,-0.1,-0.024,,-5.6,0.6,-5.0,-0.1
3339,Allan Ray,2006-07,22,BOS,NBA,SG,47,710,10.0,.512,.448,.212,3.0,8.8,5.8,10.5,1.5,0.3,12.9,20.8,,0.1,0.5,0.6,.039,,-1.0,-2.5,-3.5,-0.3
3340,Clifford Ray,1971-72,23,CHI,NBA,C,82,1872,17.3,.534,,.490,,,22.1,17.5,,,,,,2.3,6.3,8.7,.222,,,,,
3342,James Ray,1980-81,23,DEN,NBA,PF,18,148,4.2,.346,.020,.204,8.8,17.0,12.8,8.8,1.2,1.4,19.6,16.7,,-0.3,0.1,-0.2,-0.070,,-5.8,-0.7,-6.5,-0.2
3347,Joe Reaves,1973-74,23,TOT,TOT,SF,19,210,9.5,.452,.000,.210,9.3,17.3,13.3,4.9,0.5,2.3,19.0,21.3,,-0.2,0.1,-0.1,-0.032,,-5.0,-2.1,-7.1,-0.3
3348,Zeljko Rebraca,2001-02,29,DET,NBA,C,74,1179,16.2,.569,.000,.468,8.4,20.5,14.5,5.7,1.3,4.4,15.7,21.4,,1.4,1.9,3.3,.134,,-2.8,0.7,-2.2,0.0
3349,Eldridge Recasner,1994-95,27,DEN,NBA,SG,3,13,15.3,.387,.167,.667,0.0,18.0,9.2,11.0,12.1,0.0,20.5,33.9,,-0.1,0.0,0.0,-0.047,,-8.4,5.6,-2.8,0.0
3350,Michael Redd,2000-01,21,MIL,NBA,SG,6,35,3.4,.300,.158,.316,9.8,3.2,6.5,4.4,1.5,0.0,4.4,29.3,,-0.1,0.0,-0.1,-0.163,,-7.8,-6.5,-14.3,-0.1
3352,J.J. Redick,2006-07,22,ORL,NBA,PG,42,622,13.0,.569,.503,.308,2.0,8.1,5.2,9.7,1.0,0.0,8.7,18.1,,1.2,0.5,1.7,.134,,1.3,-2.6,-1.4,0.1
3353,Marlon Redmond,1978-79,23,TOT,NBA,SG,53,759,10.6,.436,,.129,8.0,7.6,7.8,10.5,1.7,1.2,12.2,23.6,,-0.5,0.8,0.3,.017,,-2.6,-1.1,-3.7,-0.3
3354,Davon Reed,2017-18,22,PHO,NBA,SG,7,56,0.5,.283,.467,.133,0.0,11.8,5.7,9.6,1.7,1.4,11.2,13.5,,-0.2,0.0,-0.1,-0.107,,-7.6,-0.8,-8.4,-0.1
3356,Justin Reed,2004-05,23,BOS,NBA,SF,23,121,13.7,.576,.103,.517,7.9,7.6,7.7,12.9,1.3,0.6,12.3,15.1,,0.2,0.1,0.3,.121,,0.1,-1.8,-1.8,0.0
3358,Willie Reed,2015-16,25,BRK,NBA,C,39,426,19.2,.579,.000,.414,12.7,19.6,16.1,3.8,0.7,5.7,9.2,18.1,,0.9,0.3,1.2,.134,,-1.2,-0.4,-1.6,0.0
3360,Bryant Reeves,1995-96,22,VAN,NBA,C,77,2460,13.4,.506,.003,.341,8.2,19.4,13.6,8.3,0.9,1.7,13.5,21.6,,0.0,2.3,2.3,.045,,-3.3,0.0,-3.3,-0.8
3361,Khalid Reeves,1994-95,22,MIA,NBA,PG,67,1462,16.9,.561,.368,.422,4.1,11.0,7.5,30.2,2.7,0.5,19.3,20.6,,2.1,1.4,3.5,.115,,2.1,-0.6,1.6,1.3
3364,Billy Reid,1980-81,23,GSW,NBA,SG,59,597,6.2,.470,.027,.211,4.9,6.2,5.6,15.6,2.6,0.5,27.8,18.6,,-1.0,0.3,-0.6,-0.050,,-4.2,-0.8,-5.0,-0.5
3365,Don Reid,1995-96,22,DET,NBA,PF,69,997,12.1,.595,.000,.412,9.8,14.6,12.3,1.8,2.6,3.2,15.7,12.5,,1.1,1.8,2.9,.141,,-2.1,2.1,0.1,0.5
3366,J.R. Reid,1989-90,21,CHH,NBA,C,82,2757,10.2,.482,.006,.355,7.7,21.5,14.2,5.3,1.6,1.2,15.5,17.2,,-1.7,2.8,1.1,.020,,-3.8,1.4,-2.5,-0.3
3368,Robert Reid,1977-78,22,HOU,NBA,SF,80,1849,11.3,.475,,.167,6.2,14.6,10.3,8.7,1.7,1.5,11.6,15.0,,1.4,0.9,2.3,.061,,-0.8,0.7,-0.2,0.9
3369,Ryan Reid,2011-12,25,OKC,NBA,PF,5,17,17.6,.800,.000,.000,7.2,6.3,6.7,0.0,0.0,0.0,16.7,16.0,,0.0,0.0,0.1,.142,,0.5,-6.0,-5.5,0.0
3370,Jared Reiner,2004-05,22,CHI,NBA,C,19,132,2.3,.331,.000,.133,11.1,21.0,16.1,1.2,1.2,4.0,22.1,13.8,,-0.3,0.3,0.0,-0.013,,-9.3,2.0,-7.3,-0.2
3372,Richard Rellford,1987-88,23,SAS,NBA,SF,4,42,11.6,.694,.000,1.000,5.1,13.0,9.0,2.9,0.0,3.9,25.8,14.6,,0.0,0.0,0.0,.048,,-3.8,-1.6,-5.4,0.0
3373,Terrence Rencher,1995-96,22,TOT,NBA,PG,36,405,6.5,.441,.290,.460,2.7,9.8,6.3,20.4,2.1,0.4,26.3,18.3,,-0.7,0.5,-0.2,-0.021,,-5.5,0.0,-5.5,-0.4
3376,Efthimi Rentzias,2002-03,27,PHI,NBA,C,35,144,10.6,.413,.136,.153,8.0,13.3,10.6,8.0,2.2,1.1,6.0,20.9,,0.0,0.2,0.2,.058,,-3.0,-1.6,-4.7,-0.1
3377,Shawn Respert,1995-96,23,MIL,NBA,SG,62,845,10.8,.488,.418,.144,4.0,6.8,5.4,12.7,2.0,0.4,11.9,19.1,,0.2,0.3,0.5,.027,,-0.9,-2.3,-3.2,-0.3
3378,Kevin Restani,1974-75,23,MIL,NBA,PF,76,1755,9.7,.458,,.115,8.1,15.7,12.0,8.9,1.0,0.6,,,,0.5,1.5,2.0,.055,,-2.9,0.7,-2.2,-0.1
3380,Jerry Reynolds,1985-86,23,MIL,NBA,SF,55,508,15.2,.489,.012,.642,8.2,9.3,8.8,22.1,4.0,2.2,20.0,20.5,,0.0,1.0,1.0,.096,,-0.7,2.9,2.2,0.5
3383,Rodrick Rhodes,1997-98,24,HOU,NBA,SF,58,1070,7.7,.439,.026,.590,3.1,4.6,3.9,16.1,3.1,0.7,20.2,20.4,,-1.5,0.6,-0.9,-0.040,,-5.0,-0.9,-5.9,-1.0
3384,Glen Rice,1989-90,22,MIA,NBA,SF,77,2311,11.3,.466,.064,.116,4.6,12.5,8.4,9.1,1.4,0.7,9.1,21.6,,-0.4,1.8,1.4,.029,,-2.5,-0.7,-3.2,-0.7
3385,"Glen Rice, Jr.",2013-14,23,WAS,NBA,SG,11,109,6.6,.399,.459,.189,4.2,17.3,10.6,9.3,2.8,0.8,18.3,20.3,,-0.3,0.2,-0.1,-0.043,,-5.9,0.0,-5.8,-0.1
3386,Chris Richard,2007-08,23,MIN,NBA,C,52,556,7.9,.496,.000,.310,10.5,17.9,14.1,4.6,0.9,1.7,19.5,10.0,,0.1,0.3,0.4,.037,,-3.8,0.1,-3.7,-0.2
3387,Clint Richardson,1979-80,23,PHI,NBA,SG,52,988,9.9,.472,.009,.129,6.2,6.9,6.6,14.9,1.1,0.8,14.8,17.5,,0.1,1.0,1.1,.052,,-2.2,-0.8,-3.1,-0.3
3388,Jason Richardson,2001-02,21,GSW,NBA,SG,80,2629,13.8,.487,.226,.193,4.9,9.0,6.9,15.4,2.0,0.8,11.9,21.5,,2.0,0.9,2.9,.052,,0.8,-1.3,-0.5,1.0
3389,Jeremy Richardson,2006-07,22,TOT,NBA,SG-SF,6,20,13.8,.667,.500,.000,5.9,6.1,6.0,0.0,2.7,0.0,14.3,16.1,,0.0,0.0,0.0,.099,,0.0,-4.3,-4.3,0.0
3390,Josh Richardson,2015-16,22,MIA,NBA,SG,52,1107,11.4,.569,.423,.232,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,,1.3,1.2,2.5,.109,,0.2,0.4,0.6,0.7
3391,Malachi Richardson,2016-17,21,SAC,NBA,SG,22,198,9.6,.517,.412,.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,,0.0,0.1,0.1,.028,,-2.5,-3.0,-5.5,-0.2
3392,Micheal Ray Richardson,1978-79,23,NYK,NBA,PG,72,1218,12.4,.435,,.265,6.9,13.8,10.3,22.9,3.8,0.8,20.7,21.9,,-1.4,1.7,0.3,.013,,-2.2,1.7,-0.5,0.5
3393,Norm Richardson,2001-02,22,TOT,NBA,SG,11,67,10.3,.501,.308,.346,5.1,8.9,6.9,4.7,0.0,0.0,9.1,22.6,,0.0,0.0,0.0,.006,,-2.4,-6.0,-8.4,-0.1
3394,Pooh Richardson,1989-90,23,MIN,NBA,PG,82,2581,15.8,.482,.090,.116,2.4,8.0,5.0,35.3,2.7,0.6,12.7,19.0,,2.0,2.4,4.4,.082,,0.5,-1.0,-0.4,1.0
3395,Quentin Richardson,2000-01,20,LAC,NBA,SG,76,1358,16.5,.516,.288,.301,9.1,12.5,10.8,8.3,1.7,0.4,9.7,22.4,,2.1,1.0,3.0,.106,,1.6,-1.9,-0.3,0.6
3396,Mitch Richmond,1988-89,23,GSW,NBA,SG,79,2717,17.2,.541,.065,.365,5.8,11.4,8.6,17.6,1.4,0.3,14.3,26.2,,3.6,1.9,5.6,.098,,1.3,-1.5,-0.2,1.3
3399,Isaiah Rider,1993-94,22,MIN,NBA,SG,79,2415,14.2,.533,.135,.238,5.9,9.3,7.6,15.5,1.1,0.7,15.0,26.2,,0.9,0.8,1.7,.034,,0.4,-2.2,-1.8,0.1
3401,Luke Ridnour,2003-04,22,SEA,NBA,PG,69,1114,13.1,.496,.229,.226,3.7,7.7,5.7,23.9,2.5,0.5,17.2,19.3,,0.9,0.2,1.2,.051,,-0.5,-1.8,-2.3,-0.1
3405,Antoine Rigaudeau,2002-03,31,DAL,NBA,SG,11,91,-2.4,.243,.143,.000,4.8,4.8,4.8,9.3,1.7,0.0,14.6,20.4,,-0.4,0.1,-0.4,-0.192,,-9.2,-2.1,-11.3,-0.2
3408,Eric Riley,1993-94,23,HOU,NBA,C,47,219,13.4,.510,.014,.529,12.9,16.8,15.0,6.3,1.2,2.6,14.8,20.5,,0.1,0.4,0.4,.097,,-3.6,-0.2,-3.7,-0.1
3411,Rich Rinaldi,1971-72,22,BAL,NBA,SG,39,159,14.0,.444,,.288,,,5.3,15.3,,,,,,-0.1,0.1,0.0,-0.006,,,,,
3415,Ramon Rivas,1988-89,22,BOS,NBA,C,28,91,9.3,.476,.032,.806,11.5,18.7,15.1,4.3,2.2,0.6,17.6,23.3,,-0.1,0.1,0.0,.019,,-4.6,-2.5,-7.1,-0.1
3416,Austin Rivers,2012-13,20,NOH,NBA,SG,61,1418,5.9,.431,.221,.277,1.3,8.0,4.6,13.9,1.0,0.5,14.5,16.8,,-1.2,0.1,-1.1,-0.038,,-3.6,-2.0,-5.6,-1.3
3417,David Rivers,1988-89,24,LAL,NBA,PG,47,440,9.8,.477,.049,.344,3.5,7.1,5.4,30.4,2.5,1.2,30.3,18.9,,-0.5,0.5,0.0,.002,,-4.4,-1.0,-5.4,-0.4
3418,Doc Rivers,1983-84,22,ATL,NBA,PG,81,1938,14.9,.553,.022,.601,4.2,8.9,6.5,23.7,3.3,0.9,20.3,19.1,,1.6,2.6,4.2,.103,,0.3,1.4,1.8,1.8
3420,Red Robbins,1967-68,23,NOB,ABA,C,73,2159,25.7,.542,.007,.336,,,17.7,5.2,,,9.8,19.9,,5.7,3.6,9.3,.208,,,,,
3421,Andre Roberson,2013-14,22,OKC,NBA,SG,40,399,9.0,.518,.191,.147,10.7,15.6,13.3,5.2,2.4,2.0,20.8,10.1,,0.2,0.6,0.8,.099,,-2.2,1.9,-0.3,0.2
3422,Anthony Roberson,2005-06,22,MEM,NBA,PG,16,88,11.7,.549,.323,.065,0.0,8.2,4.1,10.7,0.6,0.0,8.6,19.3,,0.1,0.1,0.2,.088,,-2.0,-3.5,-5.5,-0.1
3424,Terrance Roberson,2000-01,24,CHH,NBA,SF,3,13,-15.0,.000,.500,.000,0.0,8.7,4.4,10.9,0.0,0.0,50.0,14.2,,-0.1,0.0,-0.1,-0.334,,-16.1,-1.5,-17.7,-0.1
3425,Anthony Roberts,1977-78,22,DEN,NBA,SF,82,1598,12.2,.467,,.288,9.0,13.4,11.3,9.4,1.1,0.2,12.5,22.7,,0.8,1.1,1.9,.057,,-1.7,-2.5,-4.2,-0.9
3427,Brian Roberts,2012-13,27,NOH,NBA,PG,78,1324,14.6,.509,.299,.151,1.5,7.3,4.4,28.2,1.5,0.2,11.5,21.6,,2.0,0.2,2.2,.078,,1.1,-3.6,-2.5,-0.2
3428,Fred Roberts,1983-84,23,SAS,NBA,PF,79,1531,12.6,.604,.010,.431,7.2,13.8,10.6,7.6,1.5,1.3,17.4,14.5,,2.0,0.9,3.0,.093,,0.0,0.4,0.5,1.0
3430,Lawrence Roberts,2005-06,23,MEM,NBA,C,33,181,13.8,.471,.045,.523,17.6,15.3,16.4,4.8,2.5,0.9,8.5,15.9,,0.2,0.3,0.5,.144,,-1.4,0.1,-1.4,0.0
3431,Marv Roberts,1971-72,22,DNR,ABA,SF,68,1047,12.8,.445,.008,.225,10.2,15.4,12.7,8.3,,,11.6,23.7,,-1.1,1.5,0.4,.019,,,,,
3432,Stanley Roberts,1991-92,21,ORL,NBA,C,55,1118,16.3,.538,.002,.439,11.0,22.9,16.8,5.8,1.0,4.5,12.8,22.7,,0.8,1.4,2.1,.092,,-1.8,0.3,-1.5,0.1
3433,Alvin Robertson,1984-85,22,SAS,NBA,SG,79,1685,15.3,.538,.018,.282,8.0,9.7,8.9,21.5,3.5,0.8,19.8,20.0,,1.1,2.0,3.1,.087,,0.7,1.3,2.0,1.7
3435,Ryan Robertson,1999-00,23,SAC,NBA,SG,1,25,2.6,.388,.333,.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,,0.0,0.0,0.0,-0.022,,-5.3,-3.1,-8.4,0.0
3437,Rick Robey,1978-79,23,TOT,NBA,C,79,1763,14.5,.530,,.333,10.2,21.0,15.6,10.5,1.2,0.4,17.5,20.7,,1.4,1.7,3.1,.085,,-0.9,-0.6,-1.5,0.2
3438,Bernard Robinson,2004-05,24,CHA,NBA,SG,31,328,9.8,.503,.099,.321,4.6,12.5,8.4,14.4,1.7,0.9,17.8,15.2,,0.0,0.2,0.3,.037,,-3.0,-0.1,-3.2,-0.1
3439,Chris Robinson,1996-97,22,VAN,NBA,SG,41,681,9.4,.486,.489,.143,3.9,8.3,6.1,15.6,2.2,1.0,14.9,15.5,,0.0,0.2,0.2,.017,,-1.8,-1.7,-3.5,-0.3
3440,Cliff Robinson,1979-80,19,NJN,NBA,PF,70,1661,17.0,.506,.005,.291,10.8,20.7,15.8,9.3,1.7,1.1,12.7,25.0,,1.1,2.5,3.6,.104,,-0.8,-0.5,-1.4,0.3
3441,Clifford Robinson,1989-90,23,POR,NBA,PF,82,1565,9.3,.433,.059,.334,7.5,13.9,10.7,6.5,1.6,2.1,13.0,24.9,,-2.0,2.4,0.3,.010,,-4.7,0.0,-4.7,-1.1
3442,David Robinson,1989-90,24,SAS,NBA,C,82,3002,26.3,.597,.002,.644,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,,7.9,7.2,15.1,.241,,2.7,3.8,6.5,6.4
3443,Eddie Robinson,1999-00,23,CHH,NBA,SF,67,1112,16.4,.569,.010,.166,5.6,12.8,9.3,5.2,2.2,1.6,8.6,18.3,,1.5,1.5,3.0,.130,,-1.0,-0.2,-1.2,0.2
3444,Flynn Robinson,1966-67,25,CIN,NBA,PG,76,1140,14.0,.501,,.257,,,,13.9,,,,,,1.6,0.6,2.2,.093,,,,,
3445,Glenn Robinson,1994-95,22,MIL,NBA,SF,80,2958,16.6,.538,.190,.354,6.7,14.4,10.4,12.2,2.0,0.6,16.1,29.1,,1.1,2.2,3.2,.053,,0.1,-1.2,-1.1,0.7
3446,Glenn Robinson III,2014-15,21,TOT,NBA,SG-SF,35,261,8.5,.471,.284,.358,6.1,10.6,8.3,7.0,1.2,0.3,12.4,14.9,,0.0,0.1,0.1,.012,,-3.9,-2.4,-6.3,-0.3
3447,Jackie Robinson,1978-79,23,SEA,NBA,SF,12,105,13.6,.483,,.366,9.0,10.0,9.5,17.5,2.2,0.5,18.8,21.9,,0.0,0.2,0.1,.065,,-1.5,0.0,-1.5,0.0
3448,Jamal Robinson,2000-01,27,MIA,NBA,SF,6,72,-1.9,.136,.091,.000,5.0,13.2,9.1,4.4,4.6,0.0,12.0,16.8,,-0.4,0.2,-0.2,-0.166,,-11.4,2.3,-9.0,-0.1
3449,James Robinson,1993-94,23,POR,NBA,PG,58,673,10.0,.439,.256,.235,5.3,7.4,6.3,14.5,2.2,1.4,14.2,22.2,,-0.5,0.7,0.2,.015,,-2.4,-0.9,-3.4,-0.2
3450,Larry Robinson,1990-91,23,TOT,NBA,SG,36,425,7.6,.429,.007,.180,7.5,5.7,6.6,11.4,1.8,0.1,14.3,18.2,,-0.4,0.2,-0.1,-0.016,,-3.7,-1.6,-5.3,-0.4
3451,Nate Robinson,2005-06,21,NYK,NBA,PG,72,1544,12.6,.512,.258,.358,4.4,8.8,6.6,17.0,2.0,0.1,14.8,22.5,,1.0,0.5,1.5,.046,,0.4,-1.9,-1.5,0.2
3452,Oliver Robinson,1982-83,22,SAS,NBA,SG,35,147,14.1,.432,.113,.464,4.6,7.9,6.3,20.5,1.3,0.7,10.0,35.2,,0.0,0.1,0.1,.018,,-1.8,-4.7,-6.5,-0.2
3453,Ronnie Robinson,1973-74,22,TOT,ABA,PF,62,1170,10.6,.466,.003,.185,9.2,15.7,12.5,5.9,0.8,0.4,13.8,17.4,,0.2,0.5,0.7,.029,,-2.7,-1.9,-4.6,-0.8
3454,Rumeal Robinson,1990-91,24,ATL,NBA,PG,47,674,11.7,.478,.045,.331,3.1,8.5,5.8,28.5,2.3,0.7,21.5,21.6,,-0.5,0.5,-0.1,-0.004,,-2.7,-1.4,-4.1,-0.4
3456,Thomas Robinson,2012-13,21,TOT,NBA,PF,70,1056,10.9,.451,.003,.340,13.0,21.3,17.1,6.7,2.0,1.9,19.3,19.1,,-0.9,0.9,-0.1,-0.002,,-4.4,-0.1,-4.5,-0.7
3457,Truck Robinson,1974-75,23,WSB,NBA,PF,76,995,15.1,.498,,.293,9.5,20.9,15.2,5.7,1.6,1.7,,,,0.6,2.1,2.7,.130,,-2.0,0.3,-1.7,0.1
3458,Wayne Robinson,1980-81,22,DET,NBA,PF,81,1592,11.5,.523,.012,.472,8.1,13.7,10.7,10.5,1.4,0.9,19.5,19.4,,0.2,1.5,1.7,.052,,-2.3,-0.5,-2.8,-0.3
3459,Wilbert Robinson,1973-74,24,MMT,ABA,SG,45,956,10.8,.451,.015,.167,3.0,5.6,4.3,20.4,2.6,0.5,17.6,22.4,,-0.5,0.3,-0.1,-0.006,,-2.5,-1.7,-4.2,-0.5
3460,Bill Robinzine,1975-76,23,KCK,NBA,PF,75,1327,14.6,.514,,.397,9.7,17.7,13.7,6.7,2.7,0.3,,,,0.8,1.6,2.4,.087,,-0.5,-1.0,-1.5,0.2
3461,Dave Robisch,1971-72,22,DNR,ABA,C,84,2420,19.7,.493,.004,.368,10.4,19.9,15.0,11.8,,,7.9,22.2,,1.1,4.1,5.2,.103,,,,,
3463,John Roche,1971-72,22,NYA,ABA,SG,82,2593,10.9,.531,.041,.362,1.7,4.6,3.2,13.3,,,15.9,17.8,,3.0,1.1,4.1,.076,,,,,
3467,Dennis Rodman,1986-87,25,DET,NBA,SF,77,1155,15.5,.560,.003,.322,15.6,15.3,15.5,6.8,1.6,2.4,17.2,18.9,,1.1,1.7,2.9,.120,,0.2,1.2,1.4,1.0
3468,Sergio Rodriguez,2006-07,20,POR,NBA,PG,67,862,14.1,.493,.356,.109,2.8,10.4,6.6,41.9,2.2,0.2,23.5,17.8,,0.5,0.4,0.9,.050,,-0.3,-2.6,-2.8,-0.2
3469,Lou Roe,1995-96,23,DET,NBA,SF,49,372,9.0,.432,.100,.356,10.1,15.0,12.7,6.5,1.5,1.7,14.0,15.5,,-0.1,0.5,0.4,.053,,-4.4,0.5,-3.8,-0.2
3470,Carlos Rogers,1994-95,23,GSW,NBA,C,49,1017,14.3,.542,.041,.429,11.7,18.7,15.1,5.8,1.1,3.5,17.2,20.3,,0.1,0.8,0.9,.045,,-2.8,0.1,-2.6,-0.2
