,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
415,Winford Boynes,Career,,,NBA,,177,,3035,7.1,16.3,.435,0.0,0.1,.000,7.1,16.3,.436,3.3,4.3,.783,1.6,2.7,4.3,2.5,1.5,0.5,3.4,3.9,17.5
416,Cedric Bozeman,Career,,,NBA,,23,5,199,2.0,7.1,.282,0.4,2.4,.154,1.6,4.7,.346,0.4,1.1,.333,0.5,3.6,4.2,1.6,0.9,0.4,1.6,5.8,4.7
418,Craig Brackins,Career,,,NBA,,17,1,121,3.9,14.6,.265,0.9,4.2,.214,3.0,10.4,.286,0.3,0.6,.500,2.1,3.6,5.7,2.7,0.3,0.3,1.2,2.7,8.9
420,Alex Bradley,Career,,,NBA,,39,0,331,5.9,11.2,.524,0.0,0.1,.000,5.9,11.1,.529,3.2,5.2,.604,3.4,3.7,7.1,1.2,1.3,0.5,3.0,4.0,14.9
421,Alonzo Bradley,Career,,,NBA,,99,,1139,5.8,13.9,.418,0.4,0.4,1.000,5.8,13.9,.417,2.2,3.2,.703,1.2,3.5,4.8,2.3,0.8,0.2,2.5,4.0,13.9
422,Avery Bradley,Career,,,NBA,,459,386,13052,6.3,14.4,.439,1.6,4.5,.366,4.7,9.9,.472,1.4,1.8,.772,0.8,3.0,3.8,2.2,1.4,0.3,1.8,2.7,15.6
425,Charles Bradley,Career,,,NBA,,110,6,910,5.0,12.1,.416,0.0,0.2,.000,5.0,11.9,.422,3.7,6.3,.585,1.7,3.0,4.7,2.2,1.8,1.3,3.4,6.0,13.7
426,Dudley Bradley,Career,,,NBA,,600,62,10192,4.3,9.8,.440,0.4,1.2,.293,4.0,8.6,.460,2.1,2.8,.730,1.1,2.8,3.9,4.1,3.3,0.6,2.4,4.3,11.1
427,Jim Bradley,Career,,,ABA,,98,,1913,5.4,12.7,.429,0.0,0.1,.000,5.4,12.6,.433,2.1,2.8,.727,3.2,6.7,9.9,2.4,1.3,1.2,2.5,4.6,12.9
429,Michael Bradley,Career,,,NBA,,173,13,2016,3.9,8.2,.477,0.0,0.2,.143,3.9,7.9,.488,0.8,1.6,.511,4.0,6.6,10.6,1.7,0.4,0.8,2.0,3.6,8.6
430,Shawn Bradley,Career,,,NBA,,832,484,19531,5.0,10.9,.457,0.0,0.1,.103,5.0,10.9,.459,2.4,3.4,.716,3.2,6.5,9.7,1.1,1.0,3.9,2.0,4.7,12.4
431,Tony Bradley,Career,,,NBA,,8,0,28,3.9,14.1,.273,0.0,1.3,.000,3.9,12.9,.300,2.6,2.6,1.000,5.1,9.0,14.1,1.3,0.0,0.0,0.0,1.3,10.3
432,Mark Bradtke,Career,,,NBA,,36,0,251,3.6,8.3,.431,0.0,0.0,,3.6,8.3,.431,1.3,1.9,.692,3.7,6.0,9.8,1.0,0.7,0.7,1.3,4.9,8.5
433,Marques Bragg,Career,,,NBA,,53,0,369,5.3,11.7,.450,0.0,0.0,,5.3,11.7,.450,2.2,4.0,.561,3.7,4.0,7.7,0.8,1.7,0.8,2.5,6.9,12.8
434,Torraye Braggs,Career,,,NBA,,22,0,178,3.8,8.1,.475,0.0,0.0,,3.8,8.1,.475,1.6,2.4,.667,5.1,5.3,10.3,1.4,0.8,0.4,3.0,6.7,9.3
435,A.J. Bramlett,Career,,,NBA,,8,0,61,2.4,12.4,.190,0.0,0.0,,2.4,12.4,.190,0.0,0.0,,7.1,5.9,13.0,0.0,0.6,0.0,1.8,7.7,4.7
436,Adrian Branch,Career,,,NBA,,130,7,1429,8.3,18.3,.455,0.2,1.0,.231,8.1,17.3,.468,4.1,5.5,.744,2.9,3.5,6.4,2.4,2.1,0.4,3.1,4.9,21.0
437,Elton Brand,Career,,,NBA,,1058,868,34910,6.8,13.6,.500,0.0,0.0,.095,6.8,13.6,.501,3.7,5.1,.736,3.4,5.9,9.3,2.3,1.0,1.9,2.1,3.2,17.4
438,Terrell Brandon,Career,,,NBA,,724,480,21545,6.5,14.6,.448,0.7,1.9,.355,5.9,12.7,.462,3.0,3.4,.873,0.7,2.9,3.6,7.4,1.9,0.4,2.4,2.2,16.7
440,Brad Branson,Career,,,NBA,,72,5,856,6.4,15.1,.422,0.0,0.0,.000,6.4,15.1,.423,3.7,5.0,.725,3.7,5.0,8.7,2.2,1.3,1.3,2.4,4.1,16.4
443,Mike Bratz,Career,,,NBA,,586,9,10613,5.4,13.2,.407,0.6,2.1,.305,4.8,11.5,.421,2.6,3.2,.830,1.1,2.4,3.5,6.3,1.9,0.2,2.9,3.7,13.8
445,Tim Breaux,Career,,,NBA,,102,6,940,4.1,11.2,.369,0.8,2.8,.297,3.3,8.4,.393,2.3,3.7,.635,1.5,2.2,3.7,1.6,0.9,0.5,1.8,2.6,11.5
