,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
2212,Gerard King,Career,,,NBA,,126,31,1829,4.6,9.2,.503,0.0,0.0,,4.6,9.2,.503,1.9,2.5,.744,2.5,5.2,7.7,1.7,1.0,0.5,1.8,4.7,11.1
2214,Jimmy King,Career,,,NBA,,64,1,890,4.5,10.6,.429,0.2,1.4,.147,4.3,9.2,.471,2.3,3.3,.691,1.8,2.7,4.5,3.6,1.0,0.5,2.5,3.2,11.5
2215,Loyd King,Career,,,ABA,,84,,1255,5.5,15.0,.365,0.6,2.6,.233,4.9,12.4,.393,3.0,3.6,.811,1.1,2.5,3.6,3.4,,,2.3,5.4,14.5
2217,Reggie King,Career,,,NBA,,438,128,11345,4.8,9.3,.514,0.0,0.0,.000,4.8,9.3,.515,2.8,4.0,.699,2.7,5.9,8.6,2.2,1.2,0.5,2.1,3.2,12.4
2218,Rich King,Career,,,NBA,,72,2,309,5.1,13.0,.393,0.0,0.2,.000,5.1,12.8,.400,5.5,8.3,.662,3.5,5.1,8.6,2.4,0.6,0.8,3.3,7.2,15.7
2219,Ron King,Career,,,ABA,,9,,126,6.9,20.0,.343,0.6,1.7,.333,6.3,18.3,.344,4.0,4.9,.824,2.3,3.1,5.4,4.0,1.4,0.6,2.0,4.0,18.3
2220,Stacey King,Career,,,NBA,,438,63,7406,5.2,10.9,.478,0.0,0.1,.235,5.2,10.8,.480,3.3,4.6,.707,2.9,4.2,7.1,1.9,0.8,1.0,2.6,4.4,13.7
2223,Tarence Kinsey,Career,,,NBA,,109,15,1340,5.0,11.0,.453,0.6,1.9,.324,4.4,9.1,.479,3.1,3.8,.817,1.1,2.8,3.9,1.4,1.8,0.0,1.9,2.7,13.7
2224,Andrei Kirilenko,Career,,,NBA,,797,546,23916,4.7,10.0,.474,0.6,1.8,.310,4.2,8.2,.510,4.2,5.5,.754,2.1,4.4,6.6,3.3,1.7,2.2,2.3,2.4,14.2
2225,Alex Kirk,Career,,,NBA,,5,0,14,2.6,10.3,.250,0.0,0.0,,2.6,10.3,.250,5.1,5.1,1.000,2.6,0.0,2.6,2.6,0.0,0.0,0.0,2.6,10.3
2230,Curtis Kitchen,Career,,,NBA,,6,0,31,3.5,7.0,.500,0.0,1.2,.000,3.5,5.8,.600,3.5,4.6,.750,4.6,5.8,10.5,1.2,2.3,3.5,0.0,4.6,10.5
2231,Greg Kite,Career,,,NBA,,680,225,10080,2.6,5.8,.438,0.0,0.0,.167,2.6,5.8,.439,1.0,2.1,.486,3.2,6.1,9.3,1.2,0.6,1.5,1.9,5.7,6.1
2232,Kerry Kittles,Career,,,NBA,,507,455,16929,5.9,13.5,.439,1.5,3.9,.378,4.4,9.6,.463,1.9,2.5,.780,1.1,3.1,4.2,2.8,1.7,0.5,1.3,1.9,15.2
2233,Maxi Kleber,Career,,,NBA,,55,35,929,4.5,9.4,.477,1.0,3.4,.281,3.5,6.0,.591,1.1,1.5,.718,2.3,4.2,6.5,1.6,0.8,1.4,0.8,3.7,11.0
2234,Joe Kleine,Career,,,NBA,,965,204,14712,4.7,10.3,.453,0.0,0.1,.271,4.6,10.2,.455,2.1,2.6,.794,3.1,6.7,9.8,1.5,0.6,0.7,1.9,4.9,11.4
2235,Linas Kleiza,Career,,,NBA,,409,65,8185,5.6,12.8,.435,1.7,5.1,.335,3.9,7.7,.501,2.8,3.7,.763,1.7,4.8,6.5,1.4,0.7,0.3,1.8,3.9,15.7
2240,Billy Knight,Career,,,TOT,,821,113,23746,8.2,16.2,.507,0.1,0.3,.284,8.1,16.0,.511,4.6,5.5,.827,2.6,4.0,6.6,2.8,1.3,0.2,3.1,2.4,21.1
2242,Brandin Knight,Career,,,NBA,,1,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2243,Brandon Knight,Career,,,NBA,,382,320,11939,6.3,15.2,.415,1.9,5.3,.357,4.4,9.9,.445,3.0,3.8,.812,0.7,3.2,3.9,4.9,1.1,0.2,3.1,2.4,17.5
2244,Brevin Knight,Career,,,NBA,,729,423,18176,4.0,9.7,.412,0.0,0.2,.134,4.0,9.5,.419,2.6,3.2,.789,0.6,3.0,3.5,8.9,2.4,0.2,2.7,3.7,10.6
2245,Negele Knight,Career,,,NBA,,276,77,4513,5.4,12.3,.436,0.2,0.8,.263,5.2,11.5,.447,2.6,3.6,.730,0.9,1.9,2.8,6.2,1.0,0.2,2.8,3.2,13.6
2247,Toby Knight,Career,,,NBA,,283,0,7331,7.9,15.2,.519,0.0,0.0,.000,7.9,15.1,.519,2.1,2.9,.740,2.7,4.4,7.1,1.6,1.2,0.9,2.2,4.4,17.9
2248,Travis Knight,Career,,,NBA,,371,58,4566,4.1,9.4,.438,0.1,0.5,.259,4.0,8.9,.447,1.7,2.5,.696,3.5,5.7,9.1,1.8,1.1,1.7,1.9,6.3,10.1
2252,Bart Kofoed,Career,,,NBA,,111,0,702,3.0,7.7,.387,0.2,0.8,.188,2.8,6.9,.410,2.2,3.6,.614,0.8,2.1,2.9,5.5,1.0,0.2,2.9,4.9,8.3
2256,Jon Koncak,Career,,,NBA,,784,379,16409,3.2,6.7,.470,0.0,0.2,.226,3.1,6.6,.477,1.3,2.3,.597,2.3,6.1,8.5,1.7,1.2,1.7,1.4,5.4,7.7
2259,Joe Kopicki,Career,,,NBA,,118,3,1187,4.2,8.4,.493,0.1,0.3,.273,4.1,8.1,.502,4.7,5.8,.812,3.4,6.2,9.5,2.5,1.1,0.2,2.3,4.5,13.1
2260,Furkan Korkmaz,Career,,,NBA,,6,0,32,3.4,13.5,.250,1.1,9.0,.125,2.3,4.5,.500,2.3,2.3,1.000,2.3,4.5,6.8,2.3,1.1,0.0,1.1,4.5,10.1
2261,Frank Kornet,Career,,,NBA,,89,0,595,3.9,10.6,.369,0.6,2.3,.263,3.3,8.3,.399,1.9,3.1,.596,2.1,3.6,5.7,1.8,1.1,0.2,2.1,5.0,10.3
2262,Luke Kornet,Career,,,NBA,,5,0,54,2.7,13.3,.200,2.0,10.7,.188,0.7,2.7,.250,0.0,0.0,,2.0,8.0,10.0,2.0,1.3,3.3,0.7,0.7,7.3
2263,Yaroslav Korolev,Career,,,NBA,,34,0,168,2.8,9.9,.283,0.6,2.6,.250,2.1,7.3,.294,2.1,3.4,.625,1.3,2.1,3.4,2.8,1.3,0.0,1.5,2.4,8.4
2264,Kyle Korver,Career,,,NBA,,1092,418,28623,4.7,10.6,.444,2.8,6.4,.431,2.0,4.2,.463,1.5,1.7,.880,0.4,3.8,4.2,2.5,0.9,0.5,1.5,2.9,13.7
2269,Kosta Koufos,Career,,,NBA,,630,222,10451,5.6,10.4,.535,0.0,0.0,.000,5.6,10.4,.535,1.4,2.3,.592,3.8,7.1,10.9,1.1,0.9,1.6,1.5,4.4,12.5
2272,Arvid Kramer,Career,,,NBA,,8,,45,5.6,17.6,.318,0.0,0.0,,5.6,17.6,.318,1.6,1.6,1.000,4.8,4.8,9.6,2.4,0.0,4.0,4.0,6.4,12.8
2274,Joel Kramer,Career,,,NBA,,328,4,4184,4.2,8.7,.479,0.0,0.0,.000,4.2,8.6,.481,2.5,3.4,.737,2.9,5.0,7.9,3.0,1.2,0.5,2.3,5.0,10.8
2278,Viacheslav Kravtsov,Career,,,NBA,,45,0,283,5.2,7.8,.672,0.0,0.0,,5.2,7.8,.672,1.9,5.7,.333,4.2,3.7,7.9,1.3,0.6,1.3,2.5,5.0,12.3
2280,Wayne Kreklow,Career,,,NBA,,25,0,100,4.0,16.9,.234,0.4,1.4,.250,3.6,15.5,.233,2.5,3.6,.700,0.7,3.6,4.3,3.2,0.7,0.4,3.6,7.2,10.8
2283,Nenad Krstic,Career,,,NBA,,419,373,10547,5.9,11.9,.494,0.0,0.0,.143,5.9,11.9,.495,2.6,3.6,.730,2.6,5.1,7.7,1.2,0.6,1.0,1.7,4.3,14.4
2284,Larry Krystkowiak,Career,,,NBA,,420,134,9097,5.1,11.2,.457,0.0,0.1,.139,5.1,11.1,.461,3.3,4.1,.795,2.5,5.6,8.1,2.0,1.0,0.2,2.1,4.1,13.6
2287,Bruce Kuczenski,Career,,,NBA,,15,2,119,3.0,11.2,.270,0.0,0.0,,3.0,11.2,.270,2.4,3.6,.667,2.1,4.8,7.0,2.4,0.3,0.3,4.5,5.4,8.5
2289,John Kuester,Career,,,NBA,,135,,1527,4.1,9.5,.427,0.0,0.4,.000,4.1,9.5,.428,2.5,3.0,.833,0.6,2.7,3.3,7.2,2.0,0.1,2.9,4.2,10.6
2291,Toni Kukoc,Career,,,NBA,,846,259,22212,5.9,13.2,.447,1.2,3.5,.335,4.7,9.6,.488,2.9,4.0,.729,1.6,4.1,5.8,5.1,1.3,0.5,2.5,2.4,15.9
2292,Kevin Kunnert,Career,,,NBA,,555,0,12104,6.0,12.6,.476,0.0,0.0,,6.0,12.6,.476,1.7,2.4,.682,4.1,7.8,12.0,2.3,0.7,1.8,2.7,5.7,13.7
2294,Mitch Kupchak,Career,,,NBA,,510,32,9905,7.3,13.9,.523,0.0,0.0,.000,7.3,13.9,.523,4.3,6.2,.704,3.5,6.4,9.9,1.4,0.6,0.6,2.9,4.1,18.9
2296,Rob Kurz,Career,,,NBA,,40,5,442,4.2,10.7,.389,1.2,3.1,.395,2.9,7.6,.387,3.3,4.1,.800,2.7,3.9,6.6,1.6,1.1,1.5,1.3,6.4,12.8
2297,Ibo Kutluay,Career,,,NBA,,5,0,12,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0
2298,Kyle Kuzma,Career,,,NBA,,60,21,1759,7.2,16.0,.448,2.4,6.6,.364,4.8,9.5,.505,2.2,3.1,.702,1.5,5.7,7.2,2.2,0.7,0.6,2.1,2.5,18.9
2299,Ognjen Kuzmic,Career,,,NBA,,37,0,164,2.9,5.5,.520,0.0,0.0,,2.9,5.5,.520,2.0,3.3,.600,3.7,4.6,8.3,1.8,1.1,1.1,3.3,6.6,7.7
2300,Mindaugas Kuzminskas,Career,,,NBA,,69,5,1018,5.6,13.1,.426,1.9,5.9,.321,3.7,7.2,.512,1.9,2.4,.809,1.7,2.8,4.5,2.4,1.0,0.4,1.8,2.8,15.0
2301,Skal Labissiere,Career,,,NBA,,80,31,1506,6.5,13.1,.494,0.3,0.9,.333,6.2,12.2,.505,2.9,4.0,.735,2.9,5.9,8.8,1.6,0.9,1.1,2.0,3.9,16.1
2304,Sam Lacey,Career,,,NBA,,1002,40,31873,4.8,10.9,.441,0.0,0.1,.188,4.8,10.9,.442,2.0,2.7,.738,2.5,8.0,10.9,4.2,1.5,1.8,3.1,3.9,11.6
2305,Bob Lackey,Career,,,ABA,,71,,1200,4.7,10.9,.431,0.1,0.1,.400,4.6,10.7,.431,3.0,5.0,.593,1.9,3.0,4.9,4.1,2.4,0.0,3.6,5.2,12.4
2307,Wendell Ladner,Career,,,ABA,,300,,7883,6.8,17.7,.386,0.5,2.0,.252,6.3,15.7,.403,1.7,2.3,.712,3.7,7.6,11.3,2.8,2.5,0.1,2.8,5.3,15.9
2308,Christian Laettner,Career,,,NBA,,868,692,25760,5.6,11.7,.480,0.1,0.5,.261,5.5,11.3,.490,4.1,5.0,.820,2.3,5.8,8.1,3.1,1.3,0.9,2.7,3.9,15.5
2309,Oliver Lafayette,Career,,,NBA,,1,0,22,4.9,9.8,.500,1.6,3.3,.500,3.3,6.5,.500,0.0,0.0,,1.6,4.9,6.5,3.3,0.0,0.0,1.6,0.0,11.5
2310,Raef LaFrentz,Career,,,NBA,,563,438,14545,5.5,11.8,.466,1.2,3.3,.363,4.3,8.6,.505,1.9,2.6,.711,2.5,6.0,8.5,1.5,0.7,2.3,1.3,4.6,14.1
2311,Tom LaGarde,Career,,,NBA,,312,28,6194,5.1,10.9,.462,0.0,0.0,.000,5.1,10.9,.463,3.7,5.8,.640,2.9,6.3,9.3,2.7,0.5,0.8,3.1,5.0,13.8
2312,Bill Laimbeer,Career,,,NBA,,1068,861,33956,5.9,11.9,.498,0.2,0.7,.326,5.7,11.2,.508,2.6,3.1,.837,3.0,8.0,11.0,2.3,0.8,1.0,1.7,3.9,14.6
2314,Bo Lamar,Career,,,TOT,,273,,8036,8.3,20.3,.411,0.6,2.3,.267,7.8,18.3,.426,2.9,3.8,.768,1.2,2.1,3.3,4.8,1.6,0.1,2.7,2.0,20.1
2315,Doron Lamb,Career,,,NBA,,100,0,1272,3.5,9.1,.381,1.4,3.6,.394,2.1,5.5,.372,1.4,2.0,.700,0.5,2.2,2.7,2.1,0.7,0.0,1.5,3.0,9.8
2316,Jeremy Lamb,Career,,,NBA,,338,27,6221,6.6,15.0,.442,1.8,5.3,.332,4.9,9.7,.502,2.5,3.0,.833,0.9,5.4,6.3,2.7,1.1,0.6,1.5,3.0,17.6
2317,John Lambert,Career,,,NBA,,446,7,5564,4.7,11.0,.428,0.0,0.2,.083,4.7,10.9,.430,1.5,2.2,.693,3.6,6.0,9.7,1.6,1.0,1.1,2.0,5.6,10.9
2318,Jeff Lamp,Career,,,NBA,,291,3,3471,6.3,13.4,.470,0.1,0.6,.222,6.2,12.8,.481,2.8,3.3,.841,1.4,3.2,4.5,2.8,1.1,0.1,2.3,4.1,15.5
2319,Maciej Lampe,Career,,,NBA,,64,0,632,5.4,13.2,.407,0.1,0.5,.250,5.2,12.7,.413,1.4,2.1,.676,2.1,6.0,8.1,1.3,0.5,0.6,2.0,4.6,12.2
2320,Jim Lampley,Career,,,NBA,,1,0,16,2.3,6.8,.333,0.0,0.0,,2.3,6.8,.333,2.3,4.5,.500,2.3,9.0,11.3,0.0,2.3,0.0,2.3,0.0,6.8
2321,Sean Lampley,Career,,,NBA,,45,0,550,4.5,9.8,.463,0.0,0.3,.000,4.5,9.5,.476,4.3,6.2,.691,1.8,4.3,6.2,2.2,0.5,0.3,1.8,2.9,13.3
2322,Carl Landry,Career,,,NBA,,513,93,11524,6.5,12.2,.535,0.0,0.1,.300,6.5,12.1,.537,4.2,5.4,.785,3.1,4.8,7.9,1.1,0.7,0.6,1.9,3.8,17.3
2323,Marcus Landry,Career,,,NBA,,18,0,111,5.2,13.9,.372,2.9,9.1,.321,2.3,4.9,.467,1.0,1.6,.600,1.6,4.5,6.2,0.0,0.3,0.6,1.9,4.5,14.3
2324,Mark Landsberger,Career,,,NBA,,437,5,7306,5.0,10.5,.481,0.0,0.0,.000,5.0,10.5,.482,2.1,4.0,.522,5.1,8.1,13.2,1.2,0.6,0.3,2.3,3.4,12.2
2325,Jerome Lane,Career,,,NBA,,218,79,3215,5.6,12.6,.441,0.0,0.2,.063,5.6,12.4,.447,1.8,4.7,.379,6.3,7.7,14.1,3.6,1.5,0.4,2.9,6.1,12.9
2326,Andrew Lang,Career,,,NBA,,737,380,15344,4.2,8.9,.470,0.0,0.0,.250,4.2,8.8,.471,2.0,2.7,.744,2.8,5.5,8.2,1.0,0.8,2.6,1.6,4.8,10.4
2327,Antonio Lang,Career,,,NBA,,143,1,1395,3.1,6.9,.455,0.0,0.2,.000,3.1,6.7,.469,2.2,3.1,.719,2.1,3.4,5.4,1.3,1.4,1.2,2.3,5.3,8.5
2328,James Lang,Career,,,NBA,,11,0,55,2.6,5.9,.444,0.0,0.0,,2.6,5.9,.444,2.0,3.3,.600,3.3,3.9,7.2,1.3,0.0,2.0,1.3,9.2,7.2
2329,Trajan Langdon,Career,,,NBA,,119,5,1738,4.6,11.0,.416,1.8,4.5,.396,2.8,6.5,.429,2.5,2.8,.910,0.6,2.7,3.3,3.1,1.2,0.3,2.0,3.7,13.4
2330,Keith Langford,Career,,,NBA,,2,0,10,3.6,14.4,.250,0.0,0.0,,3.6,14.4,.250,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,0.0,3.6,7.2
2331,Dan Langhi,Career,,,NBA,,133,8,1253,4.9,12.6,.391,0.3,1.1,.289,4.6,11.5,.400,1.1,1.8,.613,1.6,4.2,5.7,1.1,0.9,0.3,1.0,3.0,11.3
2332,Bob Lanier,Career,,,NBA,,959,179,32103,8.7,16.9,.514,0.0,0.1,.154,8.7,16.9,.515,4.2,5.4,.767,2.8,7.3,10.9,3.4,1.2,1.7,3.1,3.4,21.6
2334,Nicolas Laprovittola,Career,,,NBA,,18,3,174,4.1,9.7,.426,2.1,5.6,.370,2.1,4.1,.500,1.9,1.9,1.000,0.2,1.9,2.1,5.8,0.8,0.2,3.9,3.9,12.2
2336,Shane Larkin,Career,,,NBA,,242,39,4556,4.0,9.5,.425,0.8,2.5,.330,3.2,7.0,.459,1.4,1.8,.772,0.6,2.9,3.5,5.4,1.8,0.2,2.3,2.8,10.3
2337,Rusty LaRue,Career,,,NBA,,98,7,1565,4.3,11.4,.376,1.2,3.9,.318,3.1,7.5,.407,1.3,1.6,.841,0.5,2.4,2.9,3.5,1.4,0.3,2.2,3.4,11.2
2340,Stephane Lasme,Career,,,NBA,,16,4,303,3.8,8.4,.451,0.0,0.0,,3.8,8.4,.451,2.3,3.8,.594,3.1,3.2,6.3,0.4,1.5,2.6,1.8,4.2,9.9
2341,Dave Lattin,Career,,,TOT,,263,,4157,6.4,13.5,.477,0.0,0.0,.000,6.4,13.4,.478,3.7,5.8,.631,3.8,7.4,11.5,1.6,,,3.1,6.0,16.5
2342,Priest Lauderdale,Career,,,NBA,,74,0,525,7.0,14.8,.472,0.0,0.1,.000,7.0,14.7,.474,3.5,6.3,.554,2.9,6.9,9.8,2.3,0.5,1.8,5.7,7.0,17.5
2346,Joffrey Lauvergne,Career,,,NBA,,194,18,2719,6.1,12.7,.481,0.6,2.3,.285,5.5,10.4,.524,2.0,2.8,.720,3.0,7.0,10.0,2.3,0.7,0.5,2.1,3.7,14.9
2348,Zach LaVine,Career,,,NBA,,224,138,6433,6.5,14.7,.441,1.9,4.9,.379,4.6,9.7,.472,2.7,3.3,.819,0.4,3.4,3.8,4.0,1.0,0.2,2.6,2.8,17.5
2350,Acie Law,Career,,,NBA,,188,8,2385,4.0,9.6,.413,0.4,1.7,.235,3.6,7.9,.452,2.6,3.3,.778,0.5,2.4,2.9,4.7,1.3,0.1,2.2,2.9,10.9
2351,Gani Lawal,Career,,,NBA,,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
2352,Edmund Lawrence,Career,,,NBA,,3,,19,9.5,15.2,.625,0.0,0.0,,9.5,15.2,.625,3.8,7.6,.500,3.8,3.8,7.6,1.9,1.9,0.0,1.9,11.4,22.7
2353,Jason Lawson,Career,,,NBA,,17,0,80,4.1,6.8,.600,0.0,0.0,,4.1,6.8,.600,3.6,4.5,.800,3.6,8.6,12.2,2.3,1.8,1.8,0.9,6.3,11.7
2354,Ty Lawson,Career,,,NBA,,551,344,16088,5.6,12.1,.460,1.1,3.0,.359,4.5,9.2,.493,3.4,4.4,.770,0.8,2.6,3.4,7.4,1.4,0.1,2.6,2.0,15.6
2355,Jake Layman,Career,,,NBA,,62,2,395,3.5,12.0,.288,1.5,6.4,.243,1.9,5.7,.339,1.4,1.8,.750,0.9,2.6,3.5,1.9,1.4,0.5,1.4,3.2,9.8
2356,Mo Layton,Career,,,TOT,,267,,4494,6.2,13.8,.448,0.0,0.0,,6.2,13.8,.448,2.4,3.2,.749,0.5,2.0,2.9,5.7,1.1,0.3,4.2,4.3,14.8
2357,T.J. Leaf,Career,,,NBA,,44,0,404,4.8,10.2,.470,1.5,3.2,.472,3.3,7.0,.468,0.7,1.1,.667,2.2,3.8,6.1,0.7,0.4,0.3,0.8,3.8,11.9
2358,Manny Leaks,Career,,,TOT,,446,,12607,6.1,13.9,.440,0.0,0.0,.000,6.1,13.9,.440,2.9,4.1,.707,4.7,7.2,11.4,1.3,0.4,1.7,2.0,3.3,15.1
2360,Allen Leavell,Career,,,NBA,,700,244,16248,5.6,12.6,.450,0.3,1.3,.234,5.3,11.2,.476,3.2,3.8,.834,0.7,1.9,2.6,7.4,2.1,0.3,2.9,3.3,14.8
2361,Jeff Lebo,Career,,,NBA,,4,0,32,2.3,7.9,.286,0.0,0.0,,2.3,7.9,.286,2.3,2.3,1.000,2.3,2.3,4.5,3.4,2.3,0.0,1.1,7.9,6.8
2362,Eric Leckner,Career,,,NBA,,449,60,5448,4.7,9.3,.508,0.0,0.0,.000,4.7,9.2,.510,2.7,4.0,.669,2.4,7.0,9.4,1.4,0.6,0.9,2.6,6.7,12.1
2363,Ricky Ledo,Career,,,NBA,,28,0,277,4.9,14.7,.336,1.7,4.5,.371,3.2,10.1,.321,2.6,3.4,.769,2.1,2.9,4.9,2.7,0.9,0.1,3.6,3.0,14.2
2364,Butch Lee,Career,,,NBA,,96,,1834,5.8,12.9,.450,0.0,0.0,,5.8,12.9,.450,3.6,4.7,.761,0.8,1.9,2.7,6.0,1.7,0.0,3.2,2.9,15.2
2366,Courtney Lee,Career,,,NBA,,740,496,20847,4.9,10.8,.450,1.4,3.7,.389,3.4,7.2,.482,1.6,1.9,.857,0.6,2.9,3.5,2.2,1.3,0.3,1.3,2.2,12.8
2368,David Lee,Career,,,NBA,,829,505,24293,6.8,12.7,.535,0.0,0.0,.034,6.8,12.7,.537,3.0,4.0,.772,3.2,7.7,10.8,2.7,0.9,0.5,2.2,3.2,16.6
2370,Doug Lee,Career,,,NBA,,73,0,415,5.3,12.8,.412,1.6,5.0,.310,3.7,7.8,.478,2.4,3.5,.700,1.5,2.2,3.6,2.8,1.5,0.4,1.7,5.6,14.6
2372,Greg Lee,Career,,,TOT,,10,,98,3.7,7.0,.526,0.0,0.0,,3.7,7.0,.526,1.5,1.5,1.000,0.4,1.5,1.8,8.8,2.2,0.0,3.4,4.4,8.8
2373,Keith Lee,Career,,,NBA,,182,43,2907,5.6,12.5,.451,0.0,0.1,.167,5.6,12.4,.454,2.5,3.3,.746,3.5,7.2,10.7,2.2,0.9,1.4,2.7,6.1,13.8
2374,Kurk Lee,Career,,,NBA,,48,0,265,2.6,9.6,.268,0.4,2.0,.200,2.2,7.6,.286,3.4,3.8,.893,1.0,3.1,4.1,4.6,1.5,0.3,2.7,5.3,9.0
2375,Malcolm Lee,Career,,,NBA,,36,12,534,3.5,9.2,.382,0.7,2.3,.294,2.8,6.9,.412,1.8,2.5,.703,1.6,2.8,4.4,3.4,1.3,0.7,1.8,3.5,9.4
2376,Rock Lee,Career,,,NBA,,2,0,10,3.6,7.2,.500,0.0,0.0,,3.6,7.2,.500,0.0,14.4,.000,0.0,3.6,3.6,7.2,0.0,0.0,0.0,10.8,7.2
2377,Ron Lee,Career,,,NBA,,448,7,9586,4.9,11.7,.416,0.3,1.1,.321,4.7,11.2,.420,2.4,3.5,.705,1.5,3.1,4.6,6.3,3.3,0.5,3.6,5.1,12.3
2381,Tim Legler,Career,,,NBA,,310,4,5253,5.2,11.7,.447,1.8,4.1,.431,3.4,7.6,.456,2.7,3.2,.840,0.9,2.4,3.3,2.8,1.0,0.3,1.3,3.5,15.0
2382,George Lehmann,Career,,,TOT,,376,,9712,6.0,14.3,.418,1.6,4.4,.365,4.5,10.2,.440,3.0,3.6,.841,0.6,1.6,2.3,6.2,0.8,0.3,3.8,3.2,16.5
2383,"Walt Lemon, Jr.",Career,,,NBA,,3,0,14,5.1,15.4,.333,0.0,0.0,,5.1,15.4,.333,0.0,0.0,,0.0,0.0,0.0,2.6,0.0,0.0,2.6,5.1,10.3
2384,Alex Len,Career,,,NBA,,320,135,6384,4.9,10.2,.481,0.0,0.1,.227,4.9,10.1,.485,3.1,4.3,.712,3.7,8.1,11.7,1.4,0.8,1.9,2.3,5.0,12.9
2385,Voshon Lenard,Career,,,NBA,,565,321,15349,5.7,13.8,.415,2.2,5.7,.384,3.5,8.1,.436,2.2,2.7,.787,0.8,3.0,3.8,2.8,1.0,0.3,1.8,2.8,15.8
2387,Gary Leonard,Career,,,NBA,,31,0,149,4.1,8.9,.459,0.0,0.2,.000,4.1,8.7,.472,2.4,4.8,.500,3.1,5.1,8.2,0.5,1.0,2.4,2.2,7.5,10.6
2388,Kawhi Leonard,Career,,,NBA,,407,380,12364,7.1,14.3,.495,1.5,4.0,.386,5.5,10.3,.537,3.7,4.4,.846,1.5,5.8,7.3,2.7,2.1,0.8,1.6,2.1,19.4
2389,Meyers Leonard,Career,,,NBA,,322,40,5140,4.8,10.4,.467,1.5,4.1,.376,3.3,6.3,.526,1.4,1.7,.824,1.7,6.8,8.5,1.8,0.4,0.7,1.6,5.2,12.6
2391,Jim Les,Career,,,NBA,,321,13,4222,3.2,8.0,.397,1.7,4.2,.396,1.5,3.8,.397,2.3,2.8,.818,0.7,2.6,3.4,7.9,1.4,0.2,2.5,3.6,10.3
2392,Travis Leslie,Career,,,NBA,,10,0,45,4.0,11.2,.357,0.0,0.0,,4.0,11.2,.357,3.2,7.2,.444,4.8,2.4,7.2,4.0,1.6,1.6,1.6,3.2,11.2
2393,Ronnie Lester,Career,,,NBA,,250,116,4959,4.9,10.5,.469,0.0,0.2,.227,4.9,10.4,.472,3.3,4.2,.788,1.1,2.4,3.4,7.3,1.4,0.2,3.4,2.9,13.2
2394,Clifford Lett,Career,,,NBA,,11,0,127,4.5,10.5,.432,0.0,0.3,.000,4.5,10.2,.444,1.7,2.6,.667,0.3,1.7,2.0,2.3,0.6,0.3,2.8,4.8,10.8
2395,Jon Leuer,Career,,,NBA,,336,79,5543,5.9,12.4,.478,0.8,2.4,.335,5.1,10.0,.512,1.9,2.4,.769,2.1,6.5,8.6,1.9,0.8,0.6,1.5,3.4,14.5
2397,Fat Lever,Career,,,NBA,,752,599,23814,6.4,14.4,.447,0.2,0.8,.310,6.2,13.6,.455,2.7,3.5,.771,2.2,4.7,6.8,7.1,2.5,0.3,2.2,2.7,15.8
2398,Caris LeVert,Career,,,NBA,,110,35,2603,5.5,12.6,.437,1.6,5.0,.326,3.9,7.6,.510,2.3,3.3,.706,0.9,4.4,5.3,4.4,1.5,0.4,2.5,2.8,14.9
2399,Cliff Levingston,Career,,,NBA,,830,216,16962,5.0,9.6,.516,0.0,0.1,.152,4.9,9.5,.518,2.6,3.8,.676,3.8,5.4,9.1,1.6,1.1,1.3,1.8,4.9,12.5
2401,Cedric Lewis,Career,,,NBA,,3,0,4,18.0,27.0,.667,0.0,0.0,,18.0,27.0,.667,0.0,0.0,,18.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,36.0
2403,Freddie Lewis,Career,,,TOT,,750,,24924,6.2,14.4,.432,0.4,1.5,.280,5.8,13.0,.448,4.6,5.6,.817,1.5,2.2,4.0,4.3,1.7,0.1,2.6,3.1,17.4
2405,Martin Lewis,Career,,,NBA,,25,0,239,5.3,11.1,.473,0.5,1.5,.300,4.8,9.6,.500,2.4,4.1,.593,2.9,2.4,5.3,1.1,1.4,0.8,2.3,4.4,13.4
2406,Mike Lewis,Career,,,ABA,,337,,10118,5.7,11.5,.498,0.0,0.0,.000,5.7,11.5,.499,3.0,4.1,.735,5.3,9.0,14.3,3.6,0.0,0.0,3.1,4.4,14.5
2407,Quincy Lewis,Career,,,NBA,,159,21,1853,4.5,11.3,.397,0.7,2.2,.333,3.8,9.2,.412,1.3,1.8,.710,1.4,2.7,4.1,1.9,1.1,0.7,1.9,6.5,11.0
