,Name,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
120,Trevor Ariza,Career,,,NBA,,923,622,29.5,3.8,8.9,.426,1.4,3.9,.354,2.4,5.0,.481,.503,1.6,2.2,.722,1.0,3.8,4.8,2.1,1.5,0.3,1.4,2.0,10.5
122,Joe Arlauckas,Career,,,NBA,,9,0,9.4,1.6,4.8,.326,0.0,0.0,,1.6,4.8,.326,.326,0.7,0.9,.750,0.7,0.8,1.4,0.9,0.3,0.4,0.4,1.8,3.8
123,B.J. Armstrong,Career,,,NBA,,747,341,23.8,3.8,8.0,.477,0.6,1.4,.425,3.2,6.6,.487,.513,1.6,1.9,.856,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8
125,Brandon Armstrong,Career,,,NBA,,108,0,6.5,0.9,2.7,.352,0.2,0.7,.333,0.7,2.0,.358,.395,0.1,0.2,.600,0.2,0.4,0.6,0.2,0.2,0.0,0.3,0.8,2.2
127,Darrell Armstrong,Career,,,NBA,,840,337,23.7,3.2,7.7,.409,1.1,3.3,.334,2.1,4.5,.465,.480,1.7,2.0,.871,0.8,1.9,2.7,4.0,1.3,0.1,1.9,1.7,9.2
128,Hilton Armstrong,Career,,,NBA,,292,40,11.6,1.2,2.4,.501,0.0,0.0,.286,1.2,2.3,.503,.502,0.6,1.1,.582,1.0,1.6,2.6,0.3,0.3,0.5,0.8,1.9,3.0
132,Bob Arnzen,Career,,,TOT,,111,,8.6,1.7,3.7,.465,0.0,0.1,.200,1.7,3.7,.468,.466,0.5,0.7,.800,0.6,0.6,2.0,0.3,0.2,0.1,0.3,0.8,4.0
133,Carlos Arroyo,Career,,,NBA,,569,191,18.7,2.5,5.7,.438,0.2,0.7,.338,2.3,5.0,.452,.459,1.4,1.7,.806,0.4,1.3,1.7,3.1,0.5,0.0,1.2,1.5,6.6
134,Darrell Arthur,Career,,,NBA,,500,106,17.9,2.8,6.2,.444,0.3,0.9,.350,2.4,5.3,.460,.470,0.7,0.9,.765,1.1,2.4,3.5,0.8,0.6,0.6,0.8,2.5,6.6
136,Jamel Artis,Career,,,NBA,,5,0,11.0,0.8,3.4,.235,0.0,1.0,.000,0.8,2.4,.333,.235,0.2,0.6,.333,0.2,1.2,1.4,0.8,0.0,0.0,0.0,0.0,1.8
137,Omer Asik,Career,,,NBA,,467,262,19.6,2.0,3.8,.528,0.0,0.0,.000,2.0,3.8,.529,.528,1.3,2.3,.551,2.2,5.0,7.2,0.6,0.4,0.7,1.2,2.0,5.3
138,Vincent Askew,Career,,,NBA,,467,27,20.0,2.6,5.4,.479,0.2,0.5,.300,2.4,4.9,.499,.494,1.7,2.3,.754,0.9,1.7,2.5,2.2,0.7,0.2,1.1,2.1,7.1
139,Keith Askins,Career,,,NBA,,486,80,16.4,1.4,3.5,.401,0.6,1.6,.355,0.8,1.9,.440,.483,0.5,0.6,.717,1.1,1.9,2.9,0.8,0.6,0.3,0.7,2.3,3.8
142,Chucky Atkins,Career,,,NBA,,696,325,24.9,3.6,8.7,.412,1.3,3.7,.364,2.2,5.0,.447,.489,1.4,1.8,.772,0.3,1.4,1.7,3.4,0.7,0.1,1.5,1.8,9.9
145,Stacey Augmon,Career,,,NBA,,1001,472,21.6,3.0,6.5,.469,0.0,0.1,.152,3.0,6.4,.473,.470,1.9,2.6,.728,1.3,1.9,3.2,1.6,1.0,0.3,1.2,1.7,8.0
146,D.J. Augustin,Career,,,NBA,,706,206,23.5,3.1,7.6,.404,1.2,3.3,.375,1.8,4.3,.426,.485,2.1,2.5,.862,0.3,1.5,1.8,3.8,0.6,0.0,1.5,1.5,9.5
147,James Augustine,Career,,,NBA,,27,0,5.8,0.7,1.4,.514,0.0,0.0,,0.7,1.4,.514,.514,0.1,0.3,.500,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6
