,Name,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
2459,Kevin Love,Career,,,NBA,,624,542,32.2,6.1,13.7,.444,1.6,4.3,.368,4.5,9.4,.479,.502,4.6,5.6,.824,3.0,8.3,11.3,2.3,0.7,0.5,1.9,2.1,18.3
2460,Stan Love,Career,,,TOT,,239,,14.7,2.7,6.2,.440,0.0,0.0,,2.7,6.2,.440,.440,1.2,1.6,.751,1.0,2.2,3.9,0.8,0.5,0.4,0.5,2.5,6.6
2462,Sidney Lowe,Career,,,NBA,,193,40,17.7,1.0,2.8,.367,0.0,0.2,.133,1.0,2.6,.380,.370,0.8,1.1,.764,0.4,1.3,1.7,3.9,1.0,0.0,1.0,1.5,2.9
2464,Kyle Lowry,Career,,,NBA,,771,535,31.0,4.6,10.9,.424,1.7,4.6,.368,2.9,6.3,.465,.502,3.4,4.3,.802,0.8,3.4,4.2,5.8,1.4,0.3,2.2,2.7,14.4
2467,John Lucas,Career,,,NBA,,928,266,27.5,4.2,9.4,.449,0.4,1.2,.303,3.9,8.5,.464,.463,2.0,2.6,.776,0.5,1.8,2.3,7.0,1.4,0.1,2.1,1.8,10.7
2468,Kalin Lucas,Career,,,NBA,,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2469,Maurice Lucas,Career,,,TOT,,1021,244,29.5,5.8,12.3,.471,0.0,0.1,.143,5.8,12.3,.473,.472,2.9,3.8,.765,2.6,6.5,9.1,2.4,0.8,0.6,2.5,3.4,14.6
2470,John Lucas III,Career,,,NBA,,242,8,12.1,1.9,4.9,.383,0.7,2.0,.344,1.2,2.9,.409,.452,0.3,0.4,.768,0.2,0.7,1.0,1.5,0.4,0.0,0.5,0.8,4.7
2472,Tyronn Lue,Career,,,NBA,,554,173,22.7,3.2,7.3,.437,0.8,2.1,.391,2.4,5.2,.456,.494,1.3,1.6,.829,0.2,1.5,1.7,3.1,0.5,0.0,1.2,1.9,8.5
2477,Timothe Luwawu-Cabarrot,Career,,,NBA,,118,26,16.8,2.1,5.3,.388,0.9,2.7,.321,1.2,2.6,.458,.470,1.3,1.5,.834,0.3,1.5,1.9,1.1,0.4,0.1,0.9,2.1,6.3
2478,Tyler Lydon,Career,,,NBA,,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,Trey Lyles,Career,,,NBA,,208,39,17.8,2.8,6.4,.433,0.9,2.5,.361,1.9,3.9,.479,.503,1.0,1.4,.698,0.7,3.2,3.9,1.0,0.4,0.3,0.9,1.5,7.4
2481,George Lynch,Career,,,NBA,,774,420,22.8,2.7,6.0,.446,0.2,0.6,.306,2.5,5.4,.462,.462,1.0,1.6,.652,1.9,3.1,5.0,1.4,1.1,0.3,1.1,2.2,6.6
2482,Kevin Lynch,Career,,,NBA,,95,11,12.0,1.3,3.0,.436,0.0,0.1,.333,1.3,2.9,.440,.441,0.6,0.9,.726,0.4,0.8,1.3,1.1,0.5,0.2,0.7,1.6,3.3
2485,Sheldon Mac,Career,,,NBA,,30,3,9.6,1.0,2.5,.400,0.2,1.0,.233,0.8,1.5,.511,.447,0.8,0.9,.852,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.6,3.0
2488,Todd MacCulloch,Career,,,NBA,,223,105,15.4,2.5,4.7,.541,0.0,0.0,,2.5,4.7,.541,.541,1.0,1.6,.642,1.5,2.5,4.0,0.5,0.3,0.8,0.7,2.1,6.1
2490,Scott Machado,Career,,,NBA,,6,0,3.5,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600,.500,0.3,0.3,1.000,0.0,0.2,0.2,1.0,0.3,0.0,1.3,0.0,1.3
2491,Arvydas Macijauskas,Career,,,NBA,,19,0,7.1,0.7,2.2,.341,0.2,0.6,.250,0.6,1.5,.379,.378,0.7,0.8,.867,0.2,0.4,0.5,0.3,0.4,0.0,0.4,0.5,2.3
2492,Ollie Mack,Career,,,NBA,,128,3,19.6,3.1,6.8,.458,0.0,0.1,.000,3.1,6.6,.467,.458,1.0,1.4,.674,1.0,1.5,2.5,1.8,0.7,0.1,0.9,1.4,7.2
2493,Sam Mack,Career,,,NBA,,259,105,19.4,2.8,6.9,.400,1.3,3.4,.374,1.5,3.5,.426,.493,1.0,1.2,.831,0.4,1.6,2.1,1.3,0.6,0.1,0.8,1.8,7.8
2494,Shelvin Mack,Career,,,NBA,,379,53,17.6,2.5,5.7,.428,0.6,1.9,.322,1.8,3.8,.481,.482,0.8,1.0,.747,0.2,1.7,2.0,3.0,0.6,0.0,1.2,1.2,6.3
2495,Malcolm Mackey,Career,,,NBA,,22,0,3.1,0.6,1.7,.378,0.0,0.1,.000,0.6,1.6,.400,.378,0.2,0.4,.500,0.5,0.5,1.1,0.0,0.0,0.1,0.1,0.4,1.5
2496,Rudy Macklin,Career,,,NBA,,160,52,17.2,2.5,5.5,.449,0.0,0.0,.000,2.5,5.4,.452,.449,1.5,2.0,.776,1.3,1.6,2.9,0.8,0.5,0.2,1.3,2.7,6.4
2497,Vernon Macklin,Career,,,NBA,,23,0,5.9,0.8,1.5,.543,0.0,0.0,,0.8,1.5,.543,.543,0.3,0.6,.571,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,2.0
2499,Don MacLean,Career,,,NBA,,319,111,20.9,4.1,9.1,.455,0.2,0.6,.284,4.0,8.5,.467,.465,2.5,3.3,.765,1.1,2.7,3.8,1.3,0.4,0.2,1.2,1.9,10.9
2500,Mark Macon,Career,,,NBA,,251,104,20.0,2.8,7.2,.384,0.1,0.5,.270,2.6,6.7,.393,.394,1.0,1.4,.735,0.7,1.2,1.9,1.7,1.4,0.1,1.3,2.3,6.7
2501,Kyle Macy,Career,,,NBA,,551,257,25.9,3.9,7.9,.501,0.3,1.0,.337,3.6,6.8,.526,.523,1.3,1.5,.873,0.6,1.6,2.2,4.0,1.1,0.1,1.3,2.0,9.5
2503,Tito Maddox,Career,,,NBA,,9,0,3.9,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,0.6,0.9,.625,0.1,0.7,0.8,0.6,0.3,0.1,0.3,0.4,1.2
2504,Gerald Madkins,Career,,,NBA,,48,0,8.8,0.5,1.5,.366,0.3,0.7,.375,0.3,0.8,.359,.451,0.3,0.4,.762,0.1,0.5,0.5,1.4,0.5,0.0,0.6,0.8,1.7
2505,Mark Madsen,Career,,,NBA,,453,70,11.8,0.8,1.8,.457,0.0,0.0,.063,0.8,1.8,.465,.457,0.5,0.9,.527,1.2,1.3,2.6,0.4,0.3,0.2,0.5,1.9,2.2
2507,Josh Magette,Career,,,NBA,,10,0,7.4,0.6,1.5,.400,0.3,0.7,.429,0.3,0.8,.375,.500,0.6,0.6,1.000,0.1,0.6,0.7,2.2,0.3,0.0,0.2,0.6,2.1
2508,Corey Maggette,Career,,,NBA,,827,478,28.2,4.9,10.8,.453,0.6,1.7,.324,4.4,9.1,.478,.479,5.6,6.8,.822,1.1,3.8,4.9,2.1,0.7,0.2,2.3,2.8,16.0
2509,Dave Magley,Career,,,NBA,,14,0,4.0,0.3,1.1,.250,0.0,0.1,.000,0.3,1.1,.267,.250,0.3,0.6,.500,0.1,0.6,0.7,0.1,0.1,0.0,0.1,0.4,0.9
2510,Jamaal Magloire,Career,,,NBA,,680,314,21.5,2.6,5.4,.480,0.0,0.0,.000,2.6,5.4,.481,.480,2.0,3.2,.639,2.1,4.4,6.5,0.6,0.3,0.9,1.5,2.6,7.2
2512,Ian Mahinmi,Career,,,NBA,,530,92,16.6,1.9,3.5,.542,0.0,0.0,.000,1.9,3.5,.544,.542,1.3,2.1,.607,1.5,2.8,4.3,0.5,0.6,0.7,1.0,2.6,5.1
2514,Brian Mahoney,Career,,,ABA,,19,,9.5,0.9,3.0,.298,0.0,0.1,.000,0.9,2.9,.309,.298,1.3,2.1,.600,0.2,0.5,0.7,0.6,,,0.9,1.8,3.1
2516,Rick Mahorn,Career,,,NBA,,1117,613,23.1,2.8,5.6,.493,0.0,0.0,.132,2.8,5.6,.495,.493,1.4,2.0,.704,1.6,4.6,6.2,1.0,0.6,0.9,1.3,3.1,6.9
2517,Dan Majerle,Career,,,NBA,,955,454,31.6,4.1,9.6,.431,1.4,4.0,.358,2.7,5.6,.482,.505,1.7,2.4,.741,1.2,3.3,4.5,2.9,1.3,0.4,1.2,2.0,11.4
2518,Renaldo Major,Career,,,NBA,,1,0,27.0,2.0,10.0,.200,0.0,0.0,,2.0,10.0,.200,.200,1.0,2.0,.500,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0
2519,Thon Maker,Career,,,NBA,,119,46,13.9,1.7,3.8,.435,0.5,1.4,.341,1.2,2.4,.488,.497,0.8,1.1,.682,0.9,1.8,2.7,0.5,0.3,0.6,0.5,1.9,4.5
2521,Jeff Malone,Career,,,NBA,,905,755,32.8,7.8,16.2,.484,0.1,0.4,.268,7.7,15.9,.489,.487,3.3,3.7,.871,0.6,2.0,2.6,2.4,0.6,0.1,1.7,1.9,19.0
2522,Karl Malone,Career,,,NBA,,1476,1471,37.2,9.2,17.8,.516,0.1,0.2,.274,9.1,17.5,.519,.518,6.6,8.9,.742,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25.0
2523,Moses Malone,Career,,,TOT,,1455,784,34.0,7.1,14.3,.495,0.0,0.1,.096,7.1,14.2,.497,.495,6.2,8.2,.760,5.1,7.2,12.3,1.3,0.8,1.3,3.1,2.4,20.3
2524,Matt Maloney,Career,,,NBA,,295,206,25.3,2.7,6.5,.408,1.4,3.6,.372,1.3,2.9,.453,.512,0.7,0.9,.797,0.2,1.5,1.7,2.9,0.8,0.0,1.3,1.3,7.4
2525,Steve Malovic,Career,,,NBA,,39,,11.4,0.8,1.7,.463,0.0,0.0,,0.8,1.7,.463,.463,0.5,0.7,.667,0.9,1.3,2.2,0.7,0.2,0.2,0.6,1.3,2.1
2526,Mike Maloy,Career,,,ABA,,71,,12.1,2.4,5.6,.424,0.0,0.0,.000,2.4,5.6,.425,.424,1.5,2.1,.702,1.4,2.4,3.8,0.7,,,1.1,2.2,6.2
2530,Danny Manning,Career,,,NBA,,883,398,27.4,5.7,11.1,.511,0.0,0.2,.206,5.6,10.9,.517,.513,2.6,3.5,.729,1.7,3.5,5.2,2.3,1.1,0.9,2.1,3.3,14.0
2531,Ed Manning,Career,,,TOT,,604,,16.9,2.5,5.6,.448,0.0,0.0,.125,2.5,5.6,.448,.448,0.8,1.1,.764,1.3,3.2,4.5,0.8,0.8,0.2,1.0,2.4,5.9
2533,Rich Manning,Career,,,NBA,,55,2,9.3,1.5,3.5,.415,0.0,0.1,.400,1.4,3.5,.416,.421,0.3,0.5,.643,0.6,1.1,1.7,0.2,0.1,0.1,0.4,1.2,3.3
2534,Pace Mannion,Career,,,NBA,,216,4,9.8,1.2,2.9,.413,0.1,0.4,.203,1.1,2.5,.443,.425,0.6,0.9,.663,0.4,0.8,1.2,1.1,0.5,0.1,0.6,1.1,3.1
2536,Pete Maravich,Career,,,NBA,,658,4,37.0,9.4,21.3,.441,0.2,0.3,.667,9.4,21.3,.441,.441,5.4,6.6,.820,1.0,3.3,4.2,5.4,1.4,0.3,3.7,2.8,24.2
2538,Devyn Marble,Career,,,NBA,,44,7,10.4,0.8,2.6,.304,0.3,1.2,.222,0.5,1.4,.377,.357,0.3,0.9,.375,0.3,1.3,1.6,0.7,0.5,0.1,0.4,0.9,2.2
2539,Roy Marble,Career,,,NBA,,29,0,6.7,0.6,2.4,.257,0.0,0.1,.000,0.6,2.3,.265,.257,0.7,1.1,.594,0.6,0.5,1.1,0.4,0.2,0.1,0.6,0.6,1.9
2540,Stephon Marbury,Career,,,NBA,,846,816,37.7,6.8,15.7,.433,1.2,3.6,.325,5.6,12.1,.465,.470,4.5,5.7,.784,0.7,2.3,3.0,7.6,1.2,0.1,3.0,2.4,19.3
2541,Sarunas Marciulionis,Career,,,NBA,,363,30,22.4,4.3,8.6,.505,0.3,0.9,.369,4.0,7.6,.522,.526,3.8,4.9,.768,0.8,1.5,2.3,2.2,1.3,0.1,2.0,2.7,12.8
2544,Shawn Marion,Career,,,NBA,,1163,1062,34.5,6.3,12.9,.484,0.7,2.1,.331,5.6,10.9,.513,.510,2.0,2.5,.810,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2
2545,Boban Marjanovic,Career,,,NBA,,113,5,8.8,2.0,3.5,.569,0.0,0.0,,2.0,3.5,.569,.569,1.6,2.0,.788,1.3,2.2,3.5,0.4,0.2,0.4,0.6,1.0,5.6
2546,Lauri Markkanen,Career,,,NBA,,56,56,30.4,5.4,12.8,.425,2.1,6.0,.349,3.3,6.8,.492,.507,1.9,2.2,.854,1.2,6.5,7.7,1.2,0.5,0.6,1.2,1.6,14.9
2547,Damir Markota,Career,,,NBA,,30,0,5.7,0.6,1.7,.365,0.2,0.5,.375,0.4,1.2,.361,.423,0.2,0.4,.636,0.4,0.7,1.0,0.2,0.1,0.0,0.5,0.7,1.7
2548,Sean Marks,Career,,,NBA,,230,11,9.9,1.1,2.5,.448,0.0,0.1,.200,1.1,2.4,.459,.452,0.5,0.8,.665,0.7,1.5,2.2,0.2,0.1,0.4,0.5,1.5,2.8
2552,Donny Marshall,Career,,,NBA,,119,0,7.7,0.7,2.3,.321,0.4,1.1,.336,0.4,1.2,.308,.399,0.6,0.9,.681,0.3,0.7,1.0,0.3,0.3,0.0,0.4,0.9,2.5
2553,Donyell Marshall,Career,,,NBA,,957,422,26.2,4.3,9.8,.435,0.9,2.7,.350,3.3,7.1,.468,.483,1.7,2.3,.731,2.0,4.7,6.7,1.4,0.8,0.9,1.4,2.3,11.2
2554,Kendall Marshall,Career,,,NBA,,160,57,19.3,2.0,4.9,.399,0.8,2.2,.370,1.2,2.8,.422,.480,0.3,0.5,.611,0.1,1.4,1.6,4.9,0.7,0.1,1.8,1.1,5.0
2555,Rawle Marshall,Career,,,NBA,,63,11,9.6,0.9,2.4,.376,0.1,0.3,.238,0.8,2.0,.398,.393,0.8,1.2,.716,0.3,0.7,1.0,0.4,0.3,0.2,0.5,0.6,2.7
2558,Bill Martin,Career,,,NBA,,84,0,10.2,2.0,4.5,.449,0.0,0.1,.000,2.0,4.3,.460,.449,0.7,0.9,.813,0.6,1.0,1.6,0.7,0.4,0.1,0.9,1.5,4.7
2559,Bob Martin,Career,,,NBA,,54,1,10.2,0.8,1.7,.441,0.0,0.0,,0.8,1.7,.441,.441,0.6,0.9,.608,0.7,1.5,2.2,0.3,0.1,0.6,0.5,2.0,2.1
2560,Brian Martin,Career,,,NBA,,8,0,2.6,0.4,0.9,.429,0.0,0.0,,0.4,0.9,.429,.429,0.0,0.3,.000,0.1,0.4,0.5,0.0,0.0,0.1,0.3,0.9,0.8
2561,Cartier Martin,Career,,,NBA,,243,15,13.8,1.8,4.5,.392,0.9,2.4,.372,0.9,2.1,.414,.491,0.6,0.9,.729,0.4,1.5,1.9,0.5,0.4,0.1,0.5,1.3,5.1
2562,Cuonzo Martin,Career,,,NBA,,7,0,4.6,0.4,1.7,.250,0.4,0.7,.600,0.0,1.0,.000,.375,0.0,0.3,.000,0.3,0.1,0.4,0.4,0.1,0.0,0.3,0.3,1.3
2563,Darrick Martin,Career,,,NBA,,514,178,17.8,2.3,6.0,.382,0.7,2.0,.340,1.6,4.0,.402,.438,1.6,1.9,.843,0.2,0.9,1.1,2.9,0.7,0.0,1.2,1.7,6.9
2566,Fernando Martin,Career,,,NBA,,24,0,6.1,0.4,1.3,.290,0.0,0.0,.000,0.4,1.3,.300,.290,0.2,0.5,.364,0.3,0.8,1.2,0.4,0.3,0.0,0.8,1.0,0.9
2567,Jarell Martin,Career,,,NBA,,127,25,17.0,2.1,4.8,.439,0.3,0.7,.359,1.9,4.1,.453,.466,1.1,1.5,.780,1.2,2.5,3.7,0.6,0.5,0.4,0.9,2.5,5.6
2568,Jeff Martin,Career,,,NBA,,143,49,18.8,2.7,6.4,.417,0.2,0.7,.282,2.5,5.7,.434,.433,1.1,1.6,.694,0.9,1.1,2.0,0.8,0.5,0.3,0.7,1.4,6.7
2569,Kenyon Martin,Career,,,NBA,,757,667,30.6,5.1,10.6,.483,0.1,0.4,.234,5.0,10.2,.492,.487,2.0,3.2,.629,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3
2570,Kevin Martin,Career,,,NBA,,714,504,30.2,5.4,12.3,.437,1.6,4.2,.384,3.8,8.2,.464,.502,5.0,5.7,.870,0.6,2.6,3.2,1.9,0.9,0.1,1.7,1.9,17.4
2572,Maurice Martin,Career,,,NBA,,69,0,6.1,1.1,2.8,.378,0.1,0.3,.211,1.0,2.6,.395,.388,0.8,1.3,.598,0.4,0.6,0.9,0.7,0.3,0.1,0.6,1.0,3.0
2576,Jamal Mashburn,Career,,,NBA,,611,584,37.3,7.0,16.7,.418,1.3,3.6,.345,5.7,13.1,.439,.456,3.8,5.0,.766,1.1,4.2,5.4,4.0,1.0,0.2,2.6,2.5,19.1
2578,Anthony Mason,Career,,,NBA,,882,559,34.7,4.1,8.0,.509,0.0,0.0,.167,4.1,8.0,.510,.510,2.8,4.0,.709,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9
2579,Desmond Mason,Career,,,NBA,,643,385,30.5,4.6,10.2,.449,0.1,0.4,.260,4.5,9.8,.456,.454,2.9,3.9,.740,1.3,3.2,4.5,1.6,0.7,0.4,1.6,2.2,12.1
2580,Frank Mason III,Career,,,NBA,,34,2,18.2,2.6,6.8,.384,0.6,1.4,.404,2.1,5.4,.378,.425,1.6,2.1,.786,0.5,1.6,2.1,2.8,0.6,0.1,1.3,1.2,7.4
2581,Roger Mason,Career,,,NBA,,518,103,17.7,2.3,5.7,.408,1.1,3.0,.383,1.2,2.7,.435,.509,0.6,0.7,.866,0.2,1.6,1.7,1.3,0.4,0.1,0.7,1.4,6.3
2582,Tony Massenburg,Career,,,NBA,,683,233,18.0,2.4,5.1,.470,0.0,0.0,.091,2.4,5.1,.471,.470,1.4,2.0,.705,1.5,2.8,4.3,0.4,0.4,0.5,1.0,2.4,6.2
2584,Mangok Mathiang,Career,,,NBA,,3,0,3.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.0,0.7,0.0
2586,Wes Matthews,Career,,,NBA,,465,102,20.0,3.1,6.6,.478,0.1,0.3,.225,3.1,6.2,.492,.484,1.5,1.9,.788,0.4,1.0,1.3,4.2,1.0,0.2,2.1,2.1,7.9
2587,Wesley Matthews,Career,,,NBA,,654,593,32.8,4.7,11.1,.427,2.1,5.6,.383,2.6,5.5,.472,.524,2.2,2.7,.828,0.5,2.6,3.2,2.2,1.1,0.2,1.3,2.2,13.8
2589,Marlon Maxey,Career,,,NBA,,98,5,11.7,1.9,3.4,.542,0.0,0.0,.000,1.9,3.4,.547,.542,1.2,1.7,.685,1.4,2.3,3.7,0.2,0.3,0.5,0.8,1.9,4.9
2590,Jason Maxiell,Career,,,NBA,,618,188,18.4,2.3,4.6,.495,0.0,0.0,.000,2.3,4.6,.496,.495,1.1,2.0,.564,1.7,2.5,4.2,0.4,0.4,0.8,0.8,1.9,5.6
2591,Cedric Maxwell,Career,,,NBA,,835,537,28.5,4.1,7.5,.546,0.0,0.0,.053,4.1,7.5,.547,.546,4.3,5.5,.784,2.5,3.8,6.3,2.2,0.8,0.5,2.2,2.7,12.5
2592,Vernon Maxwell,Career,,,NBA,,855,497,28.4,4.6,11.6,.398,1.5,4.6,.320,3.1,7.0,.450,.462,2.1,2.9,.733,0.4,2.1,2.6,3.4,1.1,0.2,1.9,2.1,12.8
2594,Scott May,Career,,,NBA,,355,8,22.6,4.0,8.7,.462,0.0,0.0,.000,4.0,8.7,.463,.462,2.3,2.9,.811,1.4,2.7,4.1,1.7,0.8,0.1,1.5,2.2,10.4
2595,Sean May,Career,,,NBA,,119,25,15.7,2.7,5.9,.458,0.0,0.1,.231,2.7,5.8,.462,.460,1.4,1.9,.746,1.3,2.7,4.0,1.0,0.4,0.4,1.1,2.0,6.9
2596,Lee Mayberry,Career,,,NBA,,496,150,20.8,1.9,4.6,.415,0.8,2.0,.377,1.2,2.6,.446,.498,0.5,0.8,.659,0.3,1.0,1.3,3.6,0.7,0.1,1.2,1.7,5.1
2598,Tharon Mayes,Career,,,NBA,,24,0,10.6,1.3,4.1,.303,0.6,1.7,.366,0.6,2.4,.259,.379,1.0,1.5,.667,0.1,0.5,0.7,1.5,0.7,0.1,1.3,1.7,4.1
2599,Bill Mayfield,Career,,,NBA,,7,,7.7,1.1,2.6,.444,0.0,0.0,,1.1,2.6,.444,.444,0.1,0.3,.500,1.0,0.3,1.3,0.1,0.0,0.1,0.4,1.1,2.4
2601,Eric Maynor,Career,,,NBA,,267,2,14.6,1.6,4.2,.392,0.4,1.2,.350,1.2,3.0,.409,.442,0.6,0.8,.721,0.3,1.1,1.3,2.8,0.4,0.1,1.1,1.1,4.3
2602,O.J. Mayo,Career,,,NBA,,547,325,30.9,5.1,12.0,.429,1.6,4.2,.373,3.6,7.8,.459,.494,2.0,2.5,.820,0.5,2.6,3.1,2.9,1.0,0.3,2.1,2.3,13.8
2603,Travis Mays,Career,,,NBA,,115,64,25.8,3.7,9.1,.410,0.9,2.5,.362,2.8,6.6,.428,.459,2.7,3.6,.749,0.7,1.4,2.0,2.8,0.9,0.1,1.9,2.0,11.1
2605,Luc Mbah a Moute,Career,,,NBA,,665,452,23.4,2.5,5.4,.453,0.3,0.9,.330,2.2,4.6,.477,.480,1.2,1.8,.661,1.4,2.7,4.1,0.9,0.9,0.4,0.9,1.8,6.4
2606,Bob McAdoo,Career,,,NBA,,852,1,33.2,8.7,17.3,.503,0.0,0.1,.081,8.7,17.3,.504,.503,4.6,6.1,.754,2.4,7.1,9.4,2.3,1.0,1.5,2.6,3.2,22.1
2607,James Michael McAdoo,Career,,,NBA,,111,3,7.9,1.2,2.3,.528,0.0,0.2,.294,1.2,2.1,.545,.538,0.6,1.1,.534,0.7,1.0,1.7,0.3,0.3,0.4,0.4,1.0,3.0
2609,Ray McCallum,Career,,,NBA,,154,46,18.2,2.4,5.9,.408,0.5,1.4,.335,2.0,4.6,.430,.447,0.7,0.9,.711,0.5,1.5,2.0,2.4,0.5,0.2,1.0,1.2,6.0
2610,Bob McCann,Career,,,NBA,,178,7,13.4,1.7,3.5,.479,0.0,0.0,.200,1.7,3.4,.481,.480,0.8,1.4,.577,0.9,1.8,2.6,0.6,0.4,0.4,0.8,2.0,4.2
2612,Mel McCants,Career,,,NBA,,13,0,5.0,0.6,2.0,.308,0.0,0.0,,0.6,2.0,.308,.308,0.5,0.6,.750,0.1,0.4,0.5,0.2,0.2,0.1,0.1,0.8,1.7
2613,Rashad McCants,Career,,,NBA,,249,39,20.2,3.7,8.6,.431,1.2,3.2,.368,2.5,5.4,.467,.499,1.4,1.8,.741,0.5,1.6,2.0,1.3,0.7,0.2,1.5,2.3,10.0
2615,Andre McCarter,Career,,,NBA,,103,,11.5,1.7,3.8,.431,0.0,0.2,.250,1.6,3.7,.435,.434,0.5,0.7,.725,0.3,0.6,0.9,1.7,0.4,0.0,0.5,1.0,3.8
2619,Kelly McCarty,Career,,,NBA,,2,0,2.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,1.0,0.0,2.0
2620,Walter McCarty,Career,,,NBA,,593,108,17.5,1.8,4.7,.392,0.8,2.2,.346,1.1,2.5,.433,.474,0.7,1.0,.698,0.7,1.9,2.6,1.1,0.6,0.3,0.9,2.0,5.2
2621,Amal McCaskill,Career,,,NBA,,114,4,8.5,0.7,1.9,.377,0.0,0.0,.000,0.7,1.9,.382,.377,0.4,0.6,.609,0.7,1.2,1.9,0.3,0.2,0.3,0.5,1.2,1.8
2622,Patrick McCaw,Career,,,NBA,,122,26,15.3,1.5,3.4,.437,0.5,1.5,.305,1.0,1.9,.543,.505,0.4,0.5,.758,0.3,1.1,1.4,1.2,0.6,0.2,0.6,1.0,3.9
2623,Dwayne McClain,Career,,,NBA,,45,4,10.2,1.5,4.0,.383,0.0,0.2,.111,1.5,3.8,.398,.386,0.4,0.8,.514,0.3,0.4,0.7,1.5,0.8,0.1,0.9,1.4,3.5
2624,Ted McClain,Career,,,TOT,,555,,22.9,3.3,7.4,.449,0.1,0.3,.218,3.3,7.2,.457,.453,1.7,2.2,.767,0.9,2.1,2.9,3.4,1.7,0.2,2.2,3.0,8.4
2625,Dan McClintock,Career,,,NBA,,6,1,9.7,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.0,0.8,.000,1.7,1.2,2.8,0.2,0.0,0.3,0.5,1.8,3.0
2627,George McCloud,Career,,,NBA,,766,194,22.8,3.2,8.0,.402,1.2,3.4,.358,2.0,4.7,.434,.477,1.4,1.7,.810,0.9,2.2,3.1,2.3,0.8,0.2,1.4,2.1,9.0
2628,C.J. McCollum,Career,,,NBA,,321,224,28.7,6.4,14.2,.455,1.9,4.6,.414,4.5,9.5,.475,.523,2.1,2.5,.847,0.5,2.4,2.9,2.8,0.9,0.3,1.8,2.1,17.0
2631,T.J. McConnell,Career,,,NBA,,217,69,23.4,2.9,6.0,.473,0.3,0.9,.340,2.5,5.1,.497,.499,0.6,0.8,.773,0.5,2.6,3.1,5.3,1.4,0.1,1.8,1.6,6.6
2632,Keith McCord,Career,,,NBA,,2,,4.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,2.0
2633,Tim McCormick,Career,,,NBA,,483,210,21.5,3.2,6.0,.535,0.0,0.0,.063,3.2,6.0,.537,.535,1.9,2.8,.703,1.6,3.3,4.9,1.0,0.3,0.4,1.3,2.6,8.3
2634,Jelani McCoy,Career,,,NBA,,260,72,14.7,2.0,3.6,.539,0.0,0.0,,2.0,3.6,.539,.539,0.7,1.4,.490,1.1,2.4,3.5,0.5,0.3,0.7,0.9,2.0,4.6
2636,Chris McCray,Career,,,NBA,,5,0,2.4,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0
2637,Rodney McCray,Career,,,NBA,,768,629,32.4,4.6,9.1,.503,0.1,0.3,.260,4.5,8.8,.510,.507,2.5,3.3,.761,2.1,4.5,6.6,3.6,0.8,0.6,1.8,2.3,11.7
2638,Scooter McCray,Career,,,NBA,,77,8,11.6,1.1,2.5,.423,0.0,0.0,,1.1,2.5,.423,.423,0.8,1.2,.611,0.9,1.6,2.5,1.0,0.3,0.3,0.9,1.5,2.9
2639,Erik McCree,Career,,,NBA,,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2640,Chris McCullough,Career,,,NBA,,59,4,9.0,1.3,3.1,.426,0.3,0.8,.306,1.1,2.3,.470,.467,0.4,0.7,.548,0.7,1.2,1.9,0.3,0.5,0.3,0.3,0.9,3.3
