,Name,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
2643,Xavier McDaniel,1985-86,22,SEA,NBA,SF,82,80,2706,10.5,21.4,.490,0.0,0.2,.200,10.5,21.2,.492,4.6,6.6,.687,5.6,6.3,11.9,3.5,1.8,0.7,4.5,5.6,25.6,,103,106
2644,Jim McDaniels,1973-74,25,SEA,NBA,C,27,,439,6.3,17.2,.364,,,,6.3,17.2,.364,2.3,4.3,.535,5.1,7.6,12.7,2.4,0.7,1.5,,4.8,14.8,,,99
2645,K.J. McDaniels,2014-15,21,TOT,NBA,SG,62,15,1352,6.4,16.1,.396,1.6,5.6,.287,4.8,10.5,.454,3.7,4.9,.752,2.4,5.0,7.4,2.7,1.6,2.6,3.9,4.7,18.1,,92,105
2646,Doug McDermott,2014-15,23,CHI,NBA,SF,36,0,321,6.9,17.2,.402,2.1,6.6,.317,4.8,10.6,.455,1.6,2.4,.667,1.0,6.0,6.9,1.0,0.6,0.2,2.7,4.7,17.6,,89,108
2647,Ben McDonald,1985-86,23,CLE,NBA,SF,21,0,266,5.0,10.3,.483,0.0,0.2,.000,5.0,10.1,.491,0.9,1.4,.625,2.7,4.1,6.7,1.6,1.2,0.2,1.8,5.3,10.8,,100,111
2649,Michael McDonald,1997-98,28,CHH,NBA,C,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,13.4,0.0,13.4,0.0,0.0,0.0,26.8,13.4,0.0,,27,114
2651,Hank McDowell,1981-82,22,GSW,NBA,PF,30,1,335,4.8,11.9,.405,0.0,0.0,,4.8,11.9,.405,3.8,5.8,.659,5.8,8.3,14.1,2.8,0.8,1.1,3.0,7.3,13.4,,102,107
2652,Antonio McDyess,1995-96,21,DEN,NBA,PF,76,75,2280,9.7,20.1,.485,0.0,0.1,.000,9.7,20.0,.487,3.8,5.5,.683,5.2,7.8,13.1,1.7,1.2,2.6,3.5,5.7,23.3,,102,107
2653,Jim McElroy,1975-76,22,NOJ,NBA,PG,51,,1134,6.0,11.7,.510,,,,6.0,11.7,.510,3.2,4.4,.736,1.3,3.0,4.4,4.2,1.7,0.2,,2.8,15.2,,,100
2654,Patrick McFarland,1973-74,22,DNR,ABA,SG,67,,757,9.8,22.1,.443,0.5,1.5,.333,9.3,20.6,.451,2.2,3.2,.673,3.7,4.5,8.2,3.9,1.4,0.4,2.5,4.2,22.2,,102,105
2655,Ivan McFarlin,2006-07,24,PHI,NBA,PF,11,0,41,6.5,16.8,.385,0.0,1.3,.000,6.5,15.5,.417,6.5,9.0,.714,9.0,5.2,14.2,1.3,0.0,0.0,1.3,10.3,19.4,,112,112
2657,Mitch McGary,2014-15,22,OKC,NBA,PF,32,2,485,9.1,17.1,.533,0.0,0.2,.000,9.1,16.9,.540,2.6,4.1,.625,5.5,11.6,17.1,1.4,1.7,1.7,3.2,7.4,20.8,,107,102
2658,JaVale McGee,2008-09,21,WAS,NBA,C,75,14,1143,8.8,17.9,.494,0.0,0.0,,8.8,17.9,.494,4.9,7.5,.660,5.5,8.0,13.6,1.1,1.5,3.5,2.8,7.2,22.6,,107,110
2659,Mike McGee,1981-82,22,LAL,NBA,SF,39,0,352,10.6,22.8,.465,0.0,0.5,.000,10.6,22.2,.476,4.1,7.0,.585,4.5,2.0,6.5,2.1,2.4,0.4,4.5,7.8,25.3,,96,108
2661,George McGinnis,1973-74,23,INA,ABA,PF,80,,3266,11.3,24.1,.468,0.1,0.5,.147,11.2,23.6,.475,7.0,10.2,.683,6.0,11.1,17.1,3.8,2.3,0.6,5.6,4.6,29.5,,102,97
2663,Tracy McGrady,1997-98,18,TOR,NBA,SF,64,17,1179,7.9,17.5,.450,0.6,1.8,.341,7.3,15.7,.462,3.5,4.9,.712,4.6,7.2,11.8,4.3,2.2,2.7,2.9,3.8,19.8,,106,109
2666,Rodney McGruder,2016-17,25,MIA,NBA,SG,78,65,1966,4.9,11.8,.413,1.9,5.6,.332,3.0,6.2,.488,1.1,1.8,.620,2.4,4.2,6.6,3.2,1.2,0.5,1.4,3.6,12.7,,108,110
2670,Dominic McGuire,2007-08,22,WAS,NBA,SG,70,1,695,3.0,8.0,.379,0.1,0.5,.167,2.9,7.5,.392,1.1,2.5,.438,4.1,6.6,10.7,3.1,1.5,2.0,3.1,5.9,7.2,,86,109
2671,Kevin McHale,1980-81,23,BOS,NBA,PF,82,1,1645,10.3,19.3,.533,0.0,0.1,.000,10.3,19.2,.535,3.1,4.6,.679,4.5,5.9,10.4,1.6,0.8,4.4,3.2,7.5,23.7,,108,102
2673,Jim McIlvaine,1994-95,22,WSB,NBA,C,55,0,534,3.2,6.8,.479,0.0,0.0,,3.2,6.8,.479,2.7,3.9,.683,3.8,6.2,10.0,1.0,1.0,5.7,1.8,9.0,9.1,,108,108
2674,Jeff McInnis,1996-97,22,DEN,NBA,PG,13,0,117,10.2,21.8,.469,5.3,11.5,.462,4.9,10.2,.478,3.1,4.4,.700,0.9,1.8,2.7,8.0,0.9,0.4,5.8,7.1,28.9,,107,116
2678,Kevin McKenna,1981-82,23,LAL,NBA,SG,36,0,237,5.5,17.1,.322,0.0,0.4,.000,5.5,16.7,.329,2.2,3.3,.647,3.5,2.2,5.7,2.8,2.0,0.4,3.9,8.8,13.2,,78,109
2679,Forrest McKenzie,1986-87,23,SAS,NBA,SF,6,0,42,7.9,31.5,.250,1.1,2.2,.500,6.7,29.2,.231,2.2,2.2,1.000,2.2,5.6,7.9,1.1,1.1,0.0,3.4,10.1,19.1,,67,113
2681,Derrick McKey,1987-88,21,SEA,NBA,SF,82,4,1706,7.2,14.6,.491,0.3,0.8,.367,6.8,13.7,.499,4.9,6.3,.772,3.2,6.0,9.2,3.0,2.0,1.8,3.0,6.7,19.5,,112,107
2682,Aaron McKie,1994-95,22,POR,NBA,SG,45,20,827,7.2,16.1,.444,0.7,1.7,.393,6.5,14.4,.451,3.1,4.5,.685,2.2,5.8,8.0,5.5,2.2,1.0,2.4,6.0,18.1,,109,105
2683,Billy McKinney,1978-79,23,KCK,NBA,PG,78,,1242,8.6,17.2,.503,,,,8.6,17.2,.503,4.6,5.8,.796,0.7,2.3,3.1,9.1,2.1,0.1,4.5,4.4,21.9,,106,104
2685,Carlton McKinney,1989-90,25,LAC,NBA,SG,7,0,104,3.7,14.9,.250,0.0,0.5,.000,3.7,14.4,.258,0.9,1.9,.500,1.9,3.7,5.6,3.3,2.8,0.5,3.3,7.0,8.4,,62,108
2686,Trey McKinney-Jones,2017-18,27,IND,NBA,SG,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,118
2687,Alfonzo McKinnie,2017-18,25,TOR,NBA,SF,12,0,48,7.1,13.3,.538,3.1,8.2,.375,4.1,5.1,.800,2.0,3.1,.667,0.0,6.1,6.1,1.0,1.0,1.0,3.1,7.1,19.4,,106,107
2688,Ben McLemore,2013-14,20,SAC,NBA,SG,82,55,2187,5.9,15.8,.376,2.2,6.9,.320,3.7,8.9,.419,2.7,3.3,.804,1.2,4.2,5.5,1.9,1.0,0.4,2.2,4.7,16.7,,97,112
2691,Keith McLeod,2003-04,24,MIN,NBA,PG,33,0,391,3.7,11.3,.329,0.1,1.4,.100,3.6,9.9,.361,4.6,5.9,.767,0.7,4.0,4.7,8.1,2.2,0.1,4.0,5.4,12.1,,89,102
2692,Roshown McLeod,1998-99,23,ATL,NBA,SF,34,0,348,10.0,26.3,.380,0.2,1.6,.100,9.9,24.7,.399,6.0,7.3,.822,1.9,6.1,8.1,2.3,0.3,0.2,3.7,3.9,26.2,,92,102
2694,Nate McMillan,1986-87,22,SEA,NBA,PG,71,50,1972,3.4,7.2,.475,0.0,0.2,.000,3.4,7.0,.486,2.1,3.4,.617,2.4,5.5,7.9,13.9,3.0,1.1,3.7,5.7,8.9,,111,108
2695,Tom McMillen,1975-76,23,BUF,NBA,C,50,,708,6.0,13.9,.432,,,,6.0,13.9,.432,2.6,3.4,.759,4.0,7.6,11.7,4.3,0.4,0.4,,5.5,14.6,,,100
2700,Mark McNamara,1982-83,23,PHI,NBA,C,36,2,182,7.4,16.4,.453,0.0,0.0,,7.4,16.4,.453,5.1,11.6,.444,8.7,10.8,19.5,1.8,0.8,0.8,9.2,10.8,20.0,,80,100
2702,Jerel McNeal,2014-15,27,PHO,NBA,PG,6,0,36,4.2,15.2,.273,1.4,2.8,.500,2.8,12.5,.222,2.8,2.8,1.000,0.0,4.2,4.2,2.8,4.2,1.4,6.9,6.9,12.5,,61,102
2703,Chris McNealy,1985-86,24,NYK,NBA,PF,30,6,627,5.4,11.2,.486,0.0,0.0,,5.4,11.2,.486,2.4,3.7,.660,4.8,11.0,15.8,3.2,3.0,0.9,2.7,6.8,13.3,,104,98
2707,Paul McPherson,2000-01,22,TOT,NBA,PG,55,0,595,9.4,18.6,.505,0.2,1.0,.167,9.2,17.6,.525,3.6,5.0,.724,3.4,3.4,6.8,3.3,2.2,0.3,4.1,6.9,22.6,,100,105
2708,Roy McPipe,1974-75,24,UTS,ABA,SG,5,,44,8.9,26.7,.333,2.2,4.5,.500,6.7,22.3,.300,3.3,4.5,.750,2.2,3.3,5.6,1.1,1.1,0.0,11.1,5.6,23.4,,65,108
2709,Cozell McQueen,1986-87,25,DET,NBA,PF,3,0,7,20.4,20.4,1.000,0.0,0.0,,20.4,20.4,1.000,0.0,0.0,,20.4,33.9,54.3,0.0,0.0,6.8,0.0,6.8,40.7,,201,85
2710,Jordan McRae,2015-16,24,TOT,NBA,PG,22,1,195,8.8,20.1,.436,2.6,5.7,.455,6.2,14.4,.429,5.4,7.2,.750,1.0,4.1,5.2,6.4,0.8,0.3,3.9,4.4,25.5,,107,110
2712,Josh McRoberts,2007-08,20,POR,NBA,PF,8,0,28,11.7,19.5,.600,0.0,2.0,.000,11.7,17.6,.667,0.0,0.0,,3.9,15.6,19.5,3.9,2.0,0.0,3.9,2.0,23.4,,107,102
2715,Stanislav Medvedenko,2000-01,21,LAL,NBA,PF,7,0,39,16.1,33.5,.480,1.3,1.3,1.000,14.8,32.2,.458,9.4,16.1,.583,1.3,10.7,12.1,2.7,1.3,1.3,4.0,12.1,42.9,,102,102
2716,Darnell Mee,1993-94,22,DEN,NBA,SG,38,0,285,4.9,15.4,.318,0.9,4.2,.208,4.0,11.2,.359,2.1,4.7,.444,3.0,3.2,6.1,2.8,2.6,2.3,3.2,6.0,12.8,,79,103
2717,Jodie Meeks,2009-10,22,TOT,NBA,SG,60,0,719,7.6,19.5,.388,3.1,9.6,.318,4.5,9.9,.456,2.3,2.8,.795,0.7,6.6,7.2,2.8,1.3,0.4,1.8,3.8,20.5,,100,107
2719,Scott Meents,1989-90,26,SEA,NBA,PF,26,0,148,6.5,15.0,.432,0.0,0.0,,6.5,15.0,.432,5.8,7.8,.739,2.4,7.8,10.2,2.4,1.4,1.0,3.1,4.1,18.7,,104,109
2723,Salah Mejri,2015-16,29,DAL,NBA,C,34,6,397,6.3,10.0,.628,0.0,0.1,.000,6.3,9.9,.636,3.5,5.9,.587,5.3,10.5,15.8,1.3,1.0,4.6,2.9,6.9,16.0,,115,101
2724,Gal Mekel,2013-14,25,DAL,NBA,PG,31,1,292,5.3,15.1,.349,0.9,3.5,.250,4.4,11.6,.379,1.4,2.1,.667,0.9,3.9,4.7,11.1,0.7,0.2,5.4,5.4,12.8,,85,114
2725,Bill Melchionni,1973-74,29,NYA,ABA,PG,56,,1146,4.6,11.0,.420,0.2,0.9,.217,4.4,10.1,.439,2.4,2.8,.831,0.5,2.6,3.1,8.3,2.0,0.2,3.4,3.7,11.8,,98,102
2727,Fab Melo,2012-13,22,BOS,NBA,C,6,0,36,4.4,8.7,.500,0.0,0.0,,4.4,8.7,.500,1.5,5.8,.250,0.0,4.4,4.4,0.0,2.9,2.9,1.5,10.2,10.2,,77,100
2731,John Mengelt,1973-74,24,DET,NBA,SG,77,,1555,7.2,16.2,.446,,,,7.2,16.2,.446,5.3,6.6,.795,1.2,4.8,6.0,4.3,2.0,0.2,,4.8,19.7,,,95
2733,Pops Mensah-Bonsu,2006-07,23,DAL,NBA,PF,12,0,71,8.3,12.8,.647,0.0,0.0,,8.3,12.8,.647,5.3,13.6,.389,6.8,9.1,15.9,0.0,0.8,0.0,6.8,6.0,21.9,,92,105
2735,Ron Mercer,1997-98,21,BOS,NBA,SG,80,62,2662,10.0,22.1,.450,0.1,0.5,.107,9.9,21.6,.458,3.6,4.3,.839,2.1,3.3,5.4,3.4,2.4,0.3,2.6,4.1,23.6,,103,108
2736,Joe Meriweather,1975-76,22,HOU,NBA,C,81,,2042,7.6,15.4,.494,,,,7.6,15.4,.494,3.5,5.4,.644,3.7,7.9,11.6,1.8,0.8,2.7,,4.9,18.6,,,100
2740,Loren Meyer,1995-96,23,DAL,NBA,C,72,21,1266,5.8,13.1,.439,0.1,0.4,.273,5.6,12.7,.445,2.8,4.1,.686,4.5,8.1,12.7,2.3,0.8,1.3,2.7,8.9,14.4,,101,111
2741,Dave Meyers,1975-76,22,MIL,NBA,PF,72,,1589,5.8,13.7,.419,,,,5.8,13.7,.419,3.9,6.1,.643,3.5,9.4,12.9,2.9,2.1,0.7,,4.2,15.4,,,96
2743,Larry Micheaux,1983-84,23,KCK,NBA,PF,39,0,332,6.9,12.6,.544,0.0,0.0,,6.9,12.6,.544,3.0,5.5,.538,5.6,10.3,15.9,2.7,3.0,1.5,3.0,6.5,16.7,,109,102
2744,Jordan Mickey,2015-16,21,BOS,NBA,PF,16,0,57,6.8,18.8,.364,0.0,0.0,,6.8,18.8,.364,4.3,8.6,.500,5.1,6.0,11.1,0.9,0.0,9.4,0.9,4.3,18.0,,94,99
2745,Khris Middleton,2012-13,21,DET,NBA,SG,27,0,475,6.9,15.7,.440,1.6,5.0,.311,5.3,10.7,.500,3.0,3.6,.844,0.4,5.1,5.6,3.1,1.7,0.4,1.2,5.9,18.4,,111,110
2747,Chris Mihm,2000-01,21,CLE,NBA,C,59,43,1166,7.8,17.6,.442,0.0,0.0,.000,7.8,17.6,.444,4.5,5.7,.794,4.8,7.9,12.6,0.7,0.9,2.4,3.6,7.0,20.1,,97,105
2753,Aaron Miles,2005-06,22,GSW,NBA,PG,19,0,118,2.6,7.8,.333,0.0,0.0,,2.6,7.8,.333,1.7,1.7,1.000,0.0,6.1,6.1,10.5,1.7,0.4,4.8,5.7,7.0,,82,107
2754,C.J. Miles,2005-06,18,UTA,NBA,PG,23,0,203,7.5,20.5,.368,1.3,5.4,.250,6.2,15.1,.411,4.8,6.5,.750,4.8,5.4,10.2,4.3,1.9,0.5,2.4,5.4,21.3,,103,108
2755,Darius Miles,2000-01,19,LAC,NBA,SF,81,21,2133,8.0,15.8,.505,0.0,0.5,.053,8.0,15.3,.519,3.1,6.0,.521,3.2,8.8,12.0,2.5,1.3,3.1,3.7,4.8,19.1,,97,102
2757,Marko Milic,1997-98,20,PHO,NBA,SF,33,0,163,12.6,20.6,.609,1.0,1.9,.500,11.6,18.7,.621,3.5,5.5,.647,3.2,4.8,8.1,3.9,3.2,0.0,6.8,5.5,29.6,,101,101
2758,Darko Milicic,2003-04,18,DET,NBA,C,34,0,159,5.8,22.3,.262,0.0,0.3,.000,5.8,22.0,.266,4.8,8.2,.583,3.8,11.0,14.8,2.4,2.4,5.2,4.5,11.3,16.5,,69,88
2760,Andre Miller,1999-00,23,CLE,NBA,PG,82,36,2093,8.1,18.1,.449,0.2,1.2,.204,7.9,16.9,.466,5.4,7.0,.774,2.0,4.7,6.7,11.4,2.0,0.4,4.0,4.6,21.9,,107,105
2761,Anthony Miller,1994-95,23,LAL,NBA,PF,46,1,527,6.7,12.6,.530,0.2,0.5,.400,6.5,12.2,.535,4.5,7.3,.618,6.4,8.1,14.5,3.3,1.9,0.7,3.6,7.4,18.1,,111,108
2763,Bob Miller,1983-84,27,SAS,NBA,PF,2,0,8,11.3,16.9,.667,0.0,0.0,,11.3,16.9,.667,0.0,0.0,,11.3,16.9,28.2,5.6,0.0,5.6,0.0,28.2,22.5,,157,102
2764,Brad Miller,1998-99,22,CHH,NBA,C,38,0,469,8.9,15.7,.565,0.1,0.2,.500,8.8,15.5,.566,9.2,11.6,.794,4.0,9.4,13.3,2.5,1.0,2.1,3.7,7.4,27.2,,119,101
2765,Darius Miller,2012-13,22,NOH,NBA,SF,52,2,694,3.4,8.4,.407,1.7,4.4,.393,1.7,4.1,.423,0.6,0.6,1.000,0.6,5.5,6.1,3.4,1.3,0.9,1.8,7.0,9.2,,103,111
2766,Dick Miller,1980-81,22,TOT,NBA,SF,8,,53,3.6,8.2,.444,0.0,0.9,.000,3.6,7.3,.500,0.0,0.0,,1.8,4.5,6.4,4.5,3.6,0.0,7.3,4.5,7.3,,61,105
2770,Larry Miller,1973-74,27,TOT,ABA,SG,80,,1968,6.5,14.8,.440,0.0,0.1,.000,6.5,14.7,.443,3.5,5.3,.662,2.0,2.8,4.9,3.3,1.3,0.1,2.8,3.2,16.6,,99,109
2771,Malcolm Miller,2017-18,24,TOR,NBA,SF,5,0,23,4.3,14.9,.286,4.3,12.8,.333,0.0,2.1,.000,0.0,0.0,,2.1,8.5,10.6,2.1,0.0,0.0,0.0,4.3,12.8,,104,109
2772,Mike Miller,2000-01,20,ORL,NBA,SF,82,62,2390,7.9,18.2,.436,3.2,7.8,.407,4.7,10.4,.457,2.0,2.8,.711,1.4,5.6,7.0,3.0,1.1,0.4,2.1,4.3,21.0,,108,105
2773,Oliver Miller,1992-93,22,PHO,NBA,C,56,1,1069,5.4,11.5,.475,0.0,0.1,.000,5.4,11.3,.480,3.2,4.5,.710,3.1,9.2,12.4,5.3,1.7,4.5,4.9,6.5,14.1,,96,102
2774,Quincy Miller,2012-13,20,DEN,NBA,PF,7,0,26,7.8,23.3,.333,0.0,1.9,.000,7.8,21.4,.364,1.9,3.9,.500,1.9,1.9,3.9,5.8,1.9,0.0,1.9,5.8,17.5,,86,110
2775,Reggie Miller,1987-88,22,IND,NBA,SG,82,1,1840,8.1,16.7,.488,1.6,4.6,.355,6.5,12.1,.538,4.0,5.0,.801,2.5,2.5,5.1,3.5,1.4,0.5,2.7,4.2,21.9,,114,111
2777,Chris Mills,1993-94,24,CLE,NBA,SF,79,18,2022,7.4,17.5,.419,1.0,3.2,.311,6.4,14.4,.443,3.5,4.6,.778,3.5,6.9,10.4,3.3,1.4,1.3,2.3,6.0,19.2,,105,105
2779,Patty Mills,2009-10,21,POR,NBA,PG,10,0,38,14.4,34.6,.417,2.9,5.8,.500,11.5,28.8,.400,5.8,10.1,.571,1.4,1.4,2.9,7.2,0.0,0.0,5.8,8.6,37.4,,95,114
2780,Terry Mills,1990-91,23,TOT,NBA,PF,55,2,819,7.5,16.2,.465,0.0,0.2,.000,7.5,16.0,.472,2.6,3.7,.712,4.6,8.3,12.9,1.9,2.0,1.6,2.4,5.6,17.7,,105,108
2781,Elijah Millsap,2014-15,27,UTA,NBA,SG,47,5,924,4.7,13.7,.340,1.6,5.2,.311,3.0,8.5,.358,3.3,4.9,.674,1.6,7.0,8.6,3.3,3.2,0.9,3.9,7.1,14.3,,87,102
2782,Paul Millsap,2006-07,21,UTA,NBA,PF,82,1,1472,7.4,14.2,.525,0.0,0.1,.333,7.4,14.1,.527,5.0,7.4,.673,6.5,8.5,15.1,2.2,2.4,2.6,3.3,8.4,19.9,,112,102
2783,Harold Miner,1992-93,21,MIA,NBA,SG,73,0,1383,10.7,22.6,.475,0.1,0.3,.333,10.6,22.2,.477,6.0,7.9,.762,2.7,2.7,5.4,2.7,1.2,0.3,3.4,4.8,27.5,,106,112
2784,Yao Ming,2002-03,22,HOU,NBA,C,82,72,2382,9.1,18.3,.498,0.0,0.0,.500,9.1,18.2,.498,6.8,8.4,.811,4.4,10.9,15.3,3.1,0.7,3.3,3.9,5.2,25.1,,111,100
2785,Dirk Minniefield,1985-86,25,CLE,NBA,PG,76,2,1131,7.0,14.5,.481,0.4,1.5,.270,6.6,12.9,.506,3.0,3.9,.785,1.8,3.7,5.5,11.2,2.7,0.0,4.5,6.9,17.4,,105,108
2787,Greg Minor,1994-95,23,BOS,NBA,SG,63,8,945,8.4,16.3,.515,0.1,0.6,.167,8.3,15.6,.529,3.5,4.2,.833,2.6,4.8,7.4,3.6,1.7,0.9,2.4,4.8,20.4,,115,111
2789,Nikola Mirotic,2014-15,23,CHI,NBA,PF,82,3,1654,7.9,19.5,.405,3.1,9.8,.316,4.8,9.7,.495,7.1,8.9,.803,2.0,10.7,12.6,3.0,1.7,1.7,2.8,5.4,26.1,,111,101
2791,Jason Miskiri,1999-00,24,CHH,NBA,PG,1,0,3,0.0,17.0,.000,0.0,17.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,17.0,0.0,0.0,0.0,34.1,0.0,,49,109
2792,Donovan Mitchell,2017-18,21,UTA,NBA,SG,58,50,1877,11.3,25.9,.437,3.7,10.4,.352,7.6,15.5,.494,4.2,5.0,.835,1.0,4.5,5.4,5.4,2.3,0.6,4.1,4.3,30.5,,102,107
2794,Mike Mitchell,1978-79,23,CLE,NBA,SF,80,,1576,10.7,20.9,.513,,,,10.7,20.9,.513,3.9,5.3,.736,3.8,6.0,9.8,1.8,1.5,0.9,3.0,6.4,25.4,,108,107
2796,Sam Mitchell,1989-90,26,MIN,NBA,PF,80,30,2414,8.1,18.2,.446,0.0,0.2,.000,8.1,18.0,.451,5.9,7.6,.768,3.9,6.2,10.1,1.9,1.4,1.2,2.1,6.6,22.1,,110,109
2797,Todd Mitchell,1988-89,22,TOT,NBA,SF,24,0,353,5.9,13.3,.443,0.0,0.0,,5.9,13.3,.443,5.1,8.7,.578,2.5,4.4,6.8,2.9,2.2,0.3,4.5,7.0,16.8,,90,110
2798,Tony Mitchell,2013-14,24,MIL,NBA,SF,3,0,10,15.7,26.2,.600,0.0,5.2,.000,15.7,20.9,.750,0.0,0.0,,5.2,0.0,5.2,5.2,5.2,0.0,0.0,0.0,31.4,,132,109
2799,Tony Mitchell,2013-14,21,DET,NBA,PF,21,0,79,3.2,7.7,.417,0.6,0.6,1.000,2.6,7.0,.364,7.0,12.2,.579,9.6,7.0,16.6,1.3,3.8,1.9,2.6,5.8,14.1,,117,104
2800,Naz Mitrou-Long,2017-18,24,UTA,NBA,SG,1,0,1,50.3,50.3,1.000,50.3,50.3,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.9,,300,115
2801,Steve Mix,1973-74,26,PHI,NBA,PF,82,,2969,7.4,15.6,.475,,,,7.4,15.6,.475,3.4,4.3,.792,4.6,8.3,12.9,2.3,3.2,0.6,,4.6,18.2,,,94
2803,Cuttino Mobley,1998-99,23,HOU,NBA,PG,49,37,1456,6.4,15.0,.425,2.0,5.5,.358,4.4,9.5,.463,3.3,4.1,.818,0.8,3.3,4.1,4.5,1.6,0.9,2.9,3.6,18.1,,104,106
2804,Eric Mobley,1994-95,24,MIL,NBA,C,46,26,587,6.9,11.6,.591,0.2,0.2,1.000,6.7,11.5,.585,1.9,4.0,.489,4.9,8.6,13.5,1.9,0.7,2.4,2.1,5.6,15.9,,116,110
2808,Nazr Mohammed,1998-99,21,PHI,NBA,C,26,0,121,6.7,18.8,.357,0.0,0.0,,6.7,18.8,.357,5.4,9.4,.571,8.1,8.5,16.6,0.9,2.2,1.8,5.4,9.8,18.8,,84,96
2809,Jerome Moiso,2000-01,22,BOS,NBA,C,24,0,135,4.6,11.5,.400,0.0,0.4,.000,4.6,11.1,.414,4.2,10.0,.423,4.6,11.5,16.1,1.2,1.2,1.5,6.9,11.1,13.4,,70,101
2810,Paul Mokeski,1979-80,23,HOU,NBA,C,12,,113,4.6,13.9,.333,0.0,0.0,,4.6,13.9,.333,2.9,3.8,.778,5.9,6.3,12.2,0.8,0.4,2.5,4.2,10.1,12.2,,83,109
2813,Sidney Moncrief,1979-80,22,MIL,NBA,SG,77,,1557,6.3,13.6,.468,0.0,0.0,.000,6.3,13.5,.469,7.0,8.8,.795,4.6,5.5,10.2,4.0,2.2,0.5,3.5,3.2,19.7,,113,103
2814,Eric Money,1974-75,19,DET,NBA,SG,66,,889,7.7,17.1,.451,,,,7.7,17.1,.451,1.7,2.4,.689,1.5,3.3,4.7,5.4,1.8,0.1,,6.5,17.1,,,102
2815,Sergei Monia,2005-06,22,TOT,NBA,SF,26,15,343,4.6,13.9,.333,1.4,5.4,.265,3.2,8.5,.377,1.6,2.2,.714,1.8,6.5,8.3,3.0,1.1,0.8,1.9,6.5,12.3,,89,113
2816,Malik Monk,2017-18,19,CHO,NBA,SG,45,0,515,7.0,21.8,.323,4.1,12.4,.328,2.9,9.3,.316,1.1,1.6,.706,0.2,3.0,3.2,4.7,1.0,0.3,2.2,3.4,19.3,,89,112
2817,Earl Monroe,1973-74,29,NYK,NBA,SG,41,,1194,9.3,19.9,.468,,,,9.3,19.9,.468,3.6,4.4,.823,0.9,3.8,4.7,4.3,1.3,0.7,,3.8,22.3,,,97
2818,Greg Monroe,2010-11,20,DET,NBA,C,80,48,2222,7.3,13.3,.551,0.0,0.0,.000,7.3,13.3,.552,3.5,5.6,.622,6.0,8.6,14.6,2.5,2.3,1.1,2.0,4.7,18.2,,120,109
2819,Rodney Monroe,1991-92,23,ATL,NBA,SG,38,0,313,8.3,22.6,.368,0.9,4.2,.222,7.4,18.3,.402,3.0,3.6,.826,1.9,3.3,5.2,4.2,1.9,0.3,3.6,3.0,20.5,,89,112
2820,Luis Montero,2015-16,22,POR,NBA,SG,12,0,42,6.0,22.6,.263,1.2,10.7,.111,4.8,11.9,.400,3.6,4.8,.750,0.0,4.8,4.8,1.2,0.0,0.0,4.8,1.2,16.7,,63,114
2822,Eric Montross,1994-95,23,BOS,NBA,C,78,75,2315,6.8,12.7,.534,0.0,0.0,.000,6.8,12.7,.535,3.7,5.8,.635,4.3,8.2,12.5,0.8,0.6,1.3,2.5,6.6,17.2,,111,111
2823,Jamario Moon,2007-08,27,TOR,NBA,SF,78,75,2166,6.9,14.1,.485,1.0,3.0,.328,5.9,11.1,.528,1.5,2.1,.741,2.3,9.6,11.9,2.2,2.0,2.7,1.3,3.7,16.2,,110,102
2825,Andre Moore,1987-88,23,TOT,NBA,PF-SF,10,0,50,8.4,25.2,.333,0.0,0.0,,8.4,25.2,.333,5.6,7.5,.750,5.6,7.5,13.1,5.6,1.9,0.9,3.7,5.6,22.4,,90,105
2826,Ben Moore,2017-18,22,IND,NBA,PF,2,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.5,5.5,5.5,0.0,0.0,0.0,22.1,0.0,,222,113
2827,E'Twaun Moore,2011-12,22,BOS,NBA,PG,38,0,331,6.9,18.1,.381,2.7,7.2,.378,4.2,10.9,.382,1.1,1.1,1.000,0.6,4.7,5.3,5.5,1.8,0.5,3.4,5.3,17.7,,89,101
2828,Gene Moore,1973-74,28,SDA,ABA,C,49,,897,7.5,16.7,.453,0.0,0.3,.143,7.5,16.3,.459,2.0,4.2,.482,4.7,9.6,14.3,2.9,1.3,2.5,3.6,6.5,17.1,,93,102
