,Name,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
0,Alaa Abdelnaby,1990-91,22,POR,NBA,PF,43,0,290,9.1,19.1,.474,0.0,0.0,,9.1,19.1,.474,4.1,7.2,.568,4.4,10.2,14.7,2.0,0.7,2.0,3.6,6.4,22.2,,99,103
2,Kareem Abdul-Jabbar,1973-74,26,MIL,NBA,C,81,,3548,12.2,22.6,.539,,,,12.2,22.6,.539,3.8,5.4,.702,3.7,11.4,15.1,5.0,1.4,3.6,,3.1,28.1,,,89
3,Mahmoud Abdul-Rauf,1990-91,21,DEN,NBA,PG,67,19,1505,11.7,28.3,.413,0.7,2.8,.240,11.0,25.5,.432,2.4,2.7,.857,1.0,2.4,3.4,5.8,1.5,0.1,3.1,4.2,26.4,,96,118
4,Tariq Abdul-Wahad,1997-98,23,SAC,NBA,SG,59,16,959,7.8,19.4,.403,0.2,1.0,.211,7.6,18.4,.414,4.6,6.8,.672,2.4,3.9,6.3,2.8,1.9,0.7,3.5,4.4,20.4,,91,108
5,Shareef Abdur-Rahim,1996-97,20,VAN,NBA,PF,80,71,2802,10.7,23.5,.453,0.1,0.5,.259,10.5,23.0,.457,7.5,10.1,.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,,102,112
6,Tom Abernethy,1976-77,22,LAL,NBA,SF,70,,1378,5.6,11.6,.484,,,,5.6,11.6,.484,3.4,4.5,.754,3.8,5.9,9.7,3.3,1.6,0.3,,3.9,14.6,,,100
9,Alex Abrines,2016-17,23,OKC,NBA,SG,68,6,1055,6.2,15.9,.393,4.4,11.5,.381,1.9,4.4,.426,2.0,2.3,.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,,113,110
10,Alex Acker,2005-06,23,DET,NBA,SG,5,0,35,6.3,25.3,.250,1.6,7.9,.200,4.7,17.4,.273,0.0,0.0,,1.6,6.3,7.9,6.3,1.6,0.0,6.3,6.3,14.2,,61,105
12,Mark Acres,1987-88,25,BOS,NBA,C,79,5,1151,4.6,8.6,.532,0.0,0.0,,4.6,8.6,.532,3.0,4.7,.640,4.5,7.0,11.5,1.8,1.2,1.1,2.3,8.4,12.2,,113,109
14,Quincy Acy,2012-13,22,TOR,NBA,PF,29,0,342,6.5,11.6,.560,0.2,0.3,.500,6.4,11.3,.562,4.8,5.9,.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,,120,105
15,Alvan Adams,1975-76,21,PHO,NBA,C,80,,2656,10.8,22.9,.469,,,,10.8,22.9,.469,4.5,6.1,.735,3.7,8.8,12.4,7.7,2.1,2.0,,4.7,26.0,,,95
16,Don Adams,1973-74,26,DET,NBA,SF,74,,2298,5.9,14.6,.408,,,,5.9,14.6,.408,3.0,3.9,.761,2.6,6.2,8.8,2.8,2.2,0.2,,4.7,14.9,,,94
17,George Adams,1973-74,24,SDA,ABA,SF,80,,1433,7.8,15.5,.500,0.0,0.2,.143,7.7,15.3,.505,2.4,3.2,.757,3.8,6.7,10.5,3.9,1.3,0.7,3.6,3.4,17.9,,102,106
18,Hassan Adams,2006-07,22,NJN,NBA,SG,61,8,495,8.0,14.3,.556,0.0,0.1,.000,8.0,14.2,.560,2.5,3.8,.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,,109,107
19,Jordan Adams,2014-15,20,MEM,NBA,SG,30,0,248,7.4,18.1,.407,2.1,5.3,.400,5.3,12.8,.410,2.9,4.8,.609,1.9,4.0,5.9,3.4,3.4,1.5,2.9,5.1,19.8,,96,100
20,Michael Adams,1985-86,23,SAC,NBA,PG,18,0,139,5.4,14.9,.364,0.0,1.0,.000,5.4,13.9,.390,2.7,4.1,.667,0.7,1.4,2.0,7.5,3.0,0.3,3.7,3.0,13.5,,86,109
21,Steven Adams,2013-14,20,OKC,NBA,C,81,20,1197,3.9,7.8,.503,0.0,0.0,,3.9,7.8,.503,3.3,5.7,.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,,108,102
22,Rafael Addison,1986-87,22,PHO,NBA,SF,62,12,711,9.7,21.9,.441,1.1,3.3,.320,8.6,18.6,.463,3.4,4.2,.797,2.7,4.3,7.0,3.0,1.8,0.5,3.6,5.0,23.8,,98,111
23,Bam Adebayo,2017-18,20,MIA,NBA,C,53,11,1085,6.6,11.9,.555,0.0,0.3,.000,6.6,11.6,.568,5.0,6.9,.730,4.0,9.4,13.4,4.0,1.3,1.7,2.3,5.0,18.2,,123,105
25,Jeff Adrien,2010-11,24,GSW,NBA,PF,23,0,196,5.9,13.9,.426,0.0,0.0,,5.9,13.9,.426,2.8,4.9,.579,5.9,9.0,15.0,2.6,1.0,1.3,2.3,7.2,14.7,,102,110
26,Arron Afflalo,2007-08,22,DET,NBA,SG,75,9,970,5.6,13.7,.411,0.6,2.7,.208,5.0,10.9,.461,3.9,4.9,.782,2.0,5.7,7.8,2.9,1.8,0.5,1.9,4.7,15.6,,104,104
27,Maurice Ager,2006-07,22,DAL,NBA,SG,32,1,214,5.5,17.5,.314,1.3,3.8,.333,4.3,13.8,.309,5.0,8.3,.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,,79,106
28,Mark Aguirre,1981-82,22,DAL,NBA,SF,51,20,1468,12.6,27.2,.465,0.8,2.4,.352,11.8,24.9,.475,5.6,8.2,.680,3.0,5.3,8.3,5.4,1.2,0.7,4.5,5.0,31.7,,102,111
29,Blake Ahearn,2007-08,23,MIA,NBA,PG,12,0,177,4.5,17.1,.263,3.0,10.2,.294,1.5,6.9,.217,9.0,9.3,.968,0.3,5.4,5.7,5.7,1.8,0.0,4.8,6.0,21.0,,94,111
30,Danny Ainge,1981-82,22,BOS,NBA,SG,53,1,564,6.6,18.5,.357,0.4,1.4,.294,6.2,17.1,.363,4.7,5.5,.862,2.1,2.6,4.7,7.3,3.1,0.3,4.4,7.2,18.4,,94,104
32,Alexis Ajinca,2008-09,20,CHA,NBA,PF,31,4,182,7.5,20.6,.362,0.0,0.6,.000,7.5,20.0,.373,6.0,8.4,.714,2.7,6.3,9.0,0.9,2.1,1.8,3.6,10.2,20.9,,86,104
34,Josh Akognon,2012-13,26,DAL,NBA,PG,3,0,9,11.3,22.7,.500,5.7,11.3,.500,5.7,11.3,.500,0.0,0.0,,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,,130,111
35,Solomon Alabi,2010-11,22,TOR,NBA,C,12,0,59,2.6,13.1,.200,0.0,0.0,,2.6,13.1,.200,0.0,1.8,.000,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,,61,112
36,Mark Alarie,1986-87,23,DEN,NBA,PF,64,25,1110,8.8,18.0,.490,0.1,0.4,.222,8.8,17.7,.495,2.7,4.1,.663,3.0,5.7,8.7,3.0,0.9,1.1,2.3,5.6,20.5,,106,111
38,Furkan Aldemir,2014-15,23,PHI,NBA,PF,41,9,540,3.7,7.2,.513,0.0,0.5,.000,3.7,6.8,.548,1.2,2.5,.481,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,,117,104
39,Cole Aldrich,2010-11,22,OKC,NBA,C,18,0,142,2.9,5.5,.533,0.0,0.0,,2.9,5.5,.533,0.7,1.5,.500,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,,98,104
