,Name,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
783,Omar Cook,2003-04,22,POR,NBA,PG,17,0,8.2,0.4,1.6,.259,0.0,0.1,.000,0.4,1.5,.269,.259,0.0,0.0,,0.2,0.2,0.4,1.4,0.6,0.0,0.6,0.8,0.8
784,Quinn Cook,2016-17,23,TOT,NBA,PG,14,0,13.4,2.4,4.7,.500,0.8,1.9,.423,1.6,2.9,.550,.583,0.1,0.4,.400,0.1,0.4,0.5,1.9,0.3,0.0,0.9,0.9,5.6
785,Charles Cooke,2017-18,23,NOP,NBA,SG,9,0,2.7,0.2,1.1,.200,0.1,0.7,.167,0.1,0.4,.250,.250,0.1,0.2,.500,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.7
786,David Cooke,1985-86,22,SAC,NBA,PF,6,0,6.3,0.3,1.8,.182,0.0,0.0,,0.3,1.8,.182,.182,0.8,1.7,.500,0.8,0.8,1.7,0.2,0.7,0.0,0.3,0.8,1.5
788,Jack Cooley,2014-15,23,UTA,NBA,C,16,0,5.4,0.6,1.4,.409,0.0,0.0,,0.6,1.4,.409,.409,0.6,1.3,.429,0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7
790,Duane Cooper,1992-93,23,LAL,NBA,PG,65,0,9.9,1.0,2.4,.392,0.1,0.5,.233,0.8,2.0,.430,.415,0.4,0.5,.714,0.2,0.6,0.8,2.3,0.3,0.0,1.1,1.0,2.4
791,Joe Cooper,1981-82,24,NJN,NBA,C,1,0,11.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
792,Michael Cooper,1978-79,22,LAL,NBA,SG,3,,2.3,1.0,2.0,.500,,,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,2.0
793,Wayne Cooper,1978-79,22,GSW,NBA,C,65,,12.2,2.0,4.5,.437,,,,2.0,4.5,.437,.437,0.6,0.9,.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6
794,Tom Copa,1991-92,27,SAS,NBA,C,33,1,4.0,0.7,1.2,.550,0.0,0.0,,0.7,1.2,.550,.550,0.1,0.4,.308,0.4,0.7,1.1,0.1,0.1,0.2,0.2,0.9,1.5
795,Chris Copeland,2012-13,28,NYK,NBA,PF,56,13,15.4,3.3,6.8,.479,1.1,2.5,.421,2.2,4.3,.513,.557,1.1,1.5,.759,0.6,1.5,2.1,0.5,0.3,0.2,0.9,1.9,8.7
796,Hollis Copeland,1979-80,24,NYK,NBA,SF,75,,15.2,2.4,4.9,.495,0.0,0.0,.000,2.4,4.9,.497,.495,0.8,1.1,.733,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7
797,Lanard Copeland,1989-90,24,PHI,NBA,SG,23,0,4.8,1.3,3.0,.456,0.0,0.2,.200,1.3,2.7,.476,.463,0.5,0.6,.786,0.2,0.3,0.4,0.4,0.0,0.0,0.8,0.5,3.2
798,Tyrone Corbin,1985-86,23,SAS,NBA,SF,16,0,10.9,1.7,4.0,.422,0.0,0.1,.000,1.7,3.9,.429,.422,0.6,0.9,.714,0.7,0.9,1.6,0.7,0.7,0.1,0.8,1.3,4.0
799,Chris Corchiani,1991-92,23,ORL,NBA,PG,51,1,14.5,1.5,3.8,.399,0.2,0.7,.270,1.3,3.1,.429,.425,1.8,2.0,.875,0.4,1.2,1.5,2.8,0.9,0.0,1.5,1.8,5.0
802,Dave Corzine,1978-79,22,WSB,NBA,C,59,,9.0,1.1,2.0,.534,,,,1.1,2.0,.534,.534,0.8,1.1,.778,0.9,1.6,2.5,0.8,0.2,0.2,0.9,1.1,3.0
804,Matt Costello,2017-18,24,SAS,NBA,C,3,0,6.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.3,2.0,2.3,0.0,0.0,0.7,0.3,1.7,0.7
805,Bryce Cotton,2014-15,22,UTA,NBA,PG,15,0,10.6,1.9,4.6,.420,0.5,1.3,.350,1.5,3.3,.449,.471,1.0,1.2,.833,0.2,1.0,1.2,1.0,0.3,0.0,0.8,0.4,5.3
807,James Cotton,1997-98,22,SEA,NBA,SG,9,0,3.7,0.9,2.3,.381,0.0,0.4,.000,0.9,1.9,.471,.381,0.9,1.0,.889,0.2,0.4,0.7,0.0,0.1,0.1,0.7,0.3,2.7
808,John Coughran,1979-80,28,GSW,NBA,SF,24,,6.7,1.2,3.4,.358,0.1,0.4,.222,1.1,3.0,.375,.370,0.3,0.6,.571,0.1,0.7,0.8,0.5,0.3,0.0,0.5,1.0,2.8
811,Joe Courtney,1992-93,23,TOT,NBA,PF,12,0,8.7,1.1,2.7,.406,0.0,0.0,,1.1,2.7,.406,.406,0.6,0.8,.778,0.3,1.3,1.6,0.3,0.4,0.4,0.5,1.4,2.8
812,Marcus Cousin,2010-11,24,UTA,NBA,C,4,0,4.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.3,1.0
813,DeMarcus Cousins,2010-11,20,SAC,NBA,C,81,62,28.5,5.3,12.4,.430,0.0,0.2,.167,5.3,12.2,.435,.432,3.4,5.0,.687,2.7,6.0,8.6,2.5,1.0,0.8,3.3,4.1,14.1
815,Robert Covington,2013-14,23,HOU,NBA,SF,7,0,4.9,0.9,2.0,.429,0.6,1.6,.364,0.3,0.4,.667,.571,0.0,0.0,,0.3,0.4,0.7,0.0,0.3,0.0,0.1,0.4,2.3
816,Dave Cowens,1970-71,22,BOS,NBA,C,81,,38.0,6.8,16.1,.422,,,,6.8,16.1,.422,.422,3.4,4.6,.732,,,15.0,2.8,,,,4.3,17.0
817,Chubby Cox,1982-83,27,WSB,NBA,SG,7,0,11.1,1.9,5.3,.351,0.0,0.3,.000,1.9,5.0,.371,.351,0.4,0.9,.500,1.0,0.4,1.4,0.9,0.0,0.1,1.3,2.3,4.1
820,Allen Crabbe,2013-14,21,POR,NBA,SG,15,0,6.7,0.8,2.2,.364,0.4,0.9,.429,0.4,1.3,.316,.455,0.2,0.3,.750,0.1,0.5,0.6,0.4,0.1,0.1,0.2,0.7,2.2
821,Torrey Craig,2017-18,27,DEN,NBA,SF,26,4,16.1,1.6,3.5,.451,0.4,1.5,.263,1.2,2.0,.585,.505,0.7,1.1,.655,1.0,2.0,3.0,0.7,0.3,0.2,0.4,1.6,4.3
822,Chris Crawford,1997-98,22,ATL,NBA,PF,40,0,6.4,1.2,2.8,.418,0.0,0.1,.333,1.1,2.7,.421,.423,1.4,1.7,.838,0.5,0.5,1.0,0.2,0.3,0.2,0.5,0.7,3.8
824,Jamal Crawford,2000-01,20,CHI,NBA,PG,61,8,17.2,1.8,5.0,.352,0.7,1.9,.350,1.1,3.1,.353,.419,0.4,0.6,.794,0.1,1.3,1.5,2.3,0.7,0.2,1.4,1.1,4.6
825,Joe Crawford,2008-09,22,NYK,NBA,SF,2,0,11.5,1.5,5.0,.300,0.5,2.0,.250,1.0,3.0,.333,.350,1.0,1.0,1.000,0.5,1.5,2.0,0.5,0.5,0.0,0.0,1.0,4.5
826,Jordan Crawford,2010-11,22,TOT,NBA,SG,42,18,24.5,4.6,11.9,.384,0.8,3.0,.258,3.8,8.9,.427,.417,1.7,2.0,.869,0.7,1.8,2.5,2.8,0.9,0.1,2.0,1.5,11.7
828,Ron Crevier,1985-86,27,TOT,NBA,C,3,0,1.3,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.7,.000,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0
830,Joe Crispin,2001-02,22,TOT,NBA,PG,21,0,7.4,1.2,3.2,.382,0.7,1.9,.385,0.5,1.4,.379,.493,0.6,0.6,.923,0.1,0.4,0.5,1.2,0.2,0.0,0.5,0.5,3.8
831,Charlie Criss,1977-78,29,ATL,NBA,PG,77,,25.1,4.1,9.8,.425,,,,4.1,9.8,.425,.425,3.1,3.8,.797,0.3,1.3,1.6,3.8,1.4,0.1,1.9,1.9,11.4
833,Winston Crite,1987-88,22,PHO,NBA,SF,29,0,8.9,1.2,2.3,.500,0.0,0.0,,1.2,2.3,.500,.500,0.7,0.9,.760,0.9,1.3,2.2,0.5,0.2,0.3,0.9,1.4,3.0
834,Javaris Crittenton,2007-08,20,TOT,NBA,SG,50,0,13.6,2.0,4.7,.421,0.2,0.7,.270,1.8,3.9,.449,.442,1.4,2.1,.692,0.5,1.7,2.2,1.0,0.4,0.0,1.1,0.9,5.6
837,Geoff Crompton,1978-79,23,DEN,NBA,C,20,,4.4,0.5,1.3,.385,,,,0.5,1.3,.385,.385,0.3,0.6,.500,0.3,0.9,1.2,0.3,0.0,0.2,0.6,1.0,1.3
838,Terry Crosby,1979-80,23,KCK,NBA,PG,4,,7.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,0.5,1.000,0.0,0.3,0.3,1.8,0.0,0.0,1.3,1.0,1.5
839,Austin Croshere,1997-98,22,IND,NBA,PF,26,0,9.3,1.2,3.3,.372,0.2,0.5,.308,1.1,2.8,.384,.395,0.3,0.5,.571,0.4,1.3,1.7,0.3,0.3,0.2,0.5,1.2,2.9
840,Jeff Cross,1985-86,24,LAC,NBA,PF,21,0,6.1,0.3,1.1,.250,0.0,0.0,,0.3,1.1,.250,.250,0.7,1.2,.560,0.4,1.0,1.4,0.0,0.1,0.1,0.3,1.8,1.2
842,Russell Cross,1983-84,22,GSW,NBA,C,45,0,7.9,1.4,2.5,.571,0.0,0.0,,1.4,2.5,.571,.571,0.8,2.0,.418,0.8,1.0,1.8,0.5,0.3,0.2,0.4,1.3,3.7
844,John Crotty,1992-93,23,UTA,NBA,PG,40,0,6.1,0.9,1.8,.514,0.1,0.4,.143,0.9,1.5,.603,.528,0.7,1.0,.684,0.1,0.3,0.4,1.4,0.3,0.0,0.8,0.7,2.6
847,Corey Crowder,1991-92,22,UTA,NBA,SF,51,0,6.4,0.8,2.2,.384,0.3,0.6,.433,0.6,1.6,.366,.442,0.3,0.4,.833,0.3,0.5,0.8,0.3,0.1,0.0,0.3,0.7,2.2
848,Jae Crowder,2012-13,22,DAL,NBA,SF,78,16,17.3,1.8,4.7,.384,0.8,2.5,.328,1.0,2.2,.446,.470,0.6,0.9,.644,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1.6,5.0
850,Pat Cummings,1979-80,23,MIL,NBA,C,71,,12.7,2.6,5.2,.505,0.0,0.0,,2.6,5.2,.505,.505,1.3,1.7,.764,1.1,2.2,3.4,0.7,0.3,0.2,1.0,2.0,6.6
851,Terry Cummings,1982-83,21,SDC,NBA,PF,70,69,36.2,9.8,18.7,.523,0.0,0.0,.000,9.8,18.7,.523,.523,4.2,5.9,.709,4.3,6.3,10.6,2.5,1.8,0.9,2.9,4.2,23.7
852,Vonteego Cummings,1999-00,23,GSW,NBA,PG,75,11,23.9,3.5,8.7,.405,0.7,2.0,.325,2.9,6.7,.429,.442,1.7,2.3,.751,0.8,1.7,2.5,3.3,1.2,0.2,1.8,2.3,9.4
853,Billy Cunningham,1965-66,22,PHI,NBA,SF,80,,26.7,5.4,12.6,.426,,,,5.4,12.6,.426,.426,3.5,5.5,.634,,,7.5,2.6,,,,3.8,14.3
854,Dante Cunningham,2009-10,22,POR,NBA,PF,63,2,11.2,1.7,3.4,.495,0.0,0.0,.000,1.7,3.4,.500,.495,0.5,0.8,.646,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9
856,Jared Cunningham,2012-13,21,DAL,NBA,SG,8,0,3.3,0.8,1.8,.429,0.3,0.4,.667,0.5,1.4,.364,.500,0.3,0.3,1.000,0.1,0.3,0.4,0.1,0.1,0.0,0.3,0.4,2.0
857,William Cunningham,1997-98,23,TOT,NBA,C,7,2,5.6,0.6,1.3,.444,0.0,0.0,,0.6,1.3,.444,.444,0.0,0.0,,0.6,0.9,1.4,0.1,0.3,0.0,0.0,1.4,1.1
858,Radisav Curcic,1992-93,27,DAL,NBA,C,20,0,8.3,0.8,2.1,.390,0.0,0.0,,0.8,2.1,.390,.390,1.3,1.8,.722,0.9,1.6,2.5,0.6,0.4,0.1,0.4,1.5,2.9
860,Earl Cureton,1980-81,23,PHI,NBA,C,52,,10.2,1.8,3.9,.454,0.0,0.0,.000,1.8,3.9,.456,.454,0.6,1.2,.516,1.0,2.0,3.0,0.5,0.4,0.4,0.6,1.3,4.2
861,Bill Curley,1994-95,22,DET,NBA,PF,53,1,11.2,1.1,2.5,.433,0.0,0.0,,1.1,2.5,.433,.433,0.5,0.7,.750,1.0,1.3,2.3,0.5,0.4,0.4,0.5,2.4,2.7
863,Dell Curry,1986-87,22,UTA,NBA,SG,67,0,9.5,2.1,4.9,.426,0.3,0.9,.283,1.8,4.0,.459,.452,0.4,0.6,.789,0.4,0.7,1.2,0.9,0.4,0.1,0.7,1.3,4.9
864,Eddy Curry,2001-02,19,CHI,NBA,C,72,31,16.0,2.6,5.2,.501,0.0,0.0,,2.6,5.2,.501,.501,1.5,2.2,.656,1.5,2.2,3.8,0.3,0.2,0.7,1.0,2.4,6.7
865,JamesOn Curry,2009-10,24,LAC,NBA,PG,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,Michael Curry,1993-94,25,PHI,NBA,SG,10,0,4.3,0.3,1.4,.214,0.0,0.2,.000,0.3,1.2,.250,.214,0.3,0.4,.750,0.0,0.1,0.1,0.1,0.1,0.0,0.3,0.6,0.9
867,Seth Curry,2013-14,23,TOT,NBA,PG,2,0,6.5,0.5,1.5,.333,0.5,0.5,1.000,0.0,1.0,.000,.500,0.0,0.0,,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.5
868,Stephen Curry,2009-10,21,GSW,NBA,PG,80,77,36.2,6.6,14.3,.462,2.1,4.8,.437,4.5,9.5,.474,.535,2.2,2.5,.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5
869,Rastko Cvetkovic,1995-96,25,DEN,NBA,C,14,0,3.4,0.4,1.1,.313,0.0,0.1,.000,0.4,1.1,.333,.313,0.0,0.3,.000,0.3,0.5,0.8,0.2,0.1,0.1,0.2,0.8,0.7
870,Mike D'Antoni,1973-74,22,KCO,NBA,SG,52,,19.0,2.1,5.1,.402,,,,2.1,5.1,.402,.402,0.6,0.9,.702,0.5,1.3,1.8,2.4,1.4,0.3,,2.2,4.8
873,Quintin Dailey,1982-83,22,CHI,NBA,SG,76,32,27.4,6.2,13.3,.466,0.1,0.3,.200,6.1,12.9,.473,.469,2.7,3.7,.730,1.1,2.3,3.4,3.7,0.9,0.1,2.7,3.3,15.1
874,Samuel Dalembert,2001-02,20,PHI,NBA,C,34,0,5.2,0.6,1.5,.440,0.0,0.0,,0.6,1.5,.440,.440,0.2,0.5,.389,0.7,1.3,2.0,0.1,0.2,0.4,0.4,0.9,1.5
876,Erick Dampier,1996-97,21,IND,NBA,C,72,21,14.6,1.8,4.7,.390,0.0,0.0,1.000,1.8,4.7,.388,.391,1.5,2.3,.637,1.3,2.8,4.1,0.6,0.3,1.0,1.2,2.1,5.1
877,Louie Dampier,1967-68,23,KEN,ABA,PG,72,,41.1,8.6,20.5,.421,0.5,2.0,.268,8.1,18.5,.437,.434,2.9,3.5,.823,,,4.6,3.6,,,2.3,2.0,20.7
878,Bob Dandridge,1969-70,22,MIL,NBA,SF,81,,30.4,5.4,11.0,.485,,,,5.4,11.0,.485,.485,2.5,3.3,.754,,,7.7,3.6,,,,3.4,13.2
879,Antonio Daniels,1997-98,22,VAN,NBA,SG,74,50,26.4,3.1,7.4,.416,0.1,0.7,.212,2.9,6.7,.438,.426,1.5,2.3,.659,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1.2,7.8
880,Erik Daniels,2004-05,22,SAC,NBA,SF,21,0,3.4,0.3,0.9,.333,0.0,0.1,.500,0.2,0.8,.313,.361,0.0,0.0,,0.3,0.5,0.9,0.2,0.1,0.0,0.3,0.3,0.6
881,Lloyd Daniels,1992-93,25,SAS,NBA,SG,77,10,20.4,3.7,8.4,.443,0.8,2.3,.333,2.9,6.1,.484,.488,0.9,1.3,.727,1.1,1.7,2.8,1.9,0.5,0.4,1.3,1.9,9.1
882,Marquis Daniels,2003-04,23,DAL,NBA,SG,56,15,18.6,3.6,7.3,.494,0.2,0.6,.306,3.4,6.7,.512,.507,1.1,1.4,.769,1.2,1.4,2.6,2.1,0.9,0.2,0.8,0.9,8.5
883,Mel Daniels,1967-68,23,MNM,ABA,C,78,,37.7,8.6,21.0,.408,0.0,0.1,.200,8.6,21.0,.409,.408,5.0,8.7,.575,6.4,9.1,15.6,1.4,,,3.0,3.4,22.2
884,Troy Daniels,2013-14,22,HOU,NBA,SG,5,1,15.0,3.0,6.2,.484,2.4,5.0,.480,0.6,1.2,.500,.677,0.0,0.0,,0.0,0.8,0.8,1.0,0.0,0.0,0.6,1.2,8.4
885,Sasha Danilovic,1995-96,25,MIA,NBA,SG,19,18,28.5,4.4,9.7,.451,1.8,4.1,.436,2.6,5.6,.462,.543,2.9,3.8,.764,0.6,1.8,2.4,2.5,0.8,0.2,1.9,2.6,13.4
886,Adrian Dantley,1976-77,20,BUF,NBA,SF,77,,36.6,7.1,13.6,.520,,,,7.1,13.6,.520,.520,6.2,7.6,.818,3.3,4.4,7.6,1.9,1.2,0.2,,2.8,20.3
890,Yinka Dare,1994-95,22,NJN,NBA,C,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
892,Rick Darnell,1975-76,23,VIR,ABA,C,11,,10.9,1.0,2.7,.367,0.0,0.0,,1.0,2.7,.367,.367,0.4,0.6,.571,1.1,2.2,3.3,0.8,0.5,0.3,1.3,2.7,2.4
894,Gigi Datome,2013-14,26,DET,NBA,SF,34,0,7.0,1.0,2.9,.351,0.2,1.1,.179,0.8,1.7,.466,.387,0.2,0.3,.800,0.4,0.9,1.4,0.3,0.2,0.0,0.3,0.6,2.4
895,Brad Daugherty,1986-87,21,CLE,NBA,C,80,80,33.7,6.1,11.3,.538,0.0,0.0,,6.1,11.3,.538,.538,3.5,5.0,.696,1.9,6.2,8.1,3.8,0.6,0.8,3.1,3.1,15.7
897,Kornel David,1998-99,27,CHI,NBA,SF,50,6,18.0,2.2,4.9,.449,0.0,0.0,.000,2.2,4.8,.450,.449,1.8,2.2,.811,1.4,2.1,3.5,0.8,0.5,0.3,1.0,1.8,6.2
