,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
2354,Ty Lawson,Career,,,NBA,,551,344,16088,7.8,16.9,.460,1.5,4.1,.359,6.3,12.8,.493,4.7,6.1,.770,1.1,3.6,4.7,10.3,2.0,0.2,3.6,2.8,21.7,,113,110
2355,Jake Layman,Career,,,NBA,,62,2,395,4.8,16.6,.288,2.1,8.8,.243,2.6,7.8,.339,1.9,2.5,.750,1.3,3.5,4.8,2.6,1.9,0.8,1.9,4.4,13.6,,83,111
2356,Mo Layton,Career,,,TOT,,122,,1655,7.6,15.4,.448,0.0,0.0,,7.6,15.4,.448,2.3,3.1,.749,0.6,2.5,3.1,8.6,1.4,0.3,1.8,5.0,17.5,,93,105
2357,T.J. Leaf,Career,,,NBA,,44,0,404,6.6,14.1,.470,2.1,4.4,.472,4.6,9.7,.468,1.0,1.5,.667,3.1,5.3,8.4,1.0,0.6,0.4,1.1,5.3,16.4,,113,113
2358,Manny Leaks,Career,,,TOT,,53,,845,4.2,12.4,.440,,,.000,4.2,12.4,.440,3.1,4.4,.707,5.0,8.0,13.0,1.3,0.5,2.1,0.0,5.1,11.5,,,94
2360,Allen Leavell,Career,,,NBA,,700,244,16248,7.4,16.5,.450,0.4,1.8,.234,7.0,14.8,.476,4.2,5.0,.834,0.9,2.5,3.4,9.7,2.7,0.3,3.9,4.3,19.5,,106,108
2361,Jeff Lebo,Career,,,NBA,,4,0,32,3.0,10.7,.286,0.0,0.0,,3.0,10.7,.286,3.0,3.0,1.000,3.0,3.0,6.1,4.6,3.0,0.0,1.5,10.7,9.1,,99,105
2362,Eric Leckner,Career,,,NBA,,449,60,5448,6.5,12.8,.508,0.0,0.0,.000,6.5,12.8,.510,3.7,5.6,.669,3.3,9.7,13.0,1.9,0.8,1.3,3.5,9.3,16.8,,100,107
2363,Ricky Ledo,Career,,,NBA,,28,0,277,7.2,21.4,.336,2.5,6.6,.371,4.7,14.8,.321,3.8,4.9,.769,3.0,4.2,7.2,4.0,1.3,0.2,5.3,4.3,20.6,,83,113
2364,Butch Lee,Career,,,NBA,,96,,1834,7.5,16.8,.450,0.0,0.0,,7.5,16.8,.450,4.6,6.1,.761,1.0,2.5,3.5,7.8,2.2,0.0,4.2,3.8,19.7,,101,107
2366,Courtney Lee,Career,,,NBA,,740,496,20847,7.0,15.5,.450,2.0,5.2,.389,4.9,10.2,.482,2.3,2.7,.857,0.9,4.1,5.0,3.2,1.9,0.5,1.8,3.1,18.3,,109,109
2368,David Lee,Career,,,NBA,,829,505,24293,9.6,18.0,.535,0.0,0.1,.034,9.6,17.9,.537,4.3,5.6,.772,4.5,10.8,15.4,3.8,1.3,0.7,3.1,4.6,23.6,,114,106
2370,Doug Lee,Career,,,NBA,,73,0,415,7.3,17.7,.412,2.2,6.9,.310,5.1,10.8,.478,3.3,4.8,.700,2.0,3.0,5.0,3.8,2.0,0.6,2.4,7.6,20.1,,109,110
2372,Greg Lee,Career,,,TOT,,10,,98,4.6,8.8,.526,0.0,0.0,,4.6,8.8,.526,1.8,1.8,1.000,0.5,1.8,2.3,11.1,2.8,0.0,2.8,5.5,11.1,,101,106
2373,Keith Lee,Career,,,NBA,,182,43,2907,7.4,16.5,.451,0.0,0.2,.167,7.4,16.3,.454,3.3,4.4,.746,4.6,9.5,14.1,2.9,1.2,1.8,3.5,8.0,18.2,,99,106
2374,Kurk Lee,Career,,,NBA,,48,0,265,3.5,13.0,.268,0.5,2.7,.200,2.9,10.2,.286,4.6,5.1,.893,1.3,4.2,5.5,6.2,2.0,0.4,3.6,7.1,12.0,,87,109
2375,Malcolm Lee,Career,,,NBA,,36,12,534,5.0,13.1,.382,1.0,3.3,.294,4.1,9.9,.412,2.5,3.6,.703,2.3,4.0,6.3,4.9,1.9,1.0,2.6,5.0,13.5,,97,107
2376,Rock Lee,Career,,,NBA,,2,0,10,4.7,9.5,.500,0.0,0.0,,4.7,9.5,.500,0.0,18.9,.000,0.0,4.7,4.7,9.5,0.0,0.0,0.0,14.2,9.5,,74,117
2377,Ron Lee,Career,,,NBA,,448,7,9586,6.1,14.7,.416,0.4,1.4,.321,5.9,14.1,.420,3.1,4.4,.705,1.9,3.9,5.7,8.0,4.1,0.6,3.7,6.4,15.5,,91,99
2381,Tim Legler,Career,,,NBA,,310,4,5253,7.3,16.3,.447,2.5,5.8,.431,4.8,10.6,.456,3.8,4.5,.840,1.2,3.4,4.6,3.9,1.4,0.4,1.9,4.9,20.9,,117,112
2382,George Lehmann,Career,,,TOT,,33,,554,5.9,15.4,.418,35.6,97.5,.365,4.3,11.0,.440,1.6,1.7,.841,0.7,2.5,3.2,10.2,1.1,0.3,4.6,4.5,15.0,,95,111
2383,"Walt Lemon, Jr.",Career,,,NBA,,3,0,14,6.8,20.5,.333,0.0,0.0,,6.8,20.5,.333,0.0,0.0,,0.0,0.0,0.0,3.4,0.0,0.0,3.4,6.8,13.7,,65,118
2384,Alex Len,Career,,,NBA,,320,135,6384,6.6,13.8,.481,0.0,0.2,.227,6.6,13.6,.485,4.1,5.8,.712,5.0,10.9,15.9,1.9,1.0,2.6,3.1,6.7,17.4,,105,107
2385,Voshon Lenard,Career,,,NBA,,565,321,15349,8.5,20.4,.415,3.2,8.4,.384,5.2,12.0,.436,3.2,4.1,.787,1.2,4.4,5.6,4.1,1.5,0.5,2.6,4.2,23.4,,106,107
2387,Gary Leonard,Career,,,NBA,,31,0,149,5.9,12.9,.459,0.0,0.3,.000,5.9,12.6,.472,3.5,7.0,.500,4.5,7.3,11.9,0.7,1.4,3.5,3.1,10.8,15.4,,93,106
2388,Kawhi Leonard,Career,,,NBA,,407,380,12364,10.0,20.3,.495,2.2,5.7,.386,7.8,14.6,.537,5.2,6.2,.846,2.1,8.3,10.4,3.8,3.0,1.2,2.3,2.9,27.5,,118,99
2389,Meyers Leonard,Career,,,NBA,,322,40,5140,6.8,14.6,.467,2.2,5.7,.376,4.7,8.9,.526,1.9,2.3,.824,2.4,9.6,12.0,2.5,0.5,1.0,2.2,7.3,17.7,,110,108
2391,Jim Les,Career,,,NBA,,321,13,4222,4.3,10.9,.397,2.3,5.8,.396,2.1,5.2,.397,3.2,3.9,.818,1.0,3.6,4.6,10.9,2.0,0.2,3.4,4.9,14.1,,111,110
2392,Travis Leslie,Career,,,NBA,,10,0,45,6.0,16.7,.357,0.0,0.0,,6.0,16.7,.357,4.8,10.8,.444,7.2,3.6,10.8,6.0,2.4,2.4,2.4,4.8,16.7,,98,105
2393,Ronnie Lester,Career,,,NBA,,250,116,4959,6.5,13.8,.469,0.0,0.2,.227,6.4,13.6,.472,4.3,5.5,.788,1.4,3.1,4.5,9.6,1.8,0.3,4.5,3.8,17.3,,104,110
2394,Clifford Lett,Career,,,NBA,,11,0,127,6.2,14.2,.432,0.0,0.4,.000,6.2,13.9,.444,2.3,3.5,.667,0.4,2.3,2.7,3.1,0.8,0.4,3.9,6.5,14.6,,84,110
2395,Jon Leuer,Career,,,NBA,,336,79,5543,8.4,17.5,.478,1.1,3.4,.335,7.2,14.1,.512,2.6,3.4,.769,3.0,9.2,12.2,2.6,1.1,0.9,2.2,4.8,20.5,,108,106
2397,Fat Lever,Career,,,NBA,,752,599,23814,8.2,18.4,.447,0.3,1.0,.310,7.9,17.4,.455,3.5,4.5,.771,2.8,6.0,8.8,9.1,3.2,0.4,2.8,3.5,20.2,,109,105
2398,Caris LeVert,Career,,,NBA,,110,35,2603,7.3,16.8,.437,2.2,6.7,.326,5.2,10.1,.510,3.1,4.3,.706,1.2,5.9,7.1,5.9,2.0,0.5,3.4,3.7,19.9,,102,110
2399,Cliff Levingston,Career,,,NBA,,830,216,16962,6.7,13.0,.516,0.0,0.1,.152,6.7,12.9,.518,3.5,5.2,.676,5.1,7.3,12.4,2.2,1.5,1.7,2.4,6.6,16.9,,114,106
2401,Cedric Lewis,Career,,,NBA,,3,0,4,25.6,38.4,.667,0.0,0.0,,25.6,38.4,.667,0.0,0.0,,25.6,0.0,25.6,0.0,12.8,0.0,0.0,0.0,51.2,,148,90
2403,Freddie Lewis,Career,,,TOT,,253,,7772,8.0,18.3,.432,1.7,6.2,.280,7.6,16.9,.448,5.1,6.1,.817,1.6,2.6,4.3,6.1,2.2,0.1,3.3,3.5,21.4,,105,107
2405,Martin Lewis,Career,,,NBA,,25,0,239,7.6,16.0,.473,0.7,2.2,.300,6.9,13.9,.500,3.5,5.9,.593,4.1,3.5,7.6,1.5,2.0,1.1,3.3,6.3,19.3,,100,113
2406,Mike Lewis,Career,,,ABA,,3,,14,9.9,26.5,.498,0.0,13.2,.000,9.9,26.5,.499,0.0,0.0,.735,9.9,6.6,16.5,0.0,0.0,0.0,3.3,6.6,19.9,,88,107
2407,Quincy Lewis,Career,,,NBA,,159,21,1853,6.7,16.8,.397,1.1,3.2,.333,5.6,13.6,.412,1.9,2.7,.710,2.0,4.0,6.1,2.8,1.7,1.0,2.8,9.7,16.4,,91,105
2408,Ralph Lewis,Career,,,NBA,,99,0,672,6.4,15.5,.414,0.1,0.3,.250,6.3,15.2,.417,3.6,6.4,.562,4.0,4.5,8.5,2.1,1.8,0.5,3.2,4.8,16.5,,91,110
2409,Rashard Lewis,Career,,,NBA,,1049,842,33541,8.9,19.6,.452,2.8,7.3,.386,6.1,12.3,.491,3.9,4.9,.805,2.2,6.3,8.5,2.8,1.8,0.9,2.5,3.8,24.5,,112,107
2410,Reggie Lewis,Career,,,NBA,,450,352,14676,10.8,22.1,.488,0.1,0.5,.200,10.7,21.6,.494,5.0,6.0,.824,1.9,4.6,6.5,3.9,1.9,1.4,2.4,4.3,26.6,,112,108
2411,Marcus Liberty,Career,,,NBA,,267,63,4568,8.0,19.2,.417,0.7,2.0,.340,7.3,17.2,.426,3.2,4.8,.664,4.3,5.2,9.5,2.5,1.9,0.7,2.7,5.1,19.9,,100,110
2412,Todd Lichti,Career,,,NBA,,237,51,4240,8.0,17.4,.460,0.2,0.8,.244,7.8,16.5,.471,4.2,5.3,.789,1.9,3.6,5.5,3.5,1.9,0.5,2.8,4.5,20.4,,105,111
2414,DeAndre Liggins,Career,,,NBA,,162,22,1777,3.5,8.4,.413,1.1,3.2,.351,2.4,5.2,.451,1.3,2.3,.549,1.3,5.4,6.7,3.1,3.0,0.8,2.3,5.5,9.4,,95,106
2416,Goose Ligon,Career,,,ABA,,19,,360,4.7,10.8,.487,0.4,3.1,.125,4.7,10.7,.490,2.4,3.2,.643,5.7,6.4,12.1,1.4,1.1,1.1,3.1,5.5,11.8,,98,106
2417,Damian Lillard,Career,,,NBA,,451,451,16409,10.6,24.6,.433,3.7,10.1,.369,6.9,14.5,.477,6.9,7.8,.882,0.8,4.9,5.7,8.7,1.3,0.4,3.9,2.9,31.9,,114,110
2418,Jeremy Lin,Career,,,NBA,,406,217,10782,7.7,17.7,.433,1.8,5.2,.350,5.8,12.5,.467,5.4,6.8,.805,0.8,4.6,5.4,8.4,2.2,0.8,4.5,4.3,22.6,,105,107
2419,Steve Lingenfelter,Career,,,NBA,,10,0,67,3.5,5.0,.714,0.0,0.0,,3.5,5.0,.714,0.0,4.3,.000,2.8,8.5,11.4,3.5,0.7,2.1,4.3,15.6,7.1,,76,101
2420,Alton Lister,Career,,,NBA,,953,582,18965,6.4,12.4,.512,0.0,0.0,.111,6.4,12.4,.513,3.2,5.4,.597,4.7,10.5,15.2,2.3,0.9,3.7,3.7,8.1,16.0,,102,102
2422,Gene Littles,Career,,,ABA,,145,,2917,6.0,13.2,.476,0.4,1.7,.240,5.9,12.7,.484,2.5,3.5,.738,1.9,3.2,5.1,6.4,2.5,0.3,2.9,3.8,14.7,,104,103
2423,Randy Livingston,Career,,,NBA,,203,19,2684,5.9,14.6,.406,0.7,1.9,.351,5.2,12.7,.414,2.5,3.3,.771,1.4,4.0,5.5,8.1,2.4,0.6,4.3,5.8,15.0,,94,104
2424,Shaun Livingston,Career,,,NBA,,752,191,15922,6.4,13.2,.484,0.0,0.2,.188,6.3,13.0,.489,2.8,3.5,.794,1.4,4.5,5.9,7.5,1.7,0.9,3.1,4.5,15.6,,106,107
2426,Horacio Llamas Grey,Career,,,NBA,,28,2,143,8.3,17.7,.469,0.4,1.1,.333,8.0,16.7,.478,4.0,6.5,.611,2.9,10.1,13.0,1.8,4.0,2.9,7.2,14.1,21.0,,81,97
2430,Lewis Lloyd,Career,,,NBA,,388,260,9406,10.7,20.5,.524,0.0,0.2,.213,10.7,20.2,.528,3.8,5.0,.771,2.4,3.5,5.9,5.6,1.8,0.7,4.1,4.1,25.3,,108,109
2431,Scott Lloyd,Career,,,NBA,,372,17,5638,5.4,12.7,.425,0.0,0.1,.286,5.4,12.7,.426,3.3,4.6,.718,3.5,5.8,9.3,3.0,0.8,0.6,2.5,6.9,14.2,,95,109
2434,Rob Lock,Career,,,NBA,,20,0,110,3.8,13.4,.281,0.0,0.0,,3.8,13.4,.281,5.0,6.3,.800,5.8,7.5,13.4,1.7,1.3,1.7,5.4,6.3,12.5,,77,110
2435,Darrell Lockhart,Career,,,NBA,,2,0,14,6.4,6.4,1.000,0.0,0.0,,6.4,6.4,1.000,0.0,0.0,,0.0,9.7,9.7,0.0,0.0,0.0,6.4,16.1,12.9,,75,112
2436,Ian Lockhart,Career,,,NBA,,1,0,2,23.8,23.8,1.000,0.0,0.0,,23.8,23.8,1.000,47.5,47.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,,231,115
2437,Kevin Loder,Career,,,NBA,,148,26,2094,8.1,17.5,.461,0.1,0.5,.261,7.9,17.0,.467,3.1,4.4,.695,2.5,5.0,7.5,3.8,1.5,1.0,3.2,5.8,19.3,,100,107
2441,Brad Lohaus,Career,,,NBA,,656,116,10378,7.4,16.9,.440,1.9,5.2,.361,5.6,11.7,.475,1.8,2.5,.733,2.3,6.7,9.0,3.4,1.5,2.4,2.7,6.3,18.6,,103,108
2442,Art Long,Career,,,NBA,,98,27,1220,6.5,14.2,.458,0.1,0.1,.667,6.4,14.1,.456,2.1,4.3,.485,5.7,8.3,14.0,2.1,1.2,1.8,3.7,9.7,15.2,,94,104
2443,Grant Long,Career,,,NBA,,1003,673,28514,6.2,13.4,.467,0.1,0.5,.283,6.1,12.9,.474,4.5,5.9,.761,3.9,7.2,11.1,3.1,2.2,0.7,2.9,5.3,17.1,,108,106
2444,John Long,Career,,,NBA,,893,432,22680,10.5,22.5,.467,0.2,0.7,.322,10.3,21.9,.472,3.7,4.3,.862,2.1,3.1,5.1,3.6,1.9,0.4,3.2,3.9,25.0,,103,109
2446,Shawn Long,Career,,,NBA,,18,0,234,12.7,22.7,.560,1.5,4.0,.368,11.2,18.7,.600,4.0,7.3,.543,8.5,9.2,17.7,2.7,1.9,1.9,2.7,10.2,30.8,,118,106
2447,Willie Long,Career,,,ABA,,82,,2058,8.7,20.9,.421,0.0,0.1,.000,8.7,20.9,.422,6.1,7.3,.774,4.5,6.1,10.5,2.3,1.2,0.3,3.5,5.5,23.4,,101,105
2448,Luc Longley,Career,,,NBA,,567,362,12006,7.3,15.9,.462,0.0,0.0,.000,7.3,15.9,.463,3.1,4.1,.760,3.8,8.4,12.2,3.6,1.2,2.4,4.1,7.5,17.8,,97,102
2449,Kevon Looney,Career,,,NBA,,106,4,989,5.8,10.4,.556,0.1,0.5,.273,5.6,9.9,.571,2.2,4.0,.542,4.9,8.0,12.9,2.6,1.4,2.2,1.9,6.4,13.9,,118,105
2450,Brook Lopez,Career,,,NBA,,615,578,19254,11.5,22.9,.502,0.6,1.7,.331,10.9,21.1,.516,6.1,7.8,.790,4.1,7.1,11.3,2.5,0.9,2.8,3.3,4.6,29.7,,110,108
2451,Felipe Lopez,Career,,,NBA,,249,80,4145,7.0,16.2,.432,0.6,1.9,.327,6.4,14.4,.445,3.8,5.8,.659,2.7,5.0,7.7,3.2,2.1,0.8,3.2,5.7,18.4,,97,108
2452,Raul Lopez,Career,,,NBA,,113,26,2135,7.2,16.8,.429,1.2,3.4,.346,6.1,13.5,.450,3.3,3.9,.853,0.8,4.2,5.0,11.1,2.2,0.1,5.7,7.2,18.9,,97,106
2453,Robin Lopez,Career,,,NBA,,685,537,15930,8.2,15.7,.526,0.0,0.0,.143,8.2,15.6,.527,3.3,4.4,.761,5.5,6.5,12.0,1.7,0.6,2.7,2.4,4.5,19.8,,114,108
2454,Ryan Lorthridge,Career,,,NBA,,37,2,672,7.7,16.3,.475,0.2,1.0,.214,7.5,15.2,.493,4.2,6.4,.648,1.8,3.4,5.2,7.4,2.0,0.1,4.2,3.1,19.8,,102,114
2459,Kevin Love,Career,,,NBA,,624,542,20116,9.5,21.5,.444,2.5,6.8,.368,7.0,14.7,.479,7.3,8.8,.824,4.7,13.1,17.8,3.6,1.1,0.7,3.0,3.4,28.8,,116,106
2460,Stan Love,Career,,,TOT,,93,,1193,8.0,18.5,.440,0.0,0.0,,8.0,18.5,.440,3.6,4.9,.751,3.3,7.4,10.7,3.1,1.6,1.4,0.2,8.0,19.6,,98,97
2462,Sidney Lowe,Career,,,NBA,,193,40,3422,2.9,7.9,.367,0.1,0.4,.133,2.8,7.4,.380,2.4,3.1,.764,1.2,3.7,4.9,10.9,2.8,0.1,2.8,4.1,8.2,,101,108
2464,Kyle Lowry,Career,,,NBA,,771,535,23920,7.7,18.1,.424,2.8,7.7,.368,4.9,10.5,.465,5.7,7.1,.802,1.4,5.6,7.0,9.7,2.3,0.4,3.7,4.5,23.9,,114,107
2467,John Lucas,Career,,,NBA,,928,266,25556,7.2,16.1,.449,0.7,2.2,.303,6.8,14.6,.464,3.5,4.5,.776,0.9,3.1,4.0,12.0,2.4,0.1,3.3,3.1,18.4,,108,107
2468,Kalin Lucas,Career,,,NBA,,1,0,6,0.0,8.7,.000,0.0,0.0,,0.0,8.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,8.7,0.0,0.0,8.7,0.0,,0,93
2469,Maurice Lucas,Career,,,TOT,,1021,244,30112,9.1,19.4,.471,0.0,0.1,.143,9.1,19.3,.473,4.6,6.0,.765,4.2,10.2,14.3,3.8,1.2,1.0,3.6,5.4,22.9,,103,102
2470,John Lucas III,Career,,,NBA,,242,8,2927,8.2,21.5,.383,3.0,8.6,.344,5.3,12.9,.409,1.4,1.8,.768,1.0,3.3,4.3,6.6,1.6,0.0,2.3,3.5,20.8,,101,108
2472,Tyronn Lue,Career,,,NBA,,554,173,12564,7.5,17.1,.437,2.0,5.0,.391,5.5,12.1,.456,3.1,3.7,.829,0.6,3.4,4.0,7.3,1.2,0.0,2.8,4.5,20.0,,109,112
2477,Timothe Luwawu-Cabarrot,Career,,,NBA,,118,26,1985,6.0,15.3,.388,2.5,7.8,.321,3.5,7.5,.458,3.7,4.4,.834,1.0,4.5,5.4,3.1,1.1,0.4,2.7,6.1,18.1,,100,111
2478,Tyler Lydon,Career,,,NBA,,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119
2479,Trey Lyles,Career,,,NBA,,208,39,3706,8.0,18.6,.433,2.6,7.2,.361,5.5,11.4,.479,2.8,4.0,.698,2.1,9.3,11.4,2.8,1.1,0.9,2.5,4.3,21.5,,104,107
2481,George Lynch,Career,,,NBA,,774,420,17683,6.2,13.9,.446,0.4,1.4,.306,5.8,12.5,.462,2.4,3.6,.652,4.5,7.1,11.6,3.3,2.4,0.8,2.7,5.0,15.2,,102,103
2482,Kevin Lynch,Career,,,NBA,,95,11,1143,5.1,11.7,.436,0.1,0.4,.333,5.0,11.3,.440,2.5,3.5,.726,1.7,3.2,5.0,4.5,2.0,0.6,2.8,6.3,12.9,,97,112
2485,Sheldon Mac,Career,,,NBA,,30,3,287,5.2,12.9,.400,1.2,5.2,.233,4.0,7.7,.511,4.0,4.6,.852,0.7,5.2,5.8,2.6,1.4,0.3,0.9,2.9,15.5,,112,112
2488,Todd MacCulloch,Career,,,NBA,,223,105,3439,8.7,16.0,.541,0.0,0.0,,8.7,16.0,.541,3.5,5.5,.642,5.2,8.3,13.5,1.8,0.9,2.7,2.3,7.3,20.9,,113,100
2490,Scott Machado,Career,,,NBA,,6,0,21,7.1,14.3,.500,0.0,2.4,.000,7.1,11.9,.600,4.8,4.8,1.000,0.0,2.4,2.4,14.3,4.8,0.0,19.0,0.0,19.0,,69,104
2491,Arvydas Macijauskas,Career,,,NBA,,19,0,135,5.6,16.4,.341,1.2,4.8,.250,4.4,11.6,.379,5.2,6.0,.867,1.2,2.8,4.0,2.0,2.8,0.0,3.2,4.0,17.6,,90,108
2492,Ollie Mack,Career,,,NBA,,128,3,2513,7.6,16.6,.458,0.0,0.3,.000,7.6,16.3,.467,2.4,3.5,.674,2.5,3.6,6.1,4.4,1.6,0.2,2.1,3.3,17.6,,103,111
2493,Sam Mack,Career,,,NBA,,259,105,5028,7.4,18.5,.400,3.4,9.1,.374,4.0,9.4,.426,2.7,3.2,.831,1.1,4.4,5.5,3.5,1.7,0.4,2.3,4.8,20.9,,106,110
2494,Shelvin Mack,Career,,,NBA,,379,53,6683,7.1,16.7,.428,1.8,5.5,.322,5.4,11.2,.481,2.2,2.9,.747,0.7,5.0,5.7,8.9,1.8,0.1,3.5,3.5,18.2,,102,108
2495,Malcolm Mackey,Career,,,NBA,,22,0,69,10.1,26.6,.378,0.0,1.4,.000,10.1,25.2,.400,2.9,5.8,.500,8.6,8.6,17.3,0.7,0.0,2.2,1.4,6.5,23.0,,97,108
2496,Rudy Macklin,Career,,,NBA,,160,52,2752,7.1,15.7,.449,0.0,0.1,.000,7.1,15.6,.452,4.4,5.7,.776,3.7,4.7,8.4,2.2,1.5,0.5,3.7,7.8,18.6,,98,105
2497,Vernon Macklin,Career,,,NBA,,23,0,135,7.6,13.9,.543,0.0,0.0,,7.6,13.9,.543,3.2,5.6,.571,5.6,8.0,13.5,2.0,1.6,1.6,1.2,3.6,18.3,,121,105
2499,Don MacLean,Career,,,NBA,,319,111,6679,10.0,22.0,.455,0.4,1.5,.284,9.6,20.5,.467,6.0,7.9,.765,2.7,6.5,9.2,3.1,0.9,0.4,3.0,4.5,26.5,,106,112
2500,Mark Macon,Career,,,NBA,,251,104,5018,6.9,17.8,.384,0.3,1.2,.270,6.5,16.6,.393,2.6,3.5,.735,1.7,2.9,4.6,4.2,3.4,0.2,3.2,5.8,16.6,,90,108
2501,Kyle Macy,Career,,,NBA,,551,257,14246,7.3,14.5,.501,0.6,1.9,.337,6.6,12.6,.526,2.4,2.7,.873,1.0,3.0,4.0,7.3,2.1,0.2,2.4,3.6,17.5,,115,107
2503,Tito Maddox,Career,,,NBA,,9,0,35,4.6,18.5,.250,0.0,4.6,.000,4.6,13.9,.333,7.7,12.4,.625,1.5,9.3,10.8,7.7,4.6,1.5,4.6,6.2,17.0,,80,95
2504,Gerald Madkins,Career,,,NBA,,48,0,420,3.3,8.9,.366,1.5,4.0,.375,1.8,4.9,.359,2.0,2.6,.762,0.4,2.9,3.3,8.2,3.0,0.1,3.6,4.5,10.0,,95,106
2505,Mark Madsen,Career,,,NBA,,453,70,5335,3.8,8.3,.457,0.0,0.2,.063,3.8,8.1,.465,2.1,4.0,.527,5.6,5.9,11.5,1.8,1.2,1.0,2.0,8.6,9.7,,105,106
2507,Josh Magette,Career,,,NBA,,10,0,74,4.0,9.9,.400,2.0,4.6,.429,2.0,5.3,.375,4.0,4.0,1.000,0.7,4.0,4.6,14.6,2.0,0.0,1.3,4.0,13.9,,143,112
2508,Corey Maggette,Career,,,NBA,,827,478,23358,9.0,19.9,.453,1.0,3.2,.324,8.0,16.8,.478,10.2,12.4,.822,2.0,6.9,8.9,3.8,1.3,0.3,4.2,5.2,29.3,,110,109
2509,Dave Magley,Career,,,NBA,,14,0,56,3.5,14.1,.250,0.0,0.9,.000,3.5,13.2,.267,3.5,7.0,.500,1.8,7.0,8.8,1.8,1.8,0.0,1.8,4.4,10.5,,73,106
2510,Jamaal Magloire,Career,,,NBA,,680,314,14621,6.5,13.5,.480,0.0,0.0,.000,6.5,13.4,.481,5.1,8.0,.639,5.2,11.0,16.2,1.4,0.8,2.2,3.7,6.6,18.0,,101,102
2512,Ian Mahinmi,Career,,,NBA,,530,92,8809,5.9,10.9,.542,0.0,0.0,.000,5.9,10.8,.544,3.9,6.5,.607,4.5,8.7,13.3,1.6,1.7,2.2,3.0,8.1,15.7,,108,100
2516,Rick Mahorn,Career,,,NBA,,1117,613,25779,5.9,12.0,.493,0.0,0.1,.132,5.9,11.9,.495,3.0,4.2,.704,3.5,9.8,13.3,2.1,1.2,1.9,2.8,6.7,14.8,,103,103
2517,Dan Majerle,Career,,,NBA,,955,454,30206,6.7,15.4,.431,2.3,6.4,.358,4.4,9.1,.482,2.8,3.8,.741,1.9,5.3,7.2,4.6,2.0,0.6,1.9,3.2,18.4,,114,106
2518,Renaldo Major,Career,,,NBA,,1,0,27,3.6,17.9,.200,0.0,0.0,,3.6,17.9,.200,1.8,3.6,.500,0.0,3.6,3.6,0.0,3.6,0.0,1.8,7.2,9.0,,47,106
2519,Thon Maker,Career,,,NBA,,119,46,1657,6.0,13.8,.435,1.7,5.0,.341,4.3,8.8,.488,2.7,4.0,.682,3.3,6.4,9.8,1.9,1.2,2.3,1.6,6.8,16.4,,108,109
2521,Jeff Malone,Career,,,NBA,,905,755,29660,11.8,24.3,.484,0.1,0.5,.268,11.6,23.8,.489,4.9,5.6,.871,0.9,3.0,3.9,3.6,1.0,0.2,2.5,2.8,28.6,,108,111
2522,Karl Malone,Career,,,NBA,,1476,1471,54852,12.6,24.4,.516,0.1,0.3,.274,12.5,24.1,.519,9.1,12.3,.742,3.3,10.6,13.9,4.9,1.9,1.1,4.2,4.3,34.4,,113,101
2523,Moses Malone,Career,,,TOT,,1455,784,49444,10.0,20.2,.495,0.0,0.1,.096,10.0,20.1,.497,8.8,11.5,.760,7.2,10.2,17.4,1.9,1.2,1.8,4.2,3.4,28.8,,114,104
2524,Matt Maloney,Career,,,NBA,,295,206,7470,5.5,13.5,.408,2.8,7.6,.372,2.7,6.0,.453,1.5,1.9,.797,0.4,3.1,3.5,6.0,1.7,0.1,2.7,2.7,15.4,,105,109
2525,Steve Malovic,Career,,,NBA,,39,,445,3.2,7.0,.463,0.0,0.0,,3.2,7.0,.463,1.9,2.8,.667,3.8,5.2,9.0,2.7,0.8,0.6,2.4,5.3,8.3,,102,112
2530,Danny Manning,Career,,,NBA,,883,398,24202,10.4,20.3,.511,0.1,0.4,.206,10.3,19.9,.517,4.7,6.4,.729,3.1,6.4,9.5,4.3,2.1,1.6,3.8,6.0,25.6,,106,106
2531,Ed Manning,Career,,,TOT,,164,,2942,6.7,14.3,.448,0.0,0.1,.125,6.7,14.3,.448,2.1,2.5,.764,2.8,6.9,9.7,2.7,2.2,0.4,2.5,5.9,15.4,,102,101
2533,Rich Manning,Career,,,NBA,,55,2,512,8.4,20.2,.415,0.2,0.5,.400,8.2,19.7,.416,1.9,2.9,.643,3.3,6.4,9.7,1.0,0.7,0.8,2.5,6.8,18.9,,89,111
2534,Pace Mannion,Career,,,NBA,,216,4,2125,5.7,13.8,.413,0.4,1.8,.203,5.3,12.1,.443,2.9,4.3,.663,2.0,3.8,5.7,5.1,2.4,0.5,2.9,5.3,14.6,,96,108
