,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
145,Stacey Augmon,Career,,,NBA,,1001,472,21658,7.3,15.6,.469,0.0,0.2,.152,7.3,15.4,.473,4.6,6.3,.728,3.1,4.6,7.7,3.8,2.3,0.8,3.0,4.2,19.3,,106,106
146,D.J. Augustin,Career,,,NBA,,706,206,16595,6.8,16.9,.404,2.8,7.3,.375,4.1,9.6,.426,4.7,5.5,.862,0.6,3.4,4.0,8.4,1.3,0.1,3.3,3.3,21.1,,110,110
147,James Augustine,Career,,,NBA,,27,0,156,6.3,12.2,.514,0.0,0.0,,6.3,12.2,.514,1.3,2.6,.500,5.6,5.3,10.9,1.3,1.7,0.7,2.0,6.6,13.9,,109,106
148,Isaac Austin,Career,,,NBA,,432,166,8350,8.2,18.4,.446,0.1,0.3,.176,8.2,18.1,.451,4.4,6.5,.670,3.9,9.0,12.9,3.4,1.4,1.4,4.5,6.1,20.9,,95,102
150,Ken Austin,Career,,,NBA,,7,0,28,9.9,21.5,.462,0.0,0.0,,9.9,21.5,.462,0.0,0.0,,3.3,1.7,5.0,1.7,1.7,1.7,5.0,11.6,19.8,,85,110
151,Anthony Avent,Career,,,NBA,,352,156,6729,6.2,15.3,.403,0.0,0.0,.000,6.2,15.3,.404,2.5,3.6,.686,4.2,7.7,12.0,2.1,1.3,1.6,3.1,6.2,14.8,,91,108
152,Bird Averitt,Career,,,TOT,,366,,8163,9.9,24.5,.405,0.4,1.8,.249,9.6,23.2,.414,5.1,6.8,.743,1.1,2.8,3.9,6.1,1.9,0.3,4.2,4.8,25.3,,93,104
153,William Avery,Career,,,NBA,,142,1,1205,6.0,18.1,.330,1.7,6.8,.255,4.2,11.2,.376,2.8,4.0,.714,0.7,3.3,4.0,8.7,1.5,0.3,4.6,5.4,16.5,,86,107
154,Dennis Awtrey,Career,,,NBA,,523,3,10386,4.1,9.0,.459,0.0,0.0,,4.1,9.0,.459,2.2,3.4,.652,3.1,6.6,9.7,4.8,0.8,0.8,1.1,4.9,10.5,,92,100
155,Gustavo Ayon,Career,,,NBA,,135,41,2251,6.7,12.4,.536,0.0,0.0,.000,6.7,12.4,.537,1.6,3.1,.504,4.4,9.4,13.8,4.1,2.3,1.7,2.9,6.4,14.9,,106,102
156,Jeff Ayres,Career,,,NBA,,237,15,2322,6.4,11.6,.553,0.0,0.1,.400,6.4,11.5,.554,2.5,3.3,.776,4.4,9.7,14.1,2.2,0.8,1.5,2.9,8.0,15.4,,111,102
157,Kelenna Azubuike,Career,,,NBA,,208,84,5025,7.8,16.9,.459,2.0,5.0,.409,5.7,12.0,.480,3.5,4.6,.770,2.5,5.5,8.0,2.2,1.3,1.0,2.0,4.0,21.1,,112,113
158,Chris Babb,Career,,,NBA,,14,0,132,3.1,11.7,.267,2.3,10.5,.222,0.8,1.2,.667,0.0,0.0,,1.6,5.1,6.6,1.2,2.3,0.0,1.2,5.1,8.6,,82,108
159,Luke Babbitt,Career,,,NBA,,372,102,5213,6.3,15.3,.412,3.8,9.3,.409,2.5,6.0,.418,1.2,1.6,.747,1.1,7.1,8.2,2.2,0.9,0.6,1.6,5.1,17.6,,107,110
